"","1","2","3","4","5","6","7","8","9"
"1994",2615.57344112412,29790.4686919217,56794.2371249494,18113.8578483942,17538.9100366665,23663.5822238676,16371.4164232793,6584.95115403236,2929.29688157224
"1995",626.303402752941,216933.121308108,84182.9846616879,65900.3779633544,8138.7738619864,18257.2213160352,8376.60891401698,14786.9083053127,8454.49508244261
"1996",5787.54132106208,60627.3937889221,112621.388381765,33930.5037783104,37247.1625289551,19107.0000508206,8751.50830713923,13030.5809812368,29170.5524062759
"1997",2996.35962541107,63539.4064969256,119226.127962859,56439.2269816518,19122.155221561,12919.1884913428,7631.15622638042,17924.5345583947,17329.6387914572
"1998",595.248718947649,4482.93710355918,31020.9411893192,21714.2365772518,11303.5245926808,3810.61407385653,4591.10327651806,1838.15275476265,5025.26714156626
"1999",7947.79395343745,48192.5614196474,221678.434265198,135355.31155876,59422.1191744434,26157.0685763989,17885.0788714265,12798.5914731589,20606.0948572694
"2000",6215.79257603811,50067.7583304094,87536.0659981636,113385.174053394,45741.1568441497,38818.7587545453,21988.9293118148,6517.51260929352,11885.4824141566
"2001",7264.81455232021,53863.92106765,50837.1559542591,36335.1210550214,67340.7414769406,35144.1044221933,26634.0519815747,11554.2572690591,12421.2653118011
"2002",11865.5521412888,24717.0487574467,100672.999482247,25265.1247428205,9788.80328875044,26866.357164841,8575.36895219833,9062.5773998053,9854.14012680597
"2003",2436.33548638538,65625.6458468499,79651.7307397257,82104.6397718302,13769.2927606675,10668.1295190312,20369.413088819,8897.11571589915,11723.4976416917
"2004",10109.9795652754,62800.9948080631,221864.328313523,127353.860322496,129096.30929967,34294.6263118501,32012.5110015006,36145.4415187284,31696.7575372236
"2005",16291.1348259368,74233.9769453251,87199.5038062938,167885.052692726,134060.78758459,125247.613968707,17895.8054947531,37469.6505770097,33966.4260884949
"2006",1655.26643196627,161319.57980431,205330.248917618,87977.5007910933,243390.19609551,232407.956245848,138070.551758085,23147.1200946775,68424.5348884559
"2007",9028.11394426726,15513.9129373644,51553.5553419381,32070.4909370219,28467.7889757641,49589.8165358812,38088.8165187668,20716.3386534597,18610.2698909554
"2008",2140.12408186001,16186.921490008,21312.576104688,21706.0312894895,17207.7084402787,14596.2627591657,18872.8639919392,21653.6376039431,13061.7600155339
"2009",490.175094394255,25672.4414928643,57707.1036501192,54353.97533485,53763.4166331093,37889.651160432,36778.1171804674,64285.6173382215,75703.2396105522
"2010",35655.5731942991,8657.83738933669,27503.2256892261,13684.2031279719,13106.0039766311,13678.9706074301,15255.2475541587,12501.7020301191,25713.3027172496
"2011",747.060619238706,53144.972773384,66020.6297344197,51526.5916728919,25486.4859238779,31106.5531395402,23562.6994869203,17585.7365469026,47500.1619600263
"2012",12603.034352476,5120.45326804562,81532.6386553482,31600.0764110215,17617.1284918043,9146.52755378879,9114.30699180103,7399.44562766453,19920.7937595677
"2013",1912.08568566079,31858.9185536635,35055.418855692,71863.9814210993,31131.569219682,25180.0573892698,17850.8168098445,15315.0252062563,22415.3452097962
"2014",6828.82831044093,5547.23028093622,21919.0184067065,15705.146121986,26237.4041120724,5004.60296744066,3300.65113203485,3225.03698414602,3069.14398513956
