"","0","1","2","3","4","5","6","7","8","9"
"1996",202.92133677997,2710.4048945332,4497.17173317296,4543.70861475609,2222.97777145015,1624.57738641545,708.015660163173,634.889584368207,1053.56545136838,1725.94258868623
"1997",217.337758497688,383.528934881895,3378.41602181828,3146.18774657952,2809.35654365456,1649.16194628165,1032.03737352544,314.811382298576,663.31140782582,658.331400040514
"1998",451.401287531896,938.631511355507,3397.33003874558,3381.4626745946,3759.5183070908,4051.65666259038,2256.80916982213,877.680997071949,342.217564558351,1349.32200380721
"1999",262.604751110968,1686.1273507527,1888.02297002439,6097.4191043224,4933.12035841297,3250.99390400676,4797.51983024656,1525.3229680326,446.349944510992,1011.34530706546
"2000",456.791362542539,2143.35325496839,1699.66459295134,1948.15747997832,3949.32898170741,1831.7783580305,2238.9794172062,1446.7693234173,852.702365948338,554.629406416092
"2001",896.658244845419,1622.56766679411,10459.6940276543,2992.85964338728,2711.25655338782,5393.01627005482,3336.7558307146,2676.12194372758,1127.87997682072,547.574870013321
"2002",813.395765082186,1084.2641525142,2324.01447284247,2750.87286454612,463.634281919133,668.471799370363,1228.88741661129,760.154280747725,580.406621896359,299.272299482003
"2003",471.781879141883,1386.88656197928,4576.8766284582,3291.5159662258,5382.76773002943,1016.01328349516,1469.18634882985,1471.76231065176,936.407549517625,990.073665960137
"2004",1700.76087373192,1733.87840877416,4112.4898329112,5749.24451429071,4904.68448463831,3985.27774111379,1219.80138153198,1447.34608037848,854.898401713831,647.637219511673
"2005",727.608757317083,2039.24278407693,1978.62601597914,1347.53026944955,2931.95469376714,3274.75198730866,2186.12378032657,339.925410880463,741.319401066943,851.051671258034
"2006",531.92117525655,694.492288282933,2126.56287673138,1309.34158422237,1399.44142895407,2639.13105122106,2620.76500526287,1548.05786179893,507.039171764877,655.158791919416
"2007",90.6664983025559,528.595760397667,1947.46124933389,1970.21153058949,1416.03638300454,1944.24239239539,1585.29429966935,1633.2664550248,580.18240838174,316.390599984042
"2008",5.05852064160623,405.979192366362,805.429177828469,1338.84108163971,1521.67804633201,1043.78052605056,1177.29917720828,1910.53931915192,994.632115890362,1214.82855625669
"2009",539.632872218019,520.450043894959,2810.11170966092,1720.77708020745,1962.44958671137,1597.65876910472,1111.90695598837,767.714488067954,788.69745972942,1112.19696518009
"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011",154.253862810531,116.868637068608,3651.57360132476,1843.86813976448,1182.84613815877,785.49122340309,814.021826197648,468.310680272063,271.542356671268,760.859844809657
