"Fbar","Landings","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number"
"0.152","36598","353098","1600078","0.0229","0.221","1754341"
"0.197","51398","359258","2817848","0.0182","0.127","1686924"
"0.181","52499","360027","4027077","0.013","0.089","1714715"
"0.127","41613","440652","1682581","0.0247","0.262","2159233"
"0.09","33280","459599","2751907","0.0121","0.167","2113875"
"0.132","52367","435539","3624802","0.0144","0.12","1998827"
"0.101","39235","464093","3587574","0.0109","0.129","2191525"
"0.095","43254","519107","2425723","0.0178","0.214","2458162"
"0.1","66974","520740","9883037","0.0068","0.053","2381919"
"0.124","114203","768075","1828054","0.0625","0.42","3930139"
"0.124","91852","874288","3798277","0.0242","0.23","4051989"
"0.096","88116","832115","5077379","0.0174","0.164","3755230"
"0.15","100768","805623","3795853","0.0265","0.212","3703090"
"0.216","144481","729209","4097910","0.0353","0.178","3334321"
"0.423","227810","555419","8317973","0.0274","0.067","2551845"
"0.258","194841","627091","3298000","0.0591","0.19","3139809"
"0.391","255607","590736","2016068","0.1268","0.293","2782088"
"0.562","237999","376050","2168262","0.1098","0.173","1703672"
"0.524","149727","245981","2338360","0.064","0.105","1142638"
"0.522","124784","194550","1495779","0.0834","0.13","947685"
"0.34","56924","171067","1820216","0.0313","0.094","823414"
"0.231","41682","178632","2549819","0.0163","0.07","873584"
"0.118","21261","234157","2860767","0.0074","0.082","1172967"
"0.122","31570","313273","1839254","0.0172","0.17","1554612"
"0.252","74037","311010","2398331","0.0309","0.13","1467008"
"0.376","114211","266849","1922756","0.0594","0.139","1273242"
"0.381","98134","230360","4783613","0.0205","0.048","1100861"
"0.265","81509","317981","2523298","0.0323","0.126","1660568"
"0.225","63077","385644","2939757","0.0215","0.131","1882530"
"0.256","103425","391118","2606063","0.0397","0.15","1866702"
"0.28","94365","363652","4524753","0.0209","0.08","1721320"
"0.218","65555","420611","1976574","0.0332","0.213","2091759"
"0.192","63886","440660","1647180","0.0388","0.268","2077368"
"0.238","88141","376151","1280717","0.0688","0.294","1715242"
"0.225","68315","303036","1041118","0.0656","0.291","1362627"
"0.245","61051","224824","1557665","0.0392","0.144","1054377"
"0.253","68042","229774","1279336","0.0532","0.18","1163963"
"0.274","58367","173508","2140924","0.0273","0.081","876197"
"0.288","55984","139673","1584865","0.0353","0.088","707767"
"0.295","60030","184240","1783006","0.0337","0.103","1050154"
"0.426","62693","156961","2064601","0.0304","0.076","890147"
"0.47","72271","185969","1069614","0.0676","0.174","1133515"
"0.343","55843","151227","951590","0.0587","0.159","888003"
"0.301","42980","120246","2624260","0.0164","0.046","681539"
"0.283","40128","200011","1792895","0.0224","0.112","1314231"
"0.329","50748","231572","1966302","0.0258","0.118","1336382"
"0.273","44708","216516","1067933","0.0419","0.203","1292515"
"0.255","40600","184398","956695","0.0424","0.193","1123097"
"0.179","30412","161823","931388","0.0327","0.174","1014496"
"0.277","46509","146774","829247","0.0561","0.177","855520"
"0.291","47420","142110","551644","0.086","0.258","778570"
"0.233","29432","117141","656797","0.0448","0.178","596745"
"0.272","29901","96343","752700","0.0397","0.128","482201"
"0.325","30012","98031","1190740","0.0252","0.082","506794"
"0.272","24695","82388","559180","0.0442","0.147","489592"
"0.25","25109","96624","586389","0.0428","0.165","534341"
"0.355","26856","69305","284365","0.0944","0.244","366619"
"0.388","27346","47988","357601","0.0765","0.134","266407"
"0.425","19860","43026","511087","0.0389","0.084","230615"
"0.141","6942","56811","161303","0.043","0.352","368349"
"0.127","6420","55024","95135","0.0675","0.578","317997"
