"","Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 2-6 Mean","Mean F ages 2-6 Low","Mean F ages 2-6 High","Mean F ages 0-1","SoP (%)","WG Catch"
"1",1947,56683855.9135989,32172377.4760944,99870130.0089214,8153843.75160271,6396702.62041114,10393662.4650025,4597393.17621088,3428814.73118011,6164236.23722473,846613.878369171,676546.459155085,1059432.13411008,0.184150853738148,0.197312048680517,0.171867542602011,0.142587419099885,0.0991185371642577,0.205119775444968,0.00212437058275916,1.46086186743674,581760
"2",1948,53865459.2382263,32150919.2251108,90245870.6897211,7239046.08886698,5684387.84278761,9218897.39512242,3813278.97370912,2856970.62672571,5089690.59580327,689691.724050106,569303.475621739,835537.976829882,0.180865792617122,0.199268228485149,0.16416282308375,0.141833704885642,0.101885178576975,0.197445792632037,0.00212477470825647,1.33262696673969,502100
"3",1949,47536100.9340315,28539852.4482114,79176334.079192,7004056.22562097,5543152.83147493,8849982.14970862,3711697.95612816,2808305.96475706,4905698.27163321,711407.015508187,586717.475170233,862595.649750203,0.191666192647391,0.20892220524874,0.175835447267128,0.153923431232849,0.110938775712304,0.213563044394278,0.00252027033269207,1.45020943952802,508500
"4",1950,65989091.1022589,40563175.2727364,107352546.126463,6983075.5437025,5577147.48364215,8743420.21473871,3649132.40483969,2796148.80054837,4762324.27453061,657368.484859891,566296.685964393,763086.444963161,0.180143774445687,0.202527378318827,0.160234037199908,0.162447566008283,0.119385873191795,0.221041325883013,0.004409248749781,1.3073052674395,491700
"5",1951,58820441.6757372,36654692.0025313,94390217.7295577,7138405.57103741,5735050.99271764,8885157.98051714,3450397.50082177,2657896.55729026,4479197.23625911,769887.746934104,672085.363193771,881922.409472828,0.22313016014843,0.252863626821868,0.196892961607867,0.194874405944773,0.146266584647535,0.259635747862991,0.0134578454119589,1.32380829447035,600400
"6",1952,57368159.7962308,36242839.908868,90807060.5582041,6955199.03172033,5596630.06242822,8643557.46784073,3433188.5714929,2637031.47189829,4469716.76031787,829020.365366795,730753.066983556,940502.06183857,0.241472423696872,0.277112000660924,0.210416478777435,0.201533431138469,0.150752599461169,0.269419724844651,0.0240130708515455,1.2719717037929,664400
"7",1953,59769138.0749727,38775175.7664311,92129817.4828092,6709265.23519222,5420895.6020728,8303838.20321991,3230023.59459392,2467402.16484959,4228355.05709684,842391.374035041,744740.027435645,952846.900806558,0.260800377881124,0.301831634115083,0.225346946493367,0.211929840525629,0.15814767983482,0.284001999600184,0.0345775325062936,1.19787401574803,698500
"8",1954,56119842.1235203,37017880.1063402,85078796.2714652,6537072.54413988,5298150.73652692,8065704.35090343,3020702.5658688,2292356.30346772,3980464.98166241,914378.611096633,809103.626559441,1033351.25067516,0.302703954182143,0.352957184420015,0.259605663015679,0.236076352202049,0.175016959206962,0.318437963506847,0.0464723570588209,1.25091558526675,762900
"9",1955,48447921.7187898,32210105.6068624,72871574.7634779,6156383.07553829,5002242.15058181,7576812.8434898,2963851.01710436,2257294.65749263,3891566.75777018,865445.775009296,768839.535297046,974190.783766163,0.292000431200764,0.340602203945789,0.250333822957302,0.233680612453334,0.174023592478859,0.313788652783956,0.072078587022492,1.05978608630952,806400
"10",1956,35605119.7968429,23693052.0339458,53506173.621331,5553839.23152819,4527985.06276321,6812109.53263135,2735979.32214369,2082235.01243991,3594975.01793826,850007.115833261,754023.881827673,958208.505566014,0.310677463441962,0.362122372029527,0.266541074912824,0.236336179068048,0.178229862396936,0.313386257416787,0.0688554829091047,1.27122630331754,675200
"11",1957,93269153.9793638,61352593.3732263,141789199.21293,5751665.36767515,4703907.00961008,7032803.67450459,2493006.57528197,1901824.03113025,3267958.38240908,783871.199904459,697831.396308939,880519.365121298,0.314428051524814,0.366927425927107,0.269440201521843,0.249748716651302,0.18856637727384,0.330782307910552,0.0872220060484371,1.15753770683848,682900
"12",1958,34380496.522331,23071771.1484255,51232241.0584711,5688743.75197542,4659109.06474432,6945921.42530479,2045187.43803572,1555313.98060375,2689355.14556065,792541.381679012,705194.605589105,890707.099423935,0.38751527949937,0.453409803025983,0.331197276378405,0.259032951372141,0.197053739126444,0.34050645369133,0.0778234305575261,1.1673870246085,670500
"13",1959,39864629.1010052,26295584.6756784,60435570.1902533,6046559.55706386,4978516.33542984,7343730.54416496,3087894.42269329,2380520.21620426,4005465.65443751,1137109.41566725,961215.12667294,1345190.88112424,0.368247504613663,0.403783643646428,0.335838825539286,0.275298311544461,0.209982139895108,0.360931460061747,0.0980358352484819,1.51855768005099,784500
