"%SPR","F(%SPR)","YPR","Freport_2-5"
0.2,1.97545600993192,0.0390533492633953,1.83022108876071
0.25,1.34214524877727,0.0369958244852141,1.24347114091233
0.3,0.971471703907362,0.0349160385292591,0.900049401599599
0.35,0.733307961802183,0.0327655312396187,0.679395384913048
0.4,0.569575577645399,0.0305354627392896,0.527700555521659
0.45,0.451001013183902,0.028230246615978,0.417843556744183
0.5,0.361450355681264,0.0258583715412672,0.33487663617005
0.55,0.29143295028822,0.0234289311111766,0.270006888989462
0.6,0.235081881452868,0.0209502757940713,0.217798733486054
0.65,0.188619285245617,0.0184295894293061,0.174752053129949
0.7,0.149524702083428,0.0158728699841647,0.138531691755153
0.75,0.116062695516936,0.0132850647071276,0.107529801668846
0.8,0.0870041421049966,0.0106702434918613,0.0806076242090485
