2010
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3904766.27349082,0.15,0,0.421,0.35,0,0.00459486960405143,0.0833333333333333
"1",3346168,0.15,0.0633333333333333,0.421,0.35,0.0683333333333333,0.0160665424301490,0.135
"2",3273470,0.15,0.58,0.421,0.35,0.166666666666667,0.0471835658118474,0.22
"3",2280184,0.15,0.863333333333333,0.421,0.35,0.214333333333333,0.104715060486381,0.291
"4",3210455,0.15,0.98,0.421,0.35,0.271666666666667,0.165567227471089,0.357
"5",2305065,0.15,0.98,0.421,0.35,0.311,0.212349640233855,0.404666666666667
"6",1043618,0.15,0.99,0.421,0.35,0.349333333333333,0.266424763581181,0.440333333333333
"7",531145,0.15,1,0.421,0.35,0.405,0.276487272649269,0.484333333333333
"8",752007,0.15,1,0.421,0.35,0.442333333333333,0.298481961932463,0.525
"9",272541,0.15,1,0.421,0.35,0.465666666666667,0.307563334221224,0.559
"10",64379,0.15,1,0.421,0.35,0.492666666666667,0.325756383744531,0.593666666666667
"11",54993,0.15,1,0.421,0.35,0.526666666666667,0.318524460350783,0.593333333333333
"12",38546,0.15,1,0.421,0.35,0.540333333333333,0.318524460350783,0.653333333333333
""
2011
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3904766.27349082,0.15,0,0.421,0.35,0,0.00459486960405143,0.0833333333333333
"1",-,0.15,0.0633333333333333,0.421,0.35,0.0683333333333333,0.0160665424301490,0.135
"2",-,0.15,0.58,0.421,0.35,0.166666666666667,0.0471835658118474,0.22
"3",-,0.15,0.863333333333333,0.421,0.35,0.214333333333333,0.104715060486381,0.291
"4",-,0.15,0.98,0.421,0.35,0.271666666666667,0.165567227471089,0.357
"5",-,0.15,0.98,0.421,0.35,0.311,0.212349640233855,0.404666666666667
"6",-,0.15,0.99,0.421,0.35,0.349333333333333,0.266424763581181,0.440333333333333
"7",-,0.15,1,0.421,0.35,0.405,0.276487272649269,0.484333333333333
"8",-,0.15,1,0.421,0.35,0.442333333333333,0.298481961932463,0.525
"9",-,0.15,1,0.421,0.35,0.465666666666667,0.307563334221224,0.559
"10",-,0.15,1,0.421,0.35,0.492666666666667,0.325756383744531,0.593666666666667
"11",-,0.15,1,0.421,0.35,0.526666666666667,0.318524460350783,0.593333333333333
"12",-,0.15,1,0.421,0.35,0.540333333333333,0.318524460350783,0.653333333333333
""
2012
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3904766.27349082,0.15,0,0.421,0.35,0,0.00459486960405143,0.0833333333333333
"1",-,0.15,0.0633333333333333,0.421,0.35,0.0683333333333333,0.0160665424301490,0.135
"2",-,0.15,0.58,0.421,0.35,0.166666666666667,0.0471835658118474,0.22
"3",-,0.15,0.863333333333333,0.421,0.35,0.214333333333333,0.104715060486381,0.291
"4",-,0.15,0.98,0.421,0.35,0.271666666666667,0.165567227471089,0.357
"5",-,0.15,0.98,0.421,0.35,0.311,0.212349640233855,0.404666666666667
"6",-,0.15,0.99,0.421,0.35,0.349333333333333,0.266424763581181,0.440333333333333
"7",-,0.15,1,0.421,0.35,0.405,0.276487272649269,0.484333333333333
"8",-,0.15,1,0.421,0.35,0.442333333333333,0.298481961932463,0.525
"9",-,0.15,1,0.421,0.35,0.465666666666667,0.307563334221224,0.559
"10",-,0.15,1,0.421,0.35,0.492666666666667,0.325756383744531,0.593666666666667
"11",-,0.15,1,0.421,0.35,0.526666666666667,0.318524460350783,0.593333333333333
"12",-,0.15,1,0.421,0.35,0.540333333333333,0.318524460350783,0.653333333333333
""
