"Rationale","Fbar (2010)","Catch (2010)","SSB (2010)","Fbar (2011)","Catch (2011)","SSB (2011)","SSB (2012)"
Fmult(2011) = 0.000,0.313524342645183,930002,2928017.26617166,3.00583335435729e-33,9.7208209114714e-27,3006648.16896794,3474966.4008721
Fmult(2011) = 0.100,0.313524342645183,930002,2928017.26617166,0.0313524342645183,99969.423964777,2973920.9319572,3358304.0067799
Fmult(2011) = 0.200,0.313524342645183,930002,2928017.26617166,0.0627048685290365,197150.605723119,2941608.27404668,3246470.94984461
Fmult(2011) = 0.300,0.313524342645183,930002,2928017.26617166,0.0940573027935548,291630.626268628,2909704.52552492,3139248.90979961
Fmult(2011) = 0.400,0.313524342645183,930002,2928017.26617166,0.125409737058073,383493.688721961,2878204.09780751,3036429.91292835
Fmult(2011) = 0.500,0.313524342645183,930002,2928017.26617166,0.156762171322591,472821.216864885,2847101.48224056,2937815.82677959
Fmult(2011) = 0.600,0.313524342645183,930002,2928017.26617166,0.188114605587110,559691.950215897,2816391.24892222,2843217.88009017
Fmult(2011) = 0.700,0.313524342645183,930002,2928017.26617166,0.219467039851628,644182.035771115,2786068.04554203,2752456.20663727
Fmult(2011) = 0.800,0.313524342645183,930002,2928017.26617166,0.250819474116146,726365.116529585,2756126.59623766,2665359.41180761
Fmult(2011) = 0.900,0.313524342645183,930002,2928017.26617166,0.282171908380664,806312.416917895,2726561.70046893,2581764.16073327
Fmult(2011) = 1.000,0.313524342645183,930002,2928017.26617166,0.313524342645183,884092.825224758,2697368.2319088,2501514.78690300
Fmult(2011) = 1.100,0.313524342645183,930002,2928017.26617166,0.344876776909701,959772.973152277,2668541.13735101,2424462.92021356
Fmult(2011) = 1.200,0.313524342645183,930002,2928017.26617166,0.376229211174219,1033417.31258669,2640075.43563422,2350467.13347918
Fmult(2011) = 1.300,0.313524342645183,930002,2928017.26617166,0.407581645438737,1105088.18968770,2611966.21658227,2279392.60646680
Fmult(2011) = 1.400,0.313524342645183,930002,2928017.26617166,0.438934079703256,1174845.91639191,2584208.63996045,2211110.80657332
Fmult(2011) = 1.500,0.313524342645183,930002,2928017.26617166,0.470286513967774,1242748.83942236,2556797.93444741,2145499.18530550
Fmult(2011) = 1.600,0.313524342645183,930002,2928017.26617166,0.501638948232292,1308853.40689303,2529729.39662259,2082440.88976664
Fmult(2011) = 1.700,0.313524342645183,930002,2928017.26617166,0.53299138249681,1373214.23259366,2502998.38996882,2021824.48839462
Fmult(2011) = 1.800,0.313524342645183,930002,2928017.26617166,0.564343816761329,1435884.15803746,2476600.34388993,1963543.71023428
Fmult(2011) = 1.900,0.313524342645183,930002,2928017.26617166,0.595696251025847,1496914.31235106,2450530.75274313,1907497.19706407
Fmult(2011) = 2.000,0.313524342645183,930002,2928017.26617166,0.627048685290365,1556354.17008337,2424785.17488588,1853588.26773130
