"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,619750.097900001,9669.00000000001,7845.17399281626,1837.88399816794,1406855.88649111,NA
"mp",0.160011871738415,0.0452487531238922,0.00416863419589954,0.0000868625829611803,0.165617876539947,0.0499994103933391,235318.281077571,15687.8792748273,7326.36960864949,1837.89299568087,1204252.65646989,1215797.26059219
"mp transfer",0.169240311825393,0.0452231275945929,0.00208181240278658,0.0000866895447934071,0.173348086002328,0.0479153476570852,247525.209088498,15688.1024099807,3663.15418218163,1837.887843414,1197579.45384799,1205989.31973846
"tacro",0.496850218104346,0.045317375393817,0.00851280842917975,0.000089456133336229,0.505642571552419,0.055457154611162,600587.997870377,15687.8792748269,14528.1000003557,1837.88399994089,958258.71988436,827867.56511984
"-15%",0.400496653947356,0.0452965875623252,0.00717713152626396,0.000088699160968285,0.408310541872187,0.053801764539881,510499.799999682,15687.8792748276,12348.8850000002,1837.88399999988,1021116.81616823,913072.847751414
"+15%",0.60482530290662,0.0453389399296543,0.00987547345952448,0.000090293715682652,0.614617865100727,0.0571763531924456,690676.199987304,15687.8792636741,16707.3149980598,1837.884,893955.39604798,749218.111572527
"fmsy",0.253527959550421,0.0452675027637637,0.00534904575444047,0.0000875749844519628,0.260000000000001,0.051488671720638,351999.007920844,15687.8792748271,9321.61003544651,1837.88399999999,1128121.61430703,1079026.89280911
"fpa",0.293184662073591,0.0452750227921956,0.00581623542573851,0.0000878745960991909,0.3,0.0520863996282236,397551.458049301,15687.8792748723,10100.5569290229,1837.884,1097819.21180854,1029133.61211618
"flim",0.332854352327381,0.0452823098040292,0.00626532864233246,0.0000881728592420277,0.34,0.0526658369068393,440989.624077452,15687.8792748273,10843.3494923481,1837.88367304836,1068609.73622937,983316.738360945
"fsq",0.354147696894125,0.0452861287570959,0.00649921772826937,0.0000883324262581047,0.361465498649904,0.0529695972671112,463473.356348901,15687.8792748273,11227.8213935662,1837.884,1053368.52603632,960262.067462515
"bpa",0.594966242933847,0.0453254071290938,0.00884078802840082,0.0000901143531395782,0.604013128172377,0.0560974465058629,682972.546102035,15687.8792746573,14981.2575383448,1837.88399165186,900000,757504.633563891
"blim",0.784762958985482,0.0453522142388748,0.0103638336978242,0.0000914965795633388,0.794941246664586,0.0582360119014851,819754.496888574,15687.8792419643,17320.2288968172,1837.88399999999,800000.000000801,650011.065967717
"MSYBtrigger",0.00000000356478435595021,0.0447446215631167,0.0000000000463082376838099,0.000000000000554224184040559,0.0000000036146549864633,0.0447446216210105,0.00582481323561239,15537.3888268808,0.0000829686493994697,0.0000119950905518792,1354452.23767482,1545218.02835976
"nf",0,0,0,0,0,0,0,0,0,0,1354508.00200888,1554149.78861499
