"a), Catch(2011) = Zero"
"Age";"N(2010)";"N(2011)";"N(2012)";"F(2010)";"F(2011)";"F(2012)";"";"Year";"SSB";"F,bar";"Yield"
"0";"3904766,27349082";"3904766,27349082";"3904766,27349082";"0,00590744949658589";"0";"0";" ";"2010";"2928017,26617166";"0,313524342645183";"930002"
"1";"3346167,77210427";"3341067,87474093";"3360863,47766910";"0,0206561439539377";"0";"0";" ";"2011";"3006648,16896794";"0";"0"
"2";"3273469,543379";"2821192,30405029";"2875683,76956704";"0,0606621201734553";"0";"0";" ";"2012";"3474966,4008721";"0";"0"
"3";"2280184,03654812";"2651666,53824024";"2428222,71912507";"0,134628179831217";"0";"0";" ";"";"";"";""
"4";"3210455,10041381";"1715368,58803326";"2282310,54028279";"0,212863501874527";"0";"0";" ";"";"";"";""
"5";"2305065,22792808";"2233453,85466470";"1476431,42622921";"0,273009874794619";"0";"0";" ";"";"";"";""
"6";"1043617,61368541";"1509984,06788851";"1922351,54768720";"0,342532208989764";"0";"0";" ";"";"";"";""
"7";"531144,762432904";"637730,781643092";"1299655,33150640";"0,355469195074475";"0";"0";" ";"";"";"";""
"8";"752006,735642139";"320398,460835017";"548899,970571996";"0,383746932492529";"0";"0";" ";"";"";"";""
"9";"272541,313120513";"440979,482044429";"275769,510875011";"0,395422508249509";"0";"0";" ";"";"";"";""
"10";"64379,4800522735";"157964,085802879";"379554,55763543";"0,418812621682339";"0";"0";" ";"";"";"";""
"11";"54993,037041738";"36451,4897226392";"135960,948639230";"0,409514812191929";"0";"0";" ";"";"";"";""
"12";"38546,0472507862";"53456,3028274226";"77384,3541906076";"0,409514812191929";"0";"0";" ";"";"";"";""
""
"b), Catch(2011) = 2010 catch (excl, interannual transfer and discard) -20%"
"Age";"N(2010)";"N(2011)";"N(2012)";"F(2010)";"F(2011)";"F(2012)";"";"Year";"SSB";"F,bar";"Yield"
"0";"3904766,27349082";"3904766,27349082";"3904766,27349082";"0,00590744949658589";"0,00425839947985912";"0,00425839947985912";" ";"2010";"2928017,26617166";"0,313524342645183";"930002"
"1";"3346167,77210427";"3341067,87474093";"3346582,00806691";"0,0206561439539377";"0,0148900321061026";"0,0148900321061026";" ";"2011";"2779793,18917534";"0,226004792493787";"661507,2"
"2";"3273469,543379";"2821192,30405029";"2833181,95784605";"0,0606621201734553";"0,0437284383291109";"0,0437284383291109";" ";"2012";"2733997,50310022";"0,226004792493786";"660335,183841874"
"3";"2280184,03654812";"2651666,53824024";"2324328,45351432";"0,134628179831217";"0,0970470541134485";"0,0970470541134485";" ";"";"";"";""
"4";"3210455,10041381";"1715368,58803326";"2071227,1766434";"0,212863501874527";"0,153443178174836";"0,153443178174836";" ";"";"";"";""
"5";"2305065,22792808";"2233453,85466470";"1266408,32015171";"0,273009874794619";"0,19679983882955";"0,19679983882955";" ";"";"";"";""
"6";"1043617,61368541";"1509984,06788851";"1578933,09436358";"0,342532208989764";"0,246915184199205";"0,246915184199205";" ";"";"";"";""
"7";"531144,762432904";"637730,781643092";"1015299,77681649";"0,355469195074475";"0,256240842394999";"0,256240842394999";" ";"";"";"";""
"8";"752006,735642139";"320398,460835017";"424824,175894671";"0,383746932492529";"0,276624918870342";"0,276624918870342";" ";"";"";"";""
"9";"272541,313120513";"440979,482044429";"209126,742670902";"0,395422508249509";"0,285041286333037";"0,285041286333037";" ";"";"";"";""
"10";"64379,4800522735";"157964,085802879";"285418,653500888";"0,418812621682339";"0,301902107053346";"0,301902107053346";" ";"";"";"";""
"11";"54993,037041738";"36451,4897226392";"100530,945456275";"0,409514812191929";"0,295199758244325";"0,295199758244325";" ";"";"";"";""
"12";"38546,0472507862";"53456,3028274226";"57603,5881295609";"0,409514812191929";"0,295199758244325";"0,295199758244325";" ";"";"";"";""
""
"c), Catch(2011) = 2010 catch (excl, interannual transfer and discard)"
"Age";"N(2010)";"N(2011)";"N(2012)";"F(2010)";"F(2011)";"F(2012)";"";"Year";"SSB";"F,bar";"Yield"
"0";"3904766,27349082";"3904766,27349082";"3904766,27349082";"0,00590744949658589";"0,00547137690717858";"0,00547137690717858";" ";"2010";"2928017,26617166";"0,313524342645183";"930002"
"1";"3346167,77210427";"3341067,87474093";"3342525,14057421";"0,0206561439539377";"0,0191313610190401";"0,0191313610190401";" ";"2011";"2718882,4059288";"0,290380789404732";"826884"
"2";"3273469,543379";"2821192,30405029";"2821190,94817601";"0,0606621201734553";"0,0561841999071434";"0,0561841999071434";" ";"2012";"2560435,61442645";"0,290380789404732";"784265,211620849"
"3";"2280184,03654812";"2651666,53824024";"2295556,73130814";"0,134628179831217";"0,124690277015438";"0,124690277015438";" ";"";"";"";""
"4";"3210455,10041381";"1715368,58803326";"2014755,90212080";"0,212863501874527";"0,197150470640594";"0,197150470640594";" ";"";"";"";""
"5";"2305065,22792808";"2233453,85466470";"1212249,23630452";"0,273009874794619";"0,252856994418027";"0,252856994418027";" ";"";"";"";""
"6";"1043617,61368541";"1509984,06788851";"1492857,70607413";"0,342532208989764";"0,317247370343933";"0,317247370343933";" ";"";"";"";""
"7";"531144,762432904";"637730,781643092";"946344,822398206";"0,355469195074475";"0,329229381693041";"0,329229381693041";" ";"";"";"";""
"8";"752006,735642139";"320398,460835017";"394921,432577609";"0,383746932492529";"0,355419729928065";"0,355419729928065";" ";"";"";"";""
"9";"272541,313120513";"440979,482044429";"193281,114575998";"0,395422508249509";"0,366233444985921";"0,366233444985921";" ";"";"";"";""
"10";"64379,4800522735";"157964,085802879";"263160,708213042";"0,418812621682339";"0,387896960952775";"0,387896960952775";" ";"";"";"";""
"11";"54993,037041738";"36451,4897226392";"92247,0903213678";"0,409514812191929";"0,379285491627040";"0,379285491627040";" ";"";"";"";""
"12";"38546,0472507862";"53456,3028274226";"52957,9989265267";"0,409514812191929";"0,379285491627040";"0,379285491627040";" ";"";"";"";""
""
"d), Catch(2011) = 2010 catch (excl, interannual transfer and discard) +20%"
"Age";"N(2010)";"N(2011)";"N(2012)";"F(2010)";"F(2011)";"F(2012)";"";"Year";"SSB";"F,bar";"Yield"
"0";"3904766,27349082";"3904766,27349082";"3904766,27349082";"0,00590744949658589";"0,00675681875750697";"0,00675681875750697";" ";"2010";"2928017,26617166";"0,313524342645183";"930002"
"1";"3346167,77210427";"3341067,87474093";"3338231,27921853";"0,0206561439539377";"0,0236260709476048";"0,0236260709476048";" ";"2011";"2656034,85393668";"0,358602669484406";"992260,8"
"2";"3273469,543379";"2821192,30405029";"2808538,96800136";"0,0606621201734553";"0,0693840805063217";"0,0693840805063217";" ";"2012";"2391700,04754089";"0,358602669484406";"892457,945548165"
"3";"2280184,03654812";"2651666,53824024";"2265454,76479946";"0,134628179831217";"0,153984932295792";"0,153984932295792";" ";"";"";"";""
"4";"3210455,10041381";"1715368,58803326";"1956590,45054804";"0,212863501874527";"0,24346887825036";"0,24346887825036";" ";"";"";"";""
"5";"2305065,22792808";"2233453,85466470";"1157380,31192995";"0,273009874794619";"0,312263057697406";"0,312263057697406";" ";"";"";"";""
"6";"1043617,61368541";"1509984,06788851";"1406755,71707083";"0,342532208989764";"0,391781268056531";"0,391781268056531";" ";"";"";"";""
"7";"531144,762432904";"637730,781643092";"878374,561793931";"0,355469195074475";"0,406578325618055";"0,406578325618055";" ";"";"";"";""
"8";"752006,735642139";"320398,460835017";"365526,177000289";"0,383746932492529";"0,438921817799679";"0,438921817799679";" ";"";"";"";""
"9";"272541,313120513";"440979,482044429";"177797,203302221";"0,395422508249509";"0,452276100273876";"0,452276100273876";" ";"";"";"";""
"10";"64379,4800522735";"157964,085802879";"241464,447784873";"0,418812621682339";"0,479029229060588";"0,479029229060588";" ";"";"";"";""
"11";"54993,037041738";"36451,4897226392";"84212,0879321358";"0,409514812191929";"0,468394586546109";"0,468394586546109";" ";"";"";"";""
"12";"38546,0472507862";"53456,3028274226";"48443,1057183076";"0,409514812191929";"0,468394586546109";"0,468394586546109";" ";"";"";"";""
""
"e), Fbar(2011) = 0,20"
"Age";"N(2010)";"N(2011)";"N(2012)";"F(2010)";"F(2011)";"F(2012)";"";"Year";"SSB";"F,bar";"Yield"
