"Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9"
0.0102637,0.118196,0.166437,0.166437,0.166437,0.166437,0.166437,0.166437,0.070865
0.00852111,0.0981283,0.138178,0.138178,0.138178,0.138178,0.138178,0.138178,0.0588331
0.0090768,0.104528,0.147189,0.147189,0.147189,0.147189,0.147189,0.147189,0.0626699
0.0083069,0.0956615,0.134705,0.134705,0.134705,0.134705,0.134705,0.134705,0.0573541
0.0133024,0.153189,0.215711,0.215711,0.215711,0.215711,0.215711,0.215711,0.091845
0.0105246,0.1212,0.170666,0.170666,0.170666,0.170666,0.170666,0.170666,0.0726657
0.00652691,0.0751634,0.10584,0.10584,0.10584,0.10584,0.10584,0.10584,0.0450644
0.00939584,0.108202,0.152363,0.152363,0.152363,0.152363,0.152363,0.152363,0.0648726
0.0133488,0.153724,0.216465,0.216465,0.216465,0.216465,0.216465,0.216465,0.0921657
0.0150984,0.173872,0.244836,0.244836,0.244836,0.244836,0.244835,0.244835,0.104245
0.0162573,0.187218,0.263629,0.263629,0.263629,0.263629,0.263628,0.263628,0.112247
0.0244137,0.281146,0.395892,0.395892,0.395892,0.395892,0.395892,0.395892,0.168562
0.0220616,0.254059,0.35775,0.35775,0.35775,0.35775,0.35775,0.35775,0.152322
0.0303804,0.349857,0.492648,0.492648,0.492648,0.492648,0.492647,0.492648,0.209758
0.0377301,0.434497,0.611831,0.611831,0.611831,0.611831,0.611831,0.611831,0.260504
0.0347868,0.400602,0.564103,0.564103,0.564103,0.564103,0.564102,0.564102,0.240182
0.0332515,0.382921,0.539206,0.539206,0.539206,0.539206,0.539206,0.539206,0.229581
0.0346528,0.399059,0.56193,0.56193,0.56193,0.56193,0.56193,0.56193,0.239257
0.0259815,0.299201,0.421316,0.421316,0.421316,0.421316,0.421316,0.421316,0.179387
0.0194142,0.223572,0.31482,0.31482,0.31482,0.31482,0.31482,0.31482,0.134043
0.0178557,0.205624,0.289547,0.289547,0.289547,0.289547,0.289547,0.289547,0.123283
0.028315,0.326073,0.459156,0.459156,0.459156,0.459156,0.459156,0.459156,0.195498
0.0364247,0.419463,0.590662,0.590662,0.590662,0.590662,0.590662,0.590662,0.25149
0.0565195,0.650874,0.916521,0.91652,0.91652,0.91652,0.91652,0.91652,0.390233
0.0311251,0.358434,0.504725,0.504725,0.504725,0.504725,0.504724,0.504725,0.2149
0.0380267,0.437912,0.616641,0.616641,0.616641,0.616641,0.616641,0.616641,0.262552
0.0322985,0.371947,0.523752,0.523752,0.523752,0.523752,0.523752,0.523752,0.223002
0.0217767,0.250778,0.35313,0.35313,0.35313,0.35313,0.35313,0.35313,0.150355
0.0250602,0.288591,0.406376,0.406376,0.406376,0.406376,0.406376,0.406376,0.173026
0.0268145,0.308794,0.434825,0.434825,0.434825,0.434825,0.434824,0.434824,0.185138
0.0158884,0.18297,0.257647,0.257647,0.257647,0.257647,0.257647,0.257647,0.1097
0.0194547,0.224038,0.315477,0.315477,0.315477,0.315477,0.315477,0.315477,0.134323
0.016922,0.194872,0.274406,0.274406,0.274406,0.274406,0.274406,0.274406,0.116836
0.0259968,0.299377,0.421564,0.421564,0.421564,0.421564,0.421563,0.421563,0.179492
0.0334651,0.385382,0.542671,0.542671,0.542671,0.542671,0.54267,0.54267,0.231057
0.0224189,0.258174,0.363545,0.363545,0.363545,0.363545,0.363544,0.363544,0.154789
0.021976,0.253074,0.356363,0.356363,0.356363,0.356363,0.356363,0.356363,0.151731
0.0265551,0.305806,0.430617,0.430617,0.430617,0.430617,0.430616,0.430617,0.183347
0.0211192,0.243207,0.342469,0.342469,0.342469,0.342469,0.342468,0.342469,0.145815
0.0280764,0.323326,0.455287,0.455287,0.455287,0.455287,0.455287,0.455287,0.193851
0.0309141,0.356004,0.501302,0.501302,0.501302,0.501302,0.501302,0.501302,0.213443
0.0442014,0.50902,0.716771,0.716771,0.71677,0.716771,0.71677,0.71677,0.305184
0.0460198,0.52996,0.746257,0.746257,0.746257,0.746257,0.746257,0.746257,0.317739
0.0397648,0.457928,0.644826,0.644826,0.644826,0.644826,0.644826,0.644826,0.274552
0.0157356,0.18121,0.255169,0.255169,0.255169,0.255169,0.255168,0.255169,0.108645
0.0231547,0.266648,0.375477,0.375477,0.375477,0.375477,0.375477,0.375477,0.15987
0.0273645,0.315127,0.443743,0.443743,0.443743,0.443743,0.443743,0.443743,0.188936
0.0209043,0.240732,0.338983,0.338983,0.338983,0.338983,0.338983,0.338983,0.144331
0.00850884,0.0979871,0.137979,0.137979,0.137979,0.137979,0.137979,0.137979,0.0587484
0.00798104,0.0919089,0.129421,0.129421,0.12942,0.129421,0.12942,0.12942,0.0551043
0.0045613,0.0525276,0.0739661,0.0739661,0.0739661,0.0739661,0.073966,0.0739661,0.0314931
0.00418139,0.0481525,0.0678054,0.0678054,0.0678054,0.0678054,0.0678054,0.0678054,0.02887
0.00510118,0.0587447,0.0827207,0.0827207,0.0827207,0.0827207,0.0827206,0.0827207,0.0352206
0.00620156,0.0714166,0.100565,0.100565,0.100565,0.100565,0.100564,0.100564,0.042818
0.0111506,0.128409,0.180818,0.180818,0.180818,0.180818,0.180818,0.180818,0.0769882
0.00848337,0.0976937,0.137566,0.137566,0.137566,0.137566,0.137566,0.137566,0.0585726
