"Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9"
423386,124669,283248,148598,85058.4,150817,72220,57962.6,63770.8
1567250,194577,75144.7,167544,89404,52209.4,93036.5,44907,79515.5
364788,721577,119778,45773.5,103808,56512.2,33166.9,59565,83693
391697,167872,441748,72402.6,28143.3,65114.1,35625.4,21072.9,95468.3
834973,180395,103701,270400,45078.5,17876.2,41566.9,22919.3,79682.2
404204,382629,105168,58552.9,155294,26412.2,10526.5,24678.7,66839.8
1379700,185748,230440,62135.7,35187.6,95210.2,16274.4,6537.9,60891.4
420824,636561,117165,145224,39829.6,23011.2,62575.6,10777.7,47060.6
740330,193606,388464,70509.9,88894.1,24872.9,14442.2,39583,39166.9
774474,339247,112825,219220,40472.6,52056,14638.4,8569.78,49626.9
906283,354283,193794,61923.1,122380,23050.3,29796,8449.26,37687
467923,414098,199674,104382,33925.1,68401.2,12948,16879.8,29440.7
254252,212068,212353,94278,50129.9,16621.8,33681.6,6434.83,26537.1
823762,115497,111706,104085,47002.6,25497.3,8496.66,17373,19962.8
282462,371095,55229.2,47844.5,45344.6,20890.4,11389.1,3832.55,19609.4
327112,126330,163202,21048.6,18546.8,17932.8,8303.11,4574.19,12532.6
162736,146717,57421.9,65127.4,8543.68,7680.28,7463.24,3490.9,9092
204243,73106,67921,23507.6,27119.2,3629.48,3279.05,3218.49,6765.68
227687,91621.4,33288.1,27171.3,9565.26,11257.8,1514.22,1381.99,5229.81
186514,103031,46148.2,15328.7,12726.5,4570.69,5406.4,734.028,3859.69
147745,84956.4,56006.9,23634.7,7985.16,6763.53,2441.28,2913.07,2864.37
281944,67401.5,47016.2,29409.1,12623.4,4351.05,3703.86,1348.48,3459.69
168486,127286,33043.8,20849.4,13265.1,5808.86,2012.25,1729.42,2704.03
465325,75454.2,56840.8,12864.9,8256.45,5359.16,2358.56,825.495,2238.25
724304,204252,26704.6,16001.5,3683.75,2411.92,1573.4,700.904,1340.93
782865,326106,97034.3,11334,6907.81,1622.39,1067.58,703.3,1101.48
665226,350059,143062,36853.9,4378.48,2722.5,642.619,427.303,897.383
640540,299151,164022,59560.3,15606.2,1891.57,1182.06,281.798,710.373
651133,291075,158220,80853.2,29863.1,7982.92,972.432,613.161,592.73
1193290,294924,148229,73982.4,38454.6,14490.1,3892.88,478.627,665.283
474669,539552,147205,67397.9,34215.6,18143.9,6871.1,1863.47,632.238
574531,216977,305597,79835.9,37179.7,19256.2,10262.4,3919.3,1476.39
502765,261678,117850,156331,41540.9,19736.5,10273.2,5523.21,3049.8
208277,229574,146382,62817.3,84757.4,22977.1,10971.4,5759.76,5078.3
959559,94244.5,115591,67372.6,29407.6,40480.3,11028.9,5315.76,5882.27
359808,430976,43527.5,47166.9,27962.7,12452,17226.5,4740.76,5679.24
767492,163412,226458,21262.1,23434.9,14173.9,6343.42,8855.25,5989.97
719251,348695,86229.1,111273,10626.5,11949,7263.25,3279.99,8332.1
352146,325312,174656,39399.8,51714.5,5038.48,5693.94,3493.79,6640.8
371532,160136,173480,87090.2,19983.1,26758.8,2620.15,2987.52,6028.32
247504,167784,78795.2,77323.8,39483.6,9242.65,12438.6,1229.63,5024.05
477690,111465,79960.1,33589.1,33527,17465.6,4109,5584.27,3512.63
464547,212340,45657.7,27598.7,11792.3,12008.3,6286.96,1495.42,3909.3
480795,206237,85715.7,15441.1,9493.7,4138.38,4235.3,2242.16,2610.11
531076,214865,89877.2,32254.9,5910.11,3707.14,1624.07,1679.65,2341.79
156929,242966,122891,49412.3,18037,3371.71,2125.52,938.997,2516.26
415435,71303.5,128332,60465.1,24728.8,9209.13,1730.12,1100.51,2066.69
1296510,188037,36022,59342,28439.1,11865.9,4441.05,842.17,1797.93
444255,590872,102855,18609.6,31182.8,15245.9,6393.07,2413.68,1611.77
1008500,204779,368709,63851.7,11750.8,20087.8,9870.57,4170.94,2697.23
424341,465088,128489,230656,40629.2,7628.16,13105.5,6489.06,4627
1608210,196285,302236,84408.5,154124,27696.7,5226.13,9045.08,7784.84
1013260,744146,128047,199616,56704.7,105630,19077.3,3626.23,11852.8
1018930,468468,480842,83454.5,132330,38350.3,71797.5,13063.4,10925.9
