"Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9"
416132,122970,280807,150952,89823.2,160035,78233.7,63715,82671.5
1556490,191312,74616.5,167229,91437.4,55508.5,99393.6,48930.2,96857.6
360855,716763,118280,45630.6,104020,58025,35401.5,63835.3,98925.4
388774,166062,439796,71559.5,28079.9,65304.1,36611,22493.6,109207
832844,179042,102748,269243,44559.9,17838.5,41694,23538.8,90601.2
402677,381611,104589,57981.9,154542,26093.5,10498.3,24710.1,75100.1
1373820,185020,230056,61714.4,34799.8,94627.4,16057.4,6505.78,66910
418496,633799,116785,144878,39531,22741.2,62147.8,10620,51481
737645,192506,387015,70172.9,88545.8,24648.4,14250.7,39218.3,42328.2
771353,337965,112357,218130,40229.2,51787.6,14488.3,8435.42,51769.3
903588,352774,193269,61522.1,121487,22858.1,29573.1,8331.63,39374.6
467116,412771,199095,103868,33630.5,67751.3,12811.5,16691.5,30765.7
253033,211637,212198,93747.8,49746.7,16432.4,33270.4,6335.49,27573.7
822709,114914,111765,103799,46644,25251.4,8382.89,17091.9,20834.8
281054,370511,55176.8,47775.7,45131,20690.2,11257.1,3763.34,20261.8
325801,125634,163472,20922.3,18426.5,17758.1,8181.95,4482.88,13170.2
162111,146078,57367.1,65076.3,8471.73,7611.87,7372.53,3420.72,9609.2
203103,72794.4,67851.3,23396.6,26995.7,3585.34,3237.58,3157.81,7163.45
226247,91071.6,33270,27046.1,9485.94,11166.3,1490.45,1355.34,5531.3
185503,102338,45952.2,15257,12615.4,4514.03,5340.29,717.813,4089.74
147208,84466.7,55675.7,23445.1,7917.64,6679.07,2401.87,2861.48,3036.25
280881,67135.7,46786.4,29138.5,12480.6,4299.98,3645.5,1320.17,3561.45
167500,126750,32976.4,20653.6,13083.6,5717.18,1979.63,1690.11,2791.71
464006,74966.4,56709.2,12754,8125.01,5250.97,2306.04,804.096,2307.35
721610,203510,26657.2,15840.9,3623.74,2355.16,1529.7,676.51,1412.6
781099,324713,96807.5,11245.1,6796.92,1586.26,1036.12,677.699,1148.73
662563,349053,142770,36528.3,4315.85,2661.35,624.216,410.592,928.974
637792,297806,163922,59140.2,15390.7,1855.17,1149.71,271.558,732.934
648198,289741,157823,80582.8,29571.4,7851.17,951.105,593.575,608.419
1189280,293496,147892,73567.2,38206.8,14303.9,3816.71,465.612,671.11
473219,537542,146833,67006.6,33903,17963.1,6758.76,1816.11,636.56
572427,216257,304708,79404.6,36857.1,19025.2,10130.8,3838.57,1453.84
501415,260664,117730,155610,41245.9,19531.8,10132.6,5433.43,3001.7
207514,228908,146056,62629.4,84199.9,22768.9,10836.2,5661.01,5014.48
954574,93873.1,115624,67080.1,29257.3,40128.6,10905.8,5226.72,5848.28
358080,428591,43543.9,47065.8,27773.7,12358.3,17035.3,4662.22,5699.82
762863,162557,225327,21165.2,23269.3,14008.7,6264.62,8696.13,6004.79
714985,346489,85947.7,110406,10548.3,11831.3,7158.4,3223.7,8305.93
349939,323229,173739,39066.3,51043.8,4975.32,5608.41,3417.16,6681.77
368348,159071,172505,86264.5,19729.7,26299.4,2576.3,2924.52,6067.38
244887,166270,78402.2,76521.9,38922.3,9081.81,12166.6,1200.22,5082.95
467131,110219,79290.9,33190.6,32950.1,17098.4,4009.59,5409.26,3592.96
449799,207439,45119.8,27039,11512.4,11659.8,6080.83,1435.98,3921.22
451961,199332,82957,14885.5,9073.38,3941.22,4011.7,2106.87,2634.4
490296,201528,85489.8,30218.8,5515.3,3429.75,1497.25,1534.73,2299.44
143963,224034,114084,46143.5,16590.4,3089.12,1930.63,848.734,2394.68
359862,65275.5,116172,54380.6,22372.4,8206.25,1535.66,966.493,1935.99
1087700,162447,32188.6,51569.1,24553.7,10305.6,3799.04,715.919,1638.06
370229,494105,86038.4,15810.6,25764.3,12515,5279.06,1959.75,1415.4
823782,170373,303122,52040.3,9726.98,16170.9,7894.38,3353.4,2226.96
348151,379293,105152,184916,32290.8,6157.49,10288,5057.73,3698.89
1274910,160881,243937,68000.5,121633,21669.1,4152.77,6987.24,6070.83
1006760,589367,103925,158737,45008.6,82133.6,14705.6,2838.04,9111.96
1325620,464887,375940,66428.8,103204,29853.9,54751.7,9871.88,8368.27
905675,611356,292313,235465,42320,67076.9,19500.6,36015.1,12381.3
494823,415240,359657,166613,136511,25030.8,39872.5,11673.2,29948.8
357287,227505,252159,214422,101035,84453.7,15563.1,24965.2,27969.8
132033,163660,132442,141604,122477,58876.5,49460.7,9178.63,33564.8
263363,60204.7,90474,69122.5,75171.2,66330.8,32046.1,27110.2,26990.6
