"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"0",NA,NA,NA,1.33434838248747,1.2631936017602,1.19652659625688,1.13469800898234,1.07805848294139,1.02695866113887,0.981630804130277,0.941738994934968,0.906781610253591,0.876257026786789,0.849663621235205,0.826499770299484,0.810611723269957,0.804280021796699,0.804654481119969,0.808884916480024,0.814121143117122,0.817512976271521,0.822296181047154,0.83193434964623,0.843919037956424,0.855741801865409,0.864894197260859,0.868867780030448,0.866531955727859,0.85989375257205,0.851151160448598,0.842502169243082,0.836144768841083,0.834276949128178,0.835965107716134,0.838749817312685,0.842540330447361,0.847245899649692,0.852775777449208,0.859039216375439,0.86596819348142,0.873608622357904,0.882040660340997,0.891344464766804,0.901600192971432,0.912888002290987,0.92518918582359,0.938418898227799,0.952558089180371,0.967587708358065,0.98348870543764,1.00024203009585
"1",NA,NA,NA,0.857767408568646,0.86311679407398,0.867823601821622,0.871828404084113,0.875071773133996,0.877494281243812,0.87904388780904,0.879765831381264,0.879746602967181,0.879072693573492,0.877830594206895,0.876106795874088,0.873437938602066,0.869540702706439,0.864771639626833,0.859487300802873,0.854044237674182,0.848799001680386,0.843938796980726,0.839192823989547,0.834230628529127,0.828721756421744,0.822335753489677,0.814742165555204,0.804568566587604,0.791679248330302,0.777598833266803,0.763851943880608,0.751963202655221,0.743457232074142,0.738429982178237,0.735400088843727,0.733526203307146,0.73196697680503,0.729881060573917,0.726427105850341,0.722060989232007,0.717778651448616,0.713548839934698,0.709340302124783,0.7051217854534,0.700862037355081,0.696547344379628,0.692189623864896,0.687796069427495,0.683373874684032,0.678930233251116,0.674472338745356
"2",NA,NA,NA,0.303734909684407,0.322530752082788,0.339909554592505,0.355760970314628,0.369974652350229,0.382440253800381,0.393096170311284,0.402051493135857,0.409451918785239,0.415443143770574,0.420170864603003,0.423780777793669,0.425109544228267,0.423484053802541,0.419785346542705,0.414894462474973,0.40969244162556,0.405060324020679,0.399783640740393,0.392708113919776,0.384805070167559,0.377045836092473,0.370401738303248,0.365844103408615,0.362167546607867,0.357931679826434,0.353755324762252,0.350257303113259,0.348056436577391,0.347771546852587,0.350181210769474,0.354955234932903,0.361049285702145,0.367419029436469,0.373020132495144,0.37680826123744,0.379561294534231,0.382613130112007,0.385753462613465,0.3887719866813,0.391458396958209,0.393602388086887,0.395189763510324,0.396378259090766,0.397215468099795,0.397748983808989,0.398026399489931,0.3980953084142
"3",NA,NA,NA,0.278022381119678,0.298724836923917,0.317826581369482,0.335214655385853,0.350776099902505,0.364397955848919,0.376016490820053,0.385743933181725,0.393731265019695,0.400129468419725,0.405089525467576,0.408762418249009,0.409941762745219,0.407925563664885,0.403621386184993,0.397936795482532,0.391779356734488,0.386056635117851,0.379200731541354,0.369909167384701,0.359487638531331,0.349241840864685,0.340477470268202,0.334500222625322,0.330090593237475,0.325473709673886,0.321122216219688,0.317508757160012,0.315105976779992,0.31438651936476,0.316060498133434,0.31992787146275,0.325096051374272,0.330672449889561,0.335764479030182,0.339479550817697,0.342509683116468,0.346002516208276,0.349748895740812,0.353539667361764,0.357165676718824,0.36041776945968,0.363284833238729,0.365927177298184,0.368392779667456,0.370729618375959,0.372985671453105,0.375208916928307
"4",NA,NA,NA,0.249590220809279,0.271227471790445,0.291223064183824,0.30945914929937,0.325817878447037,0.34018140293678,0.352484490696317,0.362846462555115,0.371426299175749,0.378382981220795,0.38387548935283,0.388062804234429,0.389728920810947,0.388155264982949,0.38424696384583,0.378909144494984,0.373046934025804,0.367565459533686,0.360827961796758,0.351505461844061,0.340964757147359,0.330572645178413,0.321695923408986,0.315701389310839,0.311447776087209,0.307148952468271,0.303204419216197,0.300013677093157,0.297976226861323,0.297491569282865,0.299173760410867,0.302854046971631,0.307757715737158,0.313110053479446,0.318136346970494,0.322061882982302,0.325489872833274,0.329417379335418,0.333660466501143,0.338035198342855,0.342357638872961,0.346443852103869,0.350280083339424,0.354003727970537,0.357657575140214,0.361284413991458,0.364927033667275,0.36862822331067
"5",NA,NA,NA,0.227952315076535,0.249591552273956,0.269584003162755,0.287800341703392,0.304111241856328,0.318387377582023,0.330554646251824,0.340743045390446,0.3491293991884,0.355890531836197,0.36120326752435,0.365244430443368,0.366689732852877,0.36475141331729,0.3604110854843,0.354650363001602,0.34845085951689,0.342794188677859,0.336033334212883,0.326772318118777,0.316369311445894,0.306182485244588,0.297570010565212,0.291890058458118,0.288123954922323,0.284552334673607,0.281482331837474,0.279221080539426,0.278075714904966,0.278353369059598,0.280791506968047,0.285343868694451,0.291142002513429,0.297317456699596,0.30300177952757,0.30732651927197,0.310956764550912,0.315007647487648,0.3192857816145,0.323597780463788,0.327750257567835,0.331549826458959,0.33498152460523,0.338189340939764,0.341218316192459,0.344113491093211,0.346919906371918,0.349682602758476
"6",NA,NA,NA,0.229446398241455,0.249993734760015,0.268952468777465,0.28618857287002,0.3015680196139,0.31495678158532,0.326277655053178,0.335665109005157,0.343302625095651,0.349373684979059,0.354061770309775,0.357550362742197,0.358445949638157,0.355921976229498,0.351012360975626,0.344751022335947,0.338171878769868,0.332308848736795,0.325570156039298,0.316541426073039,0.306522679687066,0.296813937730425,0.288715221052164,0.283526550501331,0.280387754921242,0.277692735238376,0.275622620426521,0.274358539459465,0.274081621310994,0.274972994954898,0.277864436017599,0.282864017994491,0.289067316662822,0.295569907799842,0.301467367182798,0.305855270588938,0.309429825411394,0.313355197518044,0.317428900398256,0.321448447541398,0.325211352436836,0.328515128573939,0.331346009427471,0.333856629467551,0.336094103676577,0.338105547036947,0.339938074531058,0.341638801141309
"7",NA,NA,NA,0.226258731757372,0.246021700987823,0.264236418453421,0.280768614277321,0.29548401858268,0.308248361492654,0.318981534896887,0.327816437957562,0.334938311706637,0.340532397176072,0.344783935397827,0.34787816740386,0.34839085787084,0.345479932171274,0.340203872380879,0.333621160575371,0.326790278830467,0.320769709221884,0.31395167033921,0.304897067674313,0.294917413656325,0.285324220714381,0.277429001277613,0.272543267775155,0.269867908161271,0.267804411695883,0.266465192766608,0.265962665761064,0.266409245066868,0.267917345071638,0.271451120088619,0.277231639217565,0.284256689025853,0.291524056080862,0.298031526949972,0.30277688820056,0.306533339370819,0.310592076198543,0.314727879550522,0.318715530293541,0.322329809294389,0.325345497419852,0.327750812747578,0.329718816569094,0.331301554572014,0.33255107244395,0.333519415872514,0.334258630545319
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
