Year    LAIUnit Area    L<=9
      72B1      Or/Sh       1133
      72B2      Or/Sh       4583
      72C1      Buchan        30
      72C2      Buchan         0
      72D1      CNS          165
      72D2      CNS           88
      72D3      CNS          134
      72D4      CNS           22
      72E6      SNS            2
      72E7      SNS           46
      72E8      SNS            0
      73B1      Or/Sh       2029
      73B2      Or/Sh        822
      73C1      Buchan         3
      73C2      Buchan         4
      73D1      CNS          492
      73D2      CNS          830
      73D3      CNS         1213
      73D4      CNS          152
      73E8      SNS            1
      74B1      Or/Sh        758
      74B2      Or/Sh        421
      74C1      Buchan       101
      74C2      Buchan       284
      74D1      CNS           81
      74D3      CNS         1184
      74E7      SNS           10
      75B1      Or/Sh        371
      75B2      Or/Sh         50
      75C1      Buchan       312
      75D2      CNS           90
      75D3      CNS           77
      75D4      CNS            6
      75E6      SNS            1
      75E7      SNS            2
      75E8      SNS            0
      76B1      Or/Sh        545
      76B2      Or/Sh         81
      76C1      Buchan         0
      76C2      Buchan         1
      76D1      CNS           64
      76D2      CNS          108
      76D3      CNS            0
      76D4      CNS           10
      76E7      SNS            3
      77B1      Or/Sh       1133
      77B2      Or/Sh        221
      77C1      Buchan       124
      77C2      Buchan        32
      77D1      CNS          520
      77D2      CNS          262
      77D3      CNS           89
      77D4      CNS            3
      77E6      SNS            1
      77E7      SNS            0
      78B1      Or/Sh       3047
      78B2      Or/Sh         50
      78C2      Buchan       162
      78D1      CNS         1406
      78D2      CNS           81
      78D3      CNS          269
      78D4      CNS            2
      78E6      SNS           33
      78E7      SNS            3
      79B1      Or/Sh       2882
      79B2      Or/Sh       2362
      79C1      Buchan       197
      79C2      Buchan        10
      79D1      CNS          662
      79D2      CNS          131
      79D3      CNS          507
      79D4      CNS            7
      79E7      SNS          111
      79E8      SNS           89
      80B1      Or/Sh       3534
      80B2      Or/Sh        720
      80C1      Buchan        21
      80C2      Buchan         1
      80D1      CNS          317
      80D2      CNS          188
      80D3      CNS            9
      80D4      CNS           13
      80E6      SNS          247
      80E7      SNS          129
      80E8      SNS           40
      81B1      Or/Sh       3667
      81B2      Or/Sh        277
      81C1      Buchan         3
      81C2      Buchan        12
      81D1      CNS          903
      81D2      CNS          235
      81D3      CNS          119
      81D4      CNS            0
      81E6      SNS         1456
      81E8      SNS           70
      82B1      Or/Sh       2353
      82B2      Or/Sh       1116
      82C1      Buchan       340
      82C2      Buchan       257
      82D1      CNS           86
      82D2      CNS           64
      82D3      CNS         1077
      82D4      CNS           23
      82E6      SNS          710
      82E7      SNS          275
      82E8      SNS           54
      83B1      Or/Sh       2579
      83B2      Or/Sh        812
      83C1      Buchan      3647
      83C2      Buchan       768
      83D1      CNS         1459
      83D2      CNS          281
      83D3      CNS           63
      83E6      SNS           71
      83E7      SNS          243
