"Rationale","Fbar (2016)","Catch (2016)","SSB (2016)","Fbar (2017)","Catch (2017)","SSB (2017)","SSB (2018)"
Catch(2017) = Zero,0.243155308944398,18590,84923.2219376484,5.94149387843462e-35,4.1350467775482e-30,83468.2852331788,89094.3279572104
Catch(2017) = 2016 TAC -15%,0.243155308944398,18590,84923.2219376484,0.206582793995855,13125.7,76175.8821116824,73808.9599845343
Catch(2017) = 2016 TAC,0.243155308944398,18590,84923.2219376484,0.24733323679356,15442,74829.4222998234,72172.2676850662
Catch(2017) = 2016 TAC +15%,0.243155308944398,18590,84923.2219376484,0.289603601848129,17758.3,73463.1064992293,70539.141769141
Catch(2017) = 2016 TAC +30%,0.243155308944398,18590,84923.2219376484,0.333505359949763,20074.6,72076.0350680451,68909.768770611
Catch(2017) = 2016 TAC -30%,0.243155308944398,18590,84923.2219376484,0.167251563466371,10809.4,77503.3243095071,75449.0466111549
Fbar(2017) = Fmsy,0.243155308944398,18590,84923.2219376484,0.26,16145.1764956914,74416.7786408819,71676.1021790511
Fbar(2017) = Fmgt,0.243155308944398,18590,84923.2219376484,0.23,14466.9455886059,75398.5894010091,72860.8144981663
Fbar(2017) = Fpa,0.243155308944398,18590,84923.2219376484,0.37,21933.450401025,70947.2356871899,67605.0338451328
Fbar(2017) = Flim,0.243155308944398,18590,84923.2219376484,0.61,32795.8144436708,64041.1039317953,60038.1074554767
Fbar(2017) = 0.18,0.243155308944398,18590,84923.2219376484,0.18,11569.0525481222,77070.0236655824,74910.8006121845
