"Rationale","Fbar (2016)","Catch (2016)","SSB (2016)","Fbar (2017)","Catch (2017)","SSB (2017)","SSB (2018)"
Fmult(2017) = 0.000,0.243155308944398,18590,84923.2219376484,0,0,83468.2852331788,57900.7390847413
Fmult(2017) = 0.100,0.243155308944398,18590,84923.2219376484,0.1,6656.23713876242,79838.2755383055,54915.5350426067
Fmult(2017) = 0.200,0.243155308944398,18590,84923.2219376484,0.2,12743.6312302343,76396.129042954,52196.6484694258
Fmult(2017) = 0.300,0.243155308944398,18590,84923.2219376484,0.3,18314.9159582084,73131.717683698,49718.8426071057
Fmult(2017) = 0.400,0.243155308944398,18590,84923.2219376484,0.4,23417.7705258484,70035.470977619,47459.3310674936
Fmult(2017) = 0.500,0.243155308944398,18590,84923.2219376484,0.5,28095.313715776,67098.3449015311,45397.5362777416
Fmult(2017) = 0.600,0.243155308944398,18590,84923.2219376484,0.6,32386.5490354888,64311.7925247203,43514.8719859365
Fmult(2017) = 0.700,0.243155308944398,18590,84923.2219376484,0.7,36326.7658334506,61667.7362957338,41794.5474129279
Fmult(2017) = 0.800,0.243155308944398,18590,84923.2219376484,0.8,39947.9007802757,59158.5418894231,40221.3908797615
Fmult(2017) = 0.900,0.243155308944398,18590,84923.2219376484,0.9,43278.8636680446,56776.9935257906,38781.6909589522
Fmult(2017) = 1.000,0.243155308944398,18590,84923.2219376484,1,46345.8310839503,54516.2706772272,37463.0533945137
Fmult(2017) = 1.100,0.243155308944398,18590,84923.2219376484,1.1,49172.5111576517,52369.9260854797,36254.2722124423
Fmult(2017) = 1.200,0.243155308944398,18590,84923.2219376484,1.2,51780.3822608676,50331.8650141671,35145.2136022574
Fmult(2017) = 1.300,0.243155308944398,18590,84923.2219376484,1.3,54188.9082492345,48396.3256668863,34126.7112930358
Fmult(2017) = 1.400,0.243155308944398,18590,84923.2219376484,1.4,56415.7325770068,46557.8607049313,33190.4722757801
Fmult(2017) = 1.500,0.243155308944398,18590,84923.2219376484,1.5,58476.8533818577,44811.3198024054,32328.9918393862
Fmult(2017) = 1.600,0.243155308944398,18590,84923.2219376484,1.6,60386.7814272072,43151.8331800412,31535.4769912464
Fmult(2017) = 1.700,0.243155308944398,18590,84923.2219376484,1.7,62158.6826007786,41574.7960623889,30803.7774268172
Fmult(2017) = 1.800,0.243155308944398,18590,84923.2219376484,1.8,63804.5064983429,40075.8540061722,30128.3232963564
Fmult(2017) = 1.900,0.243155308944398,18590,84923.2219376484,1.9,65335.1024689311,38650.8890505852,29504.0690924541
Fmult(2017) = 2.000,0.243155308944398,18590,84923.2219376484,2,66760.3243604517,37296.0066430976,28926.443049789
