"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","SSB (2020)"
Fmult(2018) = 0.000,0.0639962809683265,5800,91514.964776335,0,0,89088.7005732119,52703.6358599509
Fmult(2018) = 0.100,0.0639962809683265,5800,91514.964776335,0.1,7852.36528367074,84294.4577042553,49638.089068675
Fmult(2018) = 0.200,0.0639962809683265,5800,91514.964776335,0.2,15083.8904278748,79777.4678983417,46825.2026882214
Fmult(2018) = 0.300,0.0639962809683265,5800,91514.964776335,0.3,21748.0552527806,75520.8393648743,44242.8312227906
Fmult(2018) = 0.400,0.0639962809683265,5800,91514.964776335,0.4,27893.5023274345,71508.7460207446,41870.8501561265
Fmult(2018) = 0.500,0.0639962809683265,5800,91514.964776335,0.5,33564.4878326155,67726.3587253638,39690.9665459127
Fmult(2018) = 0.600,0.0639962809683265,5800,91514.964776335,0.6,38801.2895988246,64159.7810171778,37686.5476779901
Fmult(2018) = 0.700,0.0639962809683265,5800,91514.964776335,0.7,43640.5764372615,60795.9890541952,35842.4660388232
Fmult(2018) = 0.800,0.0639962809683265,5800,91514.964776335,0.8,48115.7424823889,57622.7754808438,34144.9590338802
Fmult(2018) = 0.900,0.0639962809683265,5800,91514.964776335,0.9,52257.2099043726,54628.6969619315,32581.5020322901
Fmult(2018) = 1.000,0.0639962809683265,5800,91514.964776335,1,56092.7030244996,51803.0251417183,31140.6934559277
Fmult(2018) = 1.100,0.0639962809683265,5800,91514.964776335,1.1,59647.4965731689,49135.7008021858,29812.150755418
Fmult(2018) = 1.200,0.0639962809683265,5800,91514.964776335,1.2,62944.6405651338,46617.2910095931,28586.4162277539
Fmult(2018) = 1.300,0.0639962809683265,5800,91514.964776335,1.3,66005.1640275374,44238.949052414,27454.8717314859
Fmult(2018) = 1.400,0.0639962809683265,5800,91514.964776335,1.4,68848.2596004157,41992.3769868186,26409.6614468356
Fmult(2018) = 1.500,0.0639962809683265,5800,91514.964776335,1.5,71491.4508344627,39869.7906180593,25443.6219105703
Fmult(2018) = 1.600,0.0639962809683265,5800,91514.964776335,1.6,73950.7438349087,37863.8867575051,24550.2186299336
Fmult(2018) = 1.700,0.0639962809683265,5800,91514.964776335,1.7,76240.7647415144,35967.8126056938,23723.4886471339
Fmult(2018) = 1.800,0.0639962809683265,5800,91514.964776335,1.8,78374.8843912451,34175.1371216859,22957.9884865635
Fmult(2018) = 1.900,0.0639962809683265,5800,91514.964776335,1.9,80365.3313806762,32479.824248262,22248.7469716944
Fmult(2018) = 2.000,0.0639962809683265,5800,91514.964776335,2,82223.2946282173,30876.2078711429,21591.2224480426
