2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",439524,0.767005,0,0.67,0.67,0.0637333333333333,0.000731478442681373,0.0803333333333333
"2",102117.205773062,0.384728,0.8,0.67,0.67,0.142333333333333,0.042673471455235,0.133333333333333
"3",61174.7448938215,0.355633,0.946666666666667,0.67,0.67,0.164333333333333,0.0783553295481971,0.165333333333333
"4",219929.932236462,0.338791,0.996666666666667,0.67,0.67,0.183666666666667,0.0876506111264747,0.185333333333333
"5",96346.3794867318,0.319385,1,0.67,0.67,0.201333333333333,0.0912684544788966,0.199333333333333
"6",40047.7809625562,0.313574,1,0.67,0.67,0.206,0.0843808061099217,0.209
"7",50956.9689045984,0.306805,1,0.67,0.67,0.213333333333333,0.0762593871709799,0.221666666666667
"8",39360.4171442783,0.306805,1,0.67,0.67,0.216,0.0518372543714497,0.235333333333333
"9",44295.5596543406,0.306805,1,0.67,0.67,0.232666666666667,0.0518372543714497,0.253
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",439524,0.767005,0,0.67,0.67,0.0637333333333333,0.000731478442681373,0.0803333333333333
"2",-,0.384728,0.8,0.67,0.67,0.142333333333333,0.042673471455235,0.133333333333333
"3",-,0.355633,0.946666666666667,0.67,0.67,0.164333333333333,0.0783553295481971,0.165333333333333
"4",-,0.338791,0.996666666666667,0.67,0.67,0.183666666666667,0.0876506111264747,0.185333333333333
"5",-,0.319385,1,0.67,0.67,0.201333333333333,0.0912684544788966,0.199333333333333
"6",-,0.313574,1,0.67,0.67,0.206,0.0843808061099217,0.209
"7",-,0.306805,1,0.67,0.67,0.213333333333333,0.0762593871709799,0.221666666666667
"8",-,0.306805,1,0.67,0.67,0.216,0.0518372543714497,0.235333333333333
"9",-,0.306805,1,0.67,0.67,0.232666666666667,0.0518372543714497,0.253
""
2020
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",439524,0.767005,0,0.67,0.67,0.0637333333333333,0.000731478442681373,0.0803333333333333
"2",-,0.384728,0.8,0.67,0.67,0.142333333333333,0.042673471455235,0.133333333333333
"3",-,0.355633,0.946666666666667,0.67,0.67,0.164333333333333,0.0783553295481971,0.165333333333333
"4",-,0.338791,0.996666666666667,0.67,0.67,0.183666666666667,0.0876506111264747,0.185333333333333
"5",-,0.319385,1,0.67,0.67,0.201333333333333,0.0912684544788966,0.199333333333333
"6",-,0.313574,1,0.67,0.67,0.206,0.0843808061099217,0.209
"7",-,0.306805,1,0.67,0.67,0.213333333333333,0.0762593871709799,0.221666666666667
"8",-,0.306805,1,0.67,0.67,0.216,0.0518372543714497,0.235333333333333
"9",-,0.306805,1,0.67,0.67,0.232666666666667,0.0518372543714497,0.253
""
