2016
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",908682,0.767005,0,0.67,0.67,0.0213333333333333,0.000689451,0.0886666666666667
"2",356954.255892048,0.384728,0.336,0.67,0.67,0.139333333333333,0.0382427206666667,0.141
"3",270959.039104484,0.355633,0.766666666666667,0.67,0.67,0.168666666666667,0.066837166,0.171666666666667
"4",173499.863456376,0.338791,0.986666666666667,0.67,0.67,0.192333333333333,0.075323197,0.193666666666667
"5",206699.710514016,0.319385,0.986666666666667,0.67,0.67,0.206666666666667,0.080995783,0.207666666666667
"6",212212.987728815,0.313574,1,0.67,0.67,0.220333333333333,0.072458217,0.221666666666667
"7",286797.867457918,0.306805,0.99,0.67,0.67,0.230333333333333,0.0681597926666667,0.235666666666667
"8",77459.0291961756,0.306805,1,0.67,0.67,0.234666666666667,0.05245029,0.243333333333333
"9",61170.6237880307,0.306805,1,0.67,0.67,0.246,0.05245029,0.264666666666667
""
2017
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",908682,0.767005,0,0.67,0.67,0.0213333333333333,0.000689451,0.0886666666666667
"2",-,0.384728,0.336,0.67,0.67,0.139333333333333,0.0382427206666667,0.141
"3",-,0.355633,0.766666666666667,0.67,0.67,0.168666666666667,0.066837166,0.171666666666667
"4",-,0.338791,0.986666666666667,0.67,0.67,0.192333333333333,0.075323197,0.193666666666667
"5",-,0.319385,0.986666666666667,0.67,0.67,0.206666666666667,0.080995783,0.207666666666667
"6",-,0.313574,1,0.67,0.67,0.220333333333333,0.072458217,0.221666666666667
"7",-,0.306805,0.99,0.67,0.67,0.230333333333333,0.0681597926666667,0.235666666666667
"8",-,0.306805,1,0.67,0.67,0.234666666666667,0.05245029,0.243333333333333
"9",-,0.306805,1,0.67,0.67,0.246,0.05245029,0.264666666666667
""
2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"1",908682,0.767005,0,0.67,0.67,0.0213333333333333,0.000689451,0.0886666666666667
"2",-,0.384728,0.336,0.67,0.67,0.139333333333333,0.0382427206666667,0.141
"3",-,0.355633,0.766666666666667,0.67,0.67,0.168666666666667,0.066837166,0.171666666666667
"4",-,0.338791,0.986666666666667,0.67,0.67,0.192333333333333,0.075323197,0.193666666666667
"5",-,0.319385,0.986666666666667,0.67,0.67,0.206666666666667,0.080995783,0.207666666666667
"6",-,0.313574,1,0.67,0.67,0.220333333333333,0.072458217,0.221666666666667
"7",-,0.306805,0.99,0.67,0.67,0.230333333333333,0.0681597926666667,0.235666666666667
"8",-,0.306805,1,0.67,0.67,0.234666666666667,0.05245029,0.243333333333333
"9",-,0.306805,1,0.67,0.67,0.246,0.05245029,0.264666666666667
""
