"a). Catch(2017) = Zero"
"Age","N(2016)","N(2017)","N(2018)","F(2016)","F(2017)","F(2018)","","Year","SSB","F.bar","Yield"
"1","908682","908682","908682","0.000333730688200704","2.65566865217545e-37","0"," ","2016","214219.701218126","0.0357732401599254","8509"
"2","356954.255892048","421852.812351543","421993.621075718","0.018511496084209","1.4730560177354e-35","0"," ","2017","199510.397068884","2.84666276846329e-35","6.05366038563212e-30"
"3","270959.039104484","238499.721527779","287128.102772776","0.0323527174615233","2.57447398794761e-35","0"," ","2018","192226.00749997","0","0"
"4","173499.863456376","183824.582110381","167123.848062685","0.0364604045425813","2.90134401218558e-35","0"," ","","","",""
"5","206699.710514016","119214.621160212","130999.164429279","0.0392062356888958","3.11984407697581e-35","0"," ","","","",""
"6","212212.987728815","144412.794988244","86620.8377981132","0.035073602946701","2.79098899674417e-35","0"," ","","","",""
"7","286797.867457918","149746.344571603","105541.245644001","0.0329929386051568","2.62541971399918e-35","0"," ","","","",""
"8","77459.0291961756","204175.462499056","110182.471855068","0.0253887098256823","2.02031168205589e-35","0"," ","","","",""
"9","61170.6237880307","99445.7531024836","223402.688982647","0.0253887098256823","2.02031168205589e-35","0"," ","","","",""
""
"b). Catch(2017) = 2016 TAC -15%"
"Age","N(2016)","N(2017)","N(2018)","F(2016)","F(2017)","F(2018)","","Year","SSB","F.bar","Yield"
"1","908682","908682","908682","0.000333730688200704","0.000321768357260514","0.000689451"," ","2016","214219.701218126","0.0357732401599254","8509"
"2","356954.255892048","421852.812351543","421857.858724676","0.018511496084209","0.0178479651289012","0.0382427206666667"," ","2017","195565.804174294","0.0344909746904143","7232.65"
"3","270959.039104484","238499.721527779","282048.911848788","0.0323527174615233","0.0311930581111178","0.066837166"," ","2018","179502.286301155","0.07390359075","14385.7880345251"
"4","173499.863456376","183824.582110381","161991.211638889","0.0364604045425813","0.0351535081714293","0.075323197"," ","","","",""
"5","206699.710514016","119214.621160212","126474.086402149","0.0392062356888958","0.0378009170208457","0.080995783"," ","","","",""
"6","212212.987728815","144412.794988244","83407.6048807647","0.035073602946701","0.0338164154582644","0.072458217"," ","","","",""
"7","286797.867457918","149746.344571603","102031.890361973","0.0329929386051568","0.0318103309989696","0.0681597926666667"," ","","","",""
"8","77459.0291961756","204175.462499056","106732.691184607","0.0253887098256823","0.0244786702044635","0.05245029"," ","","","",""
"9","61170.6237880307","99445.7531024836","218000.477463446","0.0253887098256823","0.0244786702044635","0.05245029"," ","","","",""
""
"c). Catch(2017) = 2016 TAC"
"Age","N(2016)","N(2017)","N(2018)","F(2016)","F(2017)","F(2018)","","Year","SSB","F.bar","Yield"
"1","908682","908682","908682","0.000333730688200704","0.000379501227500363","0.000689451"," ","2016","214219.701218126","0.0357732401599254","8509"
"2","356954.255892048","421852.812351543","421833.504362689","0.018511496084209","0.0210503131273339","0.0382427206666667"," ","2017","194866.648656319","0.0406794730971591","8509"
"3","270959.039104484","238499.721527779","281147.137748355","0.0323527174615233","0.0367898321122829","0.066837166"," ","2018","178657.382770326","0.07390359075","14321.98702872"
"4","173499.863456376","183824.582110381","161087.115807175","0.0364604045425813","0.0414608807888474","0.075323197"," ","","","",""
"5","206699.710514016","119214.621160212","125678.877687908","0.0392062356888958","0.044583297537973","0.080995783"," ","","","",""
"6","212212.987728815","144412.794988244","82843.8168401704","0.035073602946701","0.0398838819495333","0.072458217"," ","","","",""
"7","286797.867457918","149746.344571603","101414.689602101","0.0329929386051568","0.0375178583875725","0.0681597926666667"," ","","","",""
"8","77459.0291961756","204175.462499056","106125.246578776","0.0253887098256823","0.028870723862537","0.05245029"," ","","","",""
"9","61170.6237880307","99445.7531024836","217045.107223387","0.0253887098256823","0.028870723862537","0.05245029"," ","","","",""
""
"d). Catch(2017) = 2016 TAC +15%"
