age,AQ1,AQ2,AQ3,AQ4,CQ1,CQ2,CQ3,CQ4,DQ1,DQ2,DQ3,DQ4,FQ1,FQ2,FQ3,FQ4
0,0,0,0,0,0,0,0.015154787,0.426739138,0,0,3.911170707,10.4469935,0,0,3.926325494,10.87373264
1,0,0,0,0,16.78427127,2.827531332,27.90073172,43.79746274,55.51285312,1.714213141,0.145590937,0.918936028,72.29712439,4.541744473,28.04632265,44.71639877
2,0.000892741,1.008112973,0.007922872,0.000289823,63.40562828,13.80811377,32.00469887,10.71792719,10.32263226,0.168072524,0.160401216,0.687242252,73.72826054,13.97618629,32.16510008,11.40516945
3,0.001886676,1.705177479,0.040940707,0.32664392,27.81774112,3.259131311,7.43678436,2.859326379,2.050440854,0.122233108,0.003655666,0.227686901,29.86818197,3.381364419,7.440440025,3.08701328
4,0.00298677,3.130961172,0.070491158,0.170633242,11.89206444,2.474181295,4.795035479,0.991971604,0.759849287,0.065595412,0.002574847,0.084785458,12.65191373,2.539776707,4.797610326,1.076757062
5,0.001175983,1.323912796,0.029822266,0.06775487,4.829740352,1.647470594,2.145172337,0.378016063,0.393515742,0.028153508,0.00105687,0.034048956,5.223256095,1.675624103,2.146229207,0.41206502
6,0.001175983,1.119272354,0.02531964,0.587019084,2.474031338,0.893890562,1.830451087,0.646478286,0.165732842,0.011437754,0.001060496,0.045397842,2.63976418,0.905328316,1.831511583,0.691876128
7,0.002645869,3.508828136,0.078761969,0.880623521,1.685361285,0.456893132,0.685643879,0.214618462,0.136586841,0.005558913,0.000325012,0.021077487,1.821948127,0.462452045,0.685968891,0.23569595
8,0.000514376,0.645517781,0.014506077,2.483586075,1.249810992,0.192607758,0.423544437,0.05532653,0.201824561,0.010989856,0.000228466,0.006253937,1.451635554,0.203597614,0.423772904,0.061580467
