"","name","value","std.dev"
"1","logFpar",0.94239,0.21321
"2","logFpar",1.0895,0.16073
"3","logFpar",0.70014,0.16225
"4","logFpar",0.57126,0.14084
"5","logSdLogFsta",-1.7159,0.44729
"6","logSdLogFsta",-1.6598,0.3304
"7","logSdLogFsta",-2.0596,0.50363
"8","logSdLogFsta",-0.66997,0.22727
"9","logSdLogN",-1.9456,0.57063
"10","logSdLogObs",-0.16396,0.14387
"11","logSdLogObs",-0.92524,0.12896
"12","logSdLogObs",-0.87618,0.10883
"13","logSdLogObs",-0.08958,0.16092
"14","logSdLogObs",-0.46995,0.080642
"15","logSdLogObs",-0.22486,0.10169
"16","U",12.1,0.26837
"17","U",10.748,0.2533
"18","U",10.205,0.28688
"19","U",10.148,0.25867
"20","U",8.4032,0.32045
"21","U",8.2172,0.36571
"22","U",7.4628,0.48999
"23","U",7.0443,0.53612
"24","U",-3.687,0.38667
"25","U",-1.029,0.37272
"26","U",-0.88514,0.34744
"27","U",-1.0003,0.29725
"28","U",-1.2232,0.33796
"29","U",-1.3239,0.31241
"30","U",-1.4002,0.51362
"31","U",12.327,0.29031
"32","U",11.269,0.24127
"33","U",9.9089,0.23088
"34","U",9.3203,0.25743
"35","U",9.4151,0.27681
"36","U",7.7115,0.35178
"37","U",7.6171,0.41083
"38","U",7.4011,0.51887
"39","U",-3.7161,0.35574
"40","U",-1.2224,0.26072
"41","U",-1.1453,0.2437
"42","U",-1.0649,0.2644
"43","U",-1.3929,0.28265
"44","U",-1.3449,0.30264
"45","U",-1.6448,0.48414
"46","U",12.416,0.27635
"47","U",11.507,0.26564
"48","U",10.585,0.25176
"49","U",9.1848,0.23843
"50","U",8.5215,0.29047
"51","U",8.823,0.30574
"52","U",7.0922,0.41404
"53","U",7.6832,0.46608
"54","U",-3.7585,0.33539
"55","U",-1.4096,0.21966
"56","U",-1.361,0.22687
"57","U",-1.2021,0.23315
"58","U",-1.5728,0.28306
"59","U",-1.3513,0.28836
"60","U",-1.8183,0.48008
"61","U",12.295,0.29602
"62","U",11.599,0.24783
"63","U",10.89,0.26833
"64","U",10.003,0.24704
"65","U",8.4973,0.27285
"66","U",7.9859,0.31238
"67","U",8.2464,0.3555
"68","U",7.5596,0.50505
"69","U",-3.8127,0.3289
"70","U",-1.5722,0.23398
"71","U",-1.5047,0.24551
