"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.196872216431209,0.0178721542848321,0.00196743531291606,0.000767512148232014,0.198219627267161,0.0213960612568968,391200.478110221,5614.98001301611,3330.39373833605,241.132954840665,1288877.03442049,NA
"fmsyAR_transfer",0.216325017787515,0.0178719639998294,0.00000000775680187319861,0.0000000112518151028615,0.216430056603518,0.0187388990381763,354086.212054067,5751.71352599669,0.013577926190706,0.00362115865496147,1190399.41114438,1187591.3629729
"fmsyAR_transfer_Btarget",0.216145764197411,0.0491172891476706,0.00000000777495908540358,0.0000000114329279082962,0.216434432391052,0.0499835060318939,353817.268380949,15556.9507767007,0.0135779261904294,0.00362115865491261,1190399.8155607,1184768.52254378
"fmsyAR_no_transfer",0.216324977429134,0.0178719639988432,0.0000000155136038529672,0.0000000112518151284303,0.216430021125533,0.018738906632257,354086.155795118,5751.71351277155,0.0271558523999962,0.00362115865506381,1190399.44303397,1187591.40629772
"fmsyAR_no_transfer_Btarget",0.216145723910578,0.0491172813557139,0.0000000155499182691066,0.0000000114329278808452,0.216434396950252,0.049983505853448,353817.212215038,15556.9483349796,0.0271558524,0.00362115865232363,1190399.84742537,1184768.56657971
"mpA",0.186439106661769,0.0398339838501125,0,0,0.186673211736085,0.0405811329861055,311829.856129357,12677.3824336564,0,0,1217433.98958316,1231684.14383535
"mpAC",0.186439106661769,0.0398339838501125,0,0,0.186673211736085,0.0405811329861055,311829.856129357,12677.3824336564,0,0,1217433.98958316,1231684.14383535
"mpAD",0.186439106661769,0.0398339838501125,0,0,0.186673211736085,0.0405811329861055,311829.856129357,12677.3824336564,0,0,1217433.98958316,1231684.14383535
"mpB",0.190434790986055,0.0492368382787386,0,0,0.190724156813176,0.0499999999999882,317579.785000263,15594.9451910087,0,0,1213699.17972021,1224366.04586011
"fmsy",0.259899355706735,0.0178721542848321,0.0000000572653321475716,0.000000310760035781728,0.260004428550894,0.0189140611940657,412493.658206469,5751.11092083931,0.100000000052253,0.100000000395112,1152527.90600606,1125890.07337842
"nf",0,0,0,0,0,0,0,0,0,0,1411565.23287469,1623713.75632846
"tacro",0.239054868632077,0.0178721542848321,0.0000000571997195672685,0.000000310742931924827,0.239159941434853,0.0188305274537015,385008.049997473,5751.42744973383,0.10000000000001,0.100000000000001,1170397.78127135,1154599.99311133
"-15%",0.197193008512426,0.0178721542848321,0.0000000570675874934996,0.00000031070850134697,0.197298081231865,0.0186627671364951,327256.85,5752.06478334307,0.1,0.1,1207664.84140105,1216820.66908587
"+15%",0.283585180278944,0.0178721542848321,0.0000000573397452117958,0.000000310779435120592,0.283690253170036,0.0190089815204477,442759.249375649,5750.75190448841,0.1,0.0999999999950968,1132753.20729363,1094932.81631919
"fsq",0.19811715952668,0.0178721542848321,0.0000000570705097792598,0.000000310709263804805,0.198222232247962,0.0186664706476906,328570.14306736,5752.05068953941,0.100000000025971,0.100000000371052,1206821.63711424,1215376.66191246
"fpa",0.299900777485143,0.0178721542848321,0.0000000573909159961394,0.000000310792779766769,0.300005850408509,0.0190743658521059,463033.225502943,5750.50500783361,0.100000000051997,0.100000000445616,1119450.67134793,1074573.35276309
"flim",0.339902383605994,0.0178721542848321,0.0000000575160762101311,0.000000310825423313349,0.3400074566083,0.0192346712483688,510861.810277954,5749.90107446979,0.100000000051784,0.1000000003916,1087895.17240652,1027715.37194289
"bpa",0.625424713222503,0.0178721542848321,0.0000000583979624492829,0.00000031105558978213,0.625529786781023,0.0203788945448084,789683.801958798,5745.64641956314,0.100000000050591,0.10000000040474,899911.742286701,784319.520163809
"blim",0.822900369592669,0.0178721542848321,0.0000000589971998766539,0.00000031121197320357,0.823005443529135,0.0211702730788278,935833.884395966,5742.75923984445,0.100000000048866,0.100000000345891,799917.640762038,674205.971791524
"MSYBtrigger",0.00000000196872216431209,0.0178721542848321,0.0000000564382826185267,0.000000310544787219896,0.000105074291255254,0.0178725212757915,0.00380493482529375,5755.09720268754,0.100000000072317,0.100000000433927,1411470.78595479,1621856.6230937
