"Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 3-6 Mean","Mean F ages 3-6 Low","Mean F ages 3-6 High","SoP (%)","WG Catch"
1957,827363.981571983,460522.410926325,1486423.11809698,483110.169099945,362152.690920856,644466.937120684,243044.540557108,177609.251506615,332587.678814781,37123.2968886682,31215.0503343578,44149.830198009,0.152742772183132,0.175751263346748,0.132746439541425,0.200267761567644,0.144321186700299,0.277902207155504,0.998175911251981,36598
1958,1326427.77064581,784312.800507303,2243251.19977947,493856.367576882,371735.255080573,656096.263302679,242316.499542988,174585.59218561,336323.778014522,50716.1662651807,42451.5302762402,60589.7950886604,0.209297205765319,0.243155977218945,0.180153170990022,0.266308464789538,0.192817718518263,0.367809550717423,1.00041964667886,51398
1959,1891725.62579676,1092805.49920346,3274714.34386502,538207.79465907,394455.495309288,734348.066325338,224358.388288296,159995.344993163,314613.44326907,49217.2770307482,41071.5291898068,58978.5772798203,0.219369007801505,0.256704525944563,0.187463627323069,0.266175343840154,0.189578062494195,0.373721055781936,0.999109221128021,52499
1960,1395830.30933718,812000.309255281,2399435.35766783,561293.937470568,410569.951926928,767350.077039457,259107.937248415,184114.513686652,364647.641301054,41274.4936088681,34789.6859122189,48968.0713693987,0.159294593778874,0.188956781383504,0.134288737463601,0.200247735792793,0.140982656459908,0.28442616061461,0.999128301252013,41613
1961,1903110.0988172,1126340.45512962,3215571.30592741,596002.416160595,435770.235226001,815151.773468517,286931.847102413,204842.690472982,401917.611468113,33456.4542797457,28219.3784498649,39665.4495761252,0.116600700192768,0.137761217569963,0.0986904988592973,0.148436206336187,0.104995897606728,0.209849221290597,0.999529326923077,33280
1962,2269340.91163207,1337207.44350697,3851241.03086122,675359.21589647,495372.45848868,920741.681699118,295374.700345402,212604.816530949,410368.001194534,47906.1898750962,40537.0933859605,56614.8886526635,0.162187857724701,0.190668744233551,0.137961265225027,0.193321630082128,0.138165256417045,0.270496748797699,1.00079154811236,52367
1963,2171654.7662418,1288782.84509726,3659332.09126849,702921.148355168,515397.022439513,958674.806591331,319017.10467489,230298.229965041,441913.570462955,39300.7939522258,33439.2687688726,46189.7781303483,0.12319337545326,0.145199851401154,0.104522198949354,0.149314568574192,0.106563311104014,0.209216851067395,0.998735593220339,39235
1964,1629852.37304939,928515.914835399,2860929.70027945,707151.353169134,525579.10983738,951451.50735474,358254.891689804,260394.013650782,492893.694521721,41689.3091659517,35552.7760219053,48885.029333953,0.116367731838393,0.13653453673319,0.0991796605988003,0.142558904467623,0.102566819011332,0.198144404193364,1.00019699912147,43254
1965,4403895.28810885,2283597.93774516,8492867.06213152,894481.947444969,619019.714432227,1292524.18889244,345241.689493524,252930.392146813,471243.582681666,45297.1773782998,38104.5432723884,53847.4969709969,0.131204251273221,0.150652291917022,0.114266801607295,0.152087388347827,0.110445753181511,0.209429272092057,0.999598829396482,66974
1966,1706576.71345746,960388.145539764,3032528.14233604,1124669.75565795,826995.390310028,1529491.06381056,512471.305931014,369597.553718219,710575.15603273,84795.6904225677,69866.5449058769,102914.909044473,0.165464269786809,0.18903411075914,0.14483324975653,0.20368104776786,0.14947220846313,0.277549717411492,1.00089935465793,114203
1967,2671097.51440202,1617602.38232483,4410701.91871905,1066614.31690935,801917.649375617,1418681.9580811,573205.746395401,412089.072354467,797315.070315881,80902.4996021463,66043.0182267993,99105.3197992597,0.141140419667634,0.160263939661062,0.12429881672749,0.189721134144381,0.139821090306391,0.257429752994746,0.999295660410225,91852
1968,3112696.65472453,1897189.99611816,5106963.71167764,1140525.86602746,872353.839649954,1491137.18763437,578387.882747169,426662.763867369,784067.819456457,71969.6657359781,58681.840688033,88266.3652915151,0.124431489460228,0.137536822187452,0.112574911380376,0.155454841173491,0.115761504503012,0.208758582985127,0.999981127150574,88116
1969,3038881.26281881,1870990.26099095,4935781.61364674,1162403.03242866,917051.031334104,1473397.62306758,568638.394192235,434900.261555144,743502.940635791,98617.1045811868,82123.1476268909,118423.776937554,0.173426742879849,0.188832141266666,0.159278155425029,0.210619940400801,0.161160003007083,0.275259111855981,0.999592995792315,100768
1970,4049078.97645732,2516369.13232077,6515355.93367735,1273144.01303756,1019091.80359838,1590529.59920791,557936.256960311,437856.276646468,710947.594984975,134322.647238035,112977.477085432,159700.623756982,0.240749091965877,0.258024112274292,0.224630654753614,0.287998502071599,0.225024858648113,0.368595441827112,0.998935278687163,144481
1971,5968463.01023304,3426350.9847279,10396643.7948998,1489572.91111816,1155295.13796356,1920571.96869031,511447.38757881,403929.808293237,647583.874452004,211081.585740318,173892.957133081,256223.348968348,0.41271417327905,0.43050290808655,0.395660483648034,0.449616626696463,0.354526990179438,0.570210778309401,1.00034014749133,227810
1972,3242969.56364913,2025893.91373748,5191215.35409155,1416925.58299478,1115836.82826343,1799257.79190281,571488.706004581,443048.799568529,737163.358548438,158419.205839636,131279.127547005,191170.106381726,0.277204438469457,0.296308505236564,0.259332079063401,0.333904585157143,0.262704461285633,0.42440189802388,0.999786995550218,194841
1973,1886058.9531783,1145752.28878529,3104701.0856381,1259216.17245612,1021907.56454025,1551632.8716956,621567.629135999,479601.86941946,805556.321240793,235625.745239601,193084.578024626,287539.752722439,0.379083038103399,0.402593464154649,0.356945560652474,0.423598163805949,0.339263156460737,0.528897408877753,0.998290105513542,255607
1974,2057495.44977514,1288755.00768846,3284788.42028971,909818.128748022,753629.208410726,1098377.05088975,388481.1781011,305236.327556467,494428.782271664,215561.170052631,178476.253903601,260351.822823203,0.554881889275296,0.584714982428112,0.526570928227541,0.567037409203264,0.458248896655538,0.701652367921885,0.998803738671171,237999
