NSH Herring fishing mortality - harvest (units : f )
1	12	
1960	2009	
0	9	
1 
0.07584806 0.2542533 0.3086219 0.4902449 0.4183129 0.4780035 0.3147008 0.1426659 0.5581633 0.5581633
0.02398034 0.04559094 0.2875925 0.3918232 0.511724 0.4526368 0.4608267 0.2417554 0.4194385 0.4194385
0.01509334 0.1600995 0.2682388 0.4085614 0.4247250 0.6075447 0.7219118 0.3771094 0.5571666 0.5571666
0.0371743 0.04941211 0.2474513 0.4206809 0.388695 0.3386743 0.4534885 0.4605280 0.4125444 0.4125444
0.04376704 0.07984775 0.2311545 0.3170574 0.4665699 0.4793774 0.3159791 0.3958503 0.4121541 0.4121541
0.03240791 0.06986187 0.1270322 0.3025679 0.3038615 0.39604 0.3422713 0.2114949 0.3138901 0.3138901
0.03856206 0.04174734 0.1462164 0.2239436 0.2849825 0.2207973 0.3446133 0.2780932 0.2684911 0.2684911
0.0310161 0.0941856 0.1320715 0.2046686 0.2899446 0.3639487 0.2345661 0.3871822 0.3185907 0.3185907
0.05907963 0.06407668 0.1498561 0.2344570 0.3299128 0.3834899 0.3929475 0.348569 0.3299128 0.3299128
0.07243465 0.07856128 0.1837312 0.2874562 0.4044899 0.4701783 0.4817737 0.4273634 0.4044899 0.4044899
0.0692 0.07505304 0.1755265 0.2746196 0.386427 0.449182 0.4602596 0.4082791 0.386427 0.386427
0.06712092 0.07279811 0.1702529 0.2663687 0.374817 0.4356865 0.4464313 0.3960125 0.374817 0.374817
0.04679468 0.05075265 0.1186952 0.1857043 0.2613111 0.3037475 0.3112384 0.2760880 0.2613111 0.2613111
0.03474581 0.03768466 0.0881331 0.1378884 0.1940277 0.2255374 0.2310996 0.2049998 0.1940277 0.1940277
