"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.129784196904577,592943.256319595,50718795.9024358,3846792.65028811,4718866.11317141,0.0116907991558041,0.0758455042522681
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.128084622577202,591275.935137304,50769904.2658106,3887215.05315443,4760873.12225416,0.0116461896804379,0.0765653414038866
"msy",0.214662019822259,625946.506061577,48036103.8255963,2439464.27750842,3233170.4042467,0.0130307509604482,0.0507839746197013
"crash",1.14874064424595,4.69529447468773e-06,0.000362780336731638,2.66364077106118e-06,6.72733054610111e-06,0.0129425274726536,0.00734229642945499
"3y_aver",0.212807940134840,625926.563720618,25511298.2817674,1124449.78010385,2171627.05426734,0.0130076328075334,0.0513138752910147
