,Year,Recruits Age 0 (Thousands) Mean,Recruits Age 0 (Thousands) Low,Recruits Age 0 (Thousands) High,Total biomass (tonnes) Mean,Total biomass (tonnes) Low,Total biomass (tonnes) High,Spawing biomass (tonnes) Mean,Spawing biomass (tonnes) Low,Spawing biomass (tonnes) High,Landings (tonnes) Mean,Landings (tonnes) Low,Landings (tonnes) High,Yield / SSB (ratio) Mean,Yield / SSB (ratio) Low,Yield / SSB (ratio) High,Mean F ages 2-6 Mean,Mean F ages 2-6 Low,Mean F ages 2-6 High,Mean F ages 0-1,SoP (%)
24,1970,36506467.7,26523444.55,50246949.67,2065741.914,1802370.679,2367598.244,488453.7166,400877.9917,595161.2165,532319.9514,451359.2931,627802.5844,1.089806328,1.125926846,1.054844582,0.904575053,0.778188388,1.051488353,0.14867519,0.965665956
25,1971,26963644.05,19738965.81,36832633.87,1945442.47,1702903.75,2222525.145,350109.0653,290955.3331,421289.2621,540364.9372,461081.5295,633281.2023,1.543418868,1.584715855,1.503198062,1.211040612,1.030928776,1.422619485,0.280354363,1.074732551
26,1972,17592794.98,12923713.01,23948723.93,1681169.096,1476312.349,1914452.272,349759.1312,289816.3368,422099.9106,472597.8054,399826.7151,558613.7124,1.351209342,1.379586532,1.323415851,0.64150391,0.53873319,0.763879549,0.297479143,0.919726633
27,1973,8850637.073,6419898.079,12201716.54,1282087.286,1133168.036,1450577.281,301040.4741,252528.6837,358871.5773,442413.392,377848.802,518010.4009,1.469614321,1.496260926,1.443442261,0.829302743,0.715333136,0.961430423,0.328041361,0.957524793
28,1974,16502129.65,11904006.71,22876354.95,946948.511,832033.7135,1077734.553,201793.4644,169840.3369,239758.1342,274580.5666,237782.2267,317073.688,1.360700989,1.400033885,1.322473121,0.853184039,0.728945551,0.998597225,0.259137935,0.968
29,1975,3933341.984,2658400.542,5819732.171,775295.8675,661453.47,908731.6181,117008.2823,95884.84316,142785.2168,263287.0077,218616.5148,317085.1409,2.250157019,2.279990326,2.220714076,0.985454818,0.795423979,1.220884993,0.30224703,0.934279092
30,1976,4945556.23,3275844.97,7466325.984,540364.9372,452169.5414,645762.7918,163243.7889,123979.9081,214942.3647,146239.3585,116200.4969,184043.5328,0.895834135,0.937252646,0.856245967,0.736312984,0.552490854,0.981295541,0.112292521,0.952961098
31,1977,5542742.653,3616629.96,8494647.354,413742.8812,335927.9562,509582.9882,126753.559,93897.89054,171105.7046,61267.2058,49628.45313,75635.45245,0.483356888,0.528536401,0.442039338,0.338003172,0.246252758,0.463938536,0.090512567,1.197928261
32,1978,5763180.209,3713151.742,8945027.954,464167.1484,375011.8108,574518.283,156686.1439,119375.6353,205657.9437,52365.32947,37595.60371,72937.45704,0.334205235,0.314935318,0.354654217,0.247065944,0.1761921,0.34644902,0.096507851,0
33,1979,11228884.62,7510907.084,16787299.9,591844.9673,487207.0764,718956.0297,191185.6071,150612.8626,242688.0129,64990.73498,46462.87102,90906.90137,0.339935291,0.308492052,0.374583401,0.20439518,0.148260087,0.281784467,0.103220506,0
34,1980,17021707.51,12180055.78,23787947.43,814231.4979,681430.5927,972913.3668,212139.6366,171436.3946,262506.8353,80660.1558,68481.87016,95004.13348,0.380221995,0.399459346,0.361911085,0.181191644,0.143168474,0.229313137,0.110169947,1.093638008
35,1981,37355846.87,27302215.21,51111577.75,1401424.812,1177715.661,1667627.908,309898.4679,251461.305,381915.8594,159851.414,130039.3531,196498.0133,0.515818665,0.517134647,0.514506032,0.199687826,0.159966062,0.249273049,0.287582454,1.008085591
36,1982,59769138.07,44500029.05,80277472.67,2126525.532,1792741.481,2522455.627,431490.1664,353454.9089,526753.934,272120.4287,223200.1988,331762.8217,0.630652677,0.631481395,0.629825048,0.183452408,0.147499809,0.228168338,0.25649839,0.978555615
37,1983,56514059.17,42494227.45,75159358.7,2856192.494,2440898.092,3342145.086,644996.3907,530163.75,784701.6023,403931.2624,337722.3813,483120.0826,0.626253524,0.637015227,0.615673628,0.230316691,0.187616517,0.282735118,0.28987245,1.077077598
38,1984,53382845.13,39896645.27,71427763.77,3591210.894,3109953.586,4146941.531,1023767.492,841633.5292,1245316.211,453613.1403,394831.4958,521146.0668,0.443082188,0.469125198,0.41848493,0.305440586,0.251302863,0.371241101,0.19829557,1.054331581
39,1985,68339603.31,50261523.4,92920012.46,4085685.168,3565208.017,4682145.673,1084901.763,906855.5,1297904.502,604405.1318,523710.6416,697533.2069,0.557105862,0.577501754,0.537430301,0.391241603,0.320271822,0.477937743,0.198062291,1.041883574
40,1986,81003263.34,59414306.17,110436847.5,4713776.739,4101549.061,5417390.067,1116824.558,941752.368,1324442.746,765282.2508,657837.6715,890275.7454,0.685230501,0.698525105,0.672188925,0.381097512,0.314646441,0.461582572,0.188004165,1.137258149
41,1987,81409293.89,60837954.27,108936488.9,4629687.828,4057645.998,5282375.395,1292385.121,1088415.405,1534578.886,785440.5111,685365.4509,900128.2391,0.607744935,0.629691061,0.58656368,0.374935975,0.311636399,0.45109296,0.245824481,1.01733623
42,1988,42712407.08,31796386.21,57376008.3,4538013.867,4002001.624,5145817.465,1649528.422,1391029.224,1956065.313,1031990.48,884206.7196,1204474.391,0.625627583,0.635649276,0.615763893,0.36534981,0.304301991,0.438644793,0.298746569,1.164144979
43,1989,35676401.29,26602857.69,47844694.88,3809467.601,3400475.525,4267651.185,1699764.041,1464146.798,1973297.896,795717.896,702881.6172,900815.9476,0.468134327,0.480062258,0.456502766,0.350883858,0.293280356,0.419801323,0.243828858,1.033532217
44,1990,30189356.91,22265594.56,40932986.02,3696880.818,3311204.306,4127479.467,1730636.815,1498244.669,1999075.217,693842.3137,614166.5104,783854.4566,0.400917343,0.409924042,0.392108536,0.302280465,0.252449614,0.361947393,0.231756234,1.051507759
45,1991,31484313.64,23453024.01,42265850.45,3422904.44,3065059.439,3822527.764,1491063.229,1291970.228,1720836.521,672663.1747,599323.0217,754978.084,0.451129879,0.463882997,0.438727372,0.331045318,0.277762569,0.394549212,0.205957535,1.019721341
46,1992,58761650.63,45018190.53,76700807.94,3426329.056,3054631.374,3843256.146,1133703.199,974867.1458,1318418.566,700115.0796,620507.7665,789935.5193,0.617547062,0.636504953,0.59915382,0.374306612,0.313119203,0.447450805,0.297809405,0.994954095
47,1993,51136035.38,39123145.25,66837522.84,3153425.878,2779636.94,3577479.714,800506.555,679662.5881,942836.5719,682146.6889,603529.9588,771004.1537,0.852143789,0.88798467,0.81774952,0.431197093,0.359060709,0.517825897,0.328443993,1.023113895
48,1994,36215581.05,27422006.34,47829042.66,2819302.297,2483355.828,3200695.347,866311.6537,740100.6282,1014045.729,600789.5585,523770.9765,689133.4378,0.693502801,0.707702381,0.679588127,0.443791687,0.368631743,0.534275914,0.20247692,1.049757142
49,1995,46362430.42,34807728.38,61752807.62,2733244.71,2395953.714,3118017.933,913464.6895,774034.8365,1078010.575,546888.3789,474875.2799,629822.0008,0.598696792,0.61350634,0.584244733,0.38466979,0.313445054,0.472079064,0.206944208,1.008445093
50,1996,44366711.27,32888368.1,59851101.85,2913891.41,2529184.913,3357114.422,1050734.499,890463.6846,1239851.782,299539.0284,257694.1872,348178.7095,0.285075848,0.289393258,0.280822849,0.230823945,0.182789804,0.291480666,0.10797843,0.998696901
51,1997,30614980.32,22308091.1,42015115.32,3109585.514,2702366.747,3578167.944,1202604.284,1020209.708,1417607.628,284930.3376,246076.5339,329918.8915,0.236927759,0.241201914,0.232729343,0.203742161,0.163896721,0.25327455,0.0328355,1.000583974
52,1998,22297831.73,16385182.86,30344080.04,3305175.066,2897976.231,3769589.999,1457160.155,1250548.184,1697907.961,384615.7258,337332.0649,438527.1129,0.263948835,0.269747355,0.258274961,0.224877381,0.182168791,0.277598793,0.058606687,1.001766661
53,1999,71128595.43,52268664.48,96793693.47,3419483.246,3010862.679,3883559.935,1534937.16,1314645.598,1792142.376,362217.4496,314228.7428,417534.9448,0.235981941,0.239021637,0.232980901,0.212311658,0.173401008,0.259953737,0.03976318,0.999954935
54,2000,47917914.96,35242045.42,65153045.08,4295162.726,3739092.601,4933930.45,1521184.704,1305975.775,1771857.448,372502.862,328495.2838,422406.0102,0.244876813,0.251532448,0.238397288,0.213205242,0.174691451,0.260210073,0.043773091,1.000354354
55,2001,86616423.21,63436882.93,118265659.1,4842782.451,4232074.939,5541617.812,2074021.429,1776002.837,2422048.433,385385.727,339693.0042,437224.6608,0.185815692,0.191268278,0.180518546,0.187889736,0.152989437,0.23075157,0.040003676,0.990123813
56,2002,44013193.53,32289775.82,59993021.19,5632139.806,4912935.192,6456628.787,2390468.668,2053863.641,2782239.453,407175.6729,354620.1019,467520.1087,0.170332989,0.172660003,0.168037337,0.17719579,0.144471474,0.217332509,0.030178859,0.997378704
57,2003,21423521.25,15772669.16,29098896.2,5932759.45,5178596.336,6796751.939,2446086.602,2115366.243,2828512.406,494845.0687,434610.2276,563428.1626,0.202300715,0.205453892,0.199195931,0.201211235,0.164641252,0.245904114,0.039444734,1.015314785
58,2004,25191066.86,18544637.1,34219588.46,5045463.093,4426123.754,5751465.443,2416908.978,2086126.761,2800140.969,583033.5437,510929.1245,665313.635,0.241231072,0.244917583,0.23760005,0.242877033,0.196172364,0.300701139,0.041858812,0.998542307
59,2005,23300840.71,17232319.17,31506448.59,4231216.084,3725909.272,4805052.469,2296737.051,1969478.136,2678375.039,632224.6065,547517.509,730036.8417,0.275270783,0.278001314,0.272567072,0.258205371,0.208831244,0.31925306,0.077130883,1.003268619
60,2006,27425944.42,20256850.69,37132249.18,3502543.581,3084462.963,3977292.542,1792281.595,1532558.195,2096020.448,504841.6022,440000.6486,579237.8809,0.281675382,0.287102082,0.276351255,0.229925485,0.185922604,0.284342665,0.045730976,0.995024866
61,2007,26615385.27,19071056.93,37144177.97,2996633.351,2623860.016,3422366.812,1444104.552,1230135.348,1695291.465,364033.0721,309168.5387,428633.7741,0.252082214,0.25132888,0.252837806,0.197384831,0.158648915,0.245578556,0.036173507,1.005619945
62,2008,26642013.96,18899892.65,37555605.27,3011654.038,2619605.364,3462376.497,1495543.135,1277780.977,1750416.784,252205.6235,219115.0821,290293.4654,0.168638147,0.171480939,0.165842483,0.1309552,0.106217415,0.161454356,0.036750294,1.003997558
63,2009,36251814.75,26477662.21,49634067.47,3422904.44,2965567.465,3950769.942,1826660.51,1556728.902,2143397.361,183872.8932,158149.7361,213779.9385,0.100660682,0.101591058,0.099738827,0.079468068,0.062720308,0.100687864,0.026485407,1.002264574
64,2010,36873363.8,26512635.8,51282904.04,3929410.608,3405560.177,4533840.814,1857979.194,1566862.609,2203184.034,193687.2454,170719.6404,219744.7754,0.104246186,0.108956356,0.099739637,0.084196662,0.067453608,0.105095607,0.026258314,1.003362837
65,2011,33131664.02,23058319.61,47605687.63,4106164.75,3559957.199,4736177.435,2226630.468,1900623.903,2608555.662,236333.6839,208268.2018,268181.1704,0.106139607,0.109578861,0.102808299,0.108859197,0.087293926,0.135751998,0.0262549,0.993763784
66,2012,30431840.41,20053847.73,46180509.74,4077521.964,3483872.847,4772328.41,2347825.175,1959618.873,2812936.293,401514.9311,343910.4147,468768.124,0.171015685,0.175498623,0.166647259,0.168435903,0.129616706,0.218881148,0.03515873,1.010869692
67,2013,22544461.86,12004608.79,42338136.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
