,fleet,age,Numbers,Weight,catch
2020,A,0,0.000 ,0.004 ,0.000 
2020,A,1,69.782 ,0.107 ,7.500 
2020,A,2,499.709 ,0.139 ,69.292 
2020,A,3,209.363 ,0.157 ,32.795 
2020,A,4,288.218 ,0.172 ,49.678 
2020,A,5,144.795 ,0.191 ,27.587 
2020,A,6,512.743 ,0.215 ,110.262 
2020,A,7,346.600 ,0.221 ,76.710 
2020,A,8,68.542 ,0.240 ,16.434 
2020,A,9+,107.582 ,0.248 ,26.679 
2020,B,0,2047.939 ,0.004 ,7.373 
2020,B,1,15.723 ,0.036 ,0.564 
2020,B,2,5.387 ,0.117 ,0.630 
2020,B,3,0.621 ,0.156 ,0.097 
2020,B,4,1.484 ,0.149 ,0.221 
2020,B,5,0.724 ,0.150 ,0.109 
2020,B,6,2.047 ,0.169 ,0.345 
2020,B,7,2.039 ,0.175 ,0.356 
2020,B,8,0.264 ,0.195 ,0.052 
2020,B,9+,0.259 ,0.203 ,0.053 
2020,C,0,68.262 ,0.014 ,0.968 
2020,C,1,22.861 ,0.034 ,0.785 
2020,C,2,43.152 ,0.065 ,2.814 
2020,C,3,5.107 ,0.140 ,0.714 
2020,C,4,2.099 ,0.171 ,0.358 
2020,C,5,0.286 ,0.178 ,0.051 
2020,C,6,0.603 ,0.200 ,0.121 
2020,C,7,0.797 ,0.218 ,0.173 
2020,C,8,0.000 ,0.000 ,0.000 
2020,C,9+,0.000 ,0.000 ,0.000 
2020,D,0,11.169 ,0.009 ,0.106 
2020,D,1,3.721 ,0.053 ,0.198 
2020,D,2,1.007 ,0.098 ,0.099 
2020,D,3,0.159 ,0.115 ,0.018 
2020,D,4,0.081 ,0.116 ,0.009 
2020,D,5,0.018 ,0.117 ,0.002 
2020,D,6,0.008 ,0.116 ,0.001 
2020,D,7,0.000 ,0.000 ,0.000 
2020,D,8,0.000 ,0.000 ,0.000 
2020,D,9+,0.000 ,0.000 ,0.000 
2020,total,0,2127.370448,0.003970515,8.447 
2020,total,1,112.0872519,0.080710673,9.047 
2020,total,2,549.2548203,0.132605248,72.834 
2020,total,3,215.2497857,0.156207392,33.624 
2020,total,4,291.8827366,0.172216473,50.267 
2020,total,5,145.8218332,0.190291433,27.749 
2020,total,6,515.4009845,0.214840158,110.729 
2020,total,7,349.4354327,0.22104321,77.240 
2020,total,8,68.80610717,0.239597916,16.486 
2020,total,9+,107.8412071,0.247875251,26.731 
