"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 2-5","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","312089","662088","0","0.471","2050401","0"
"0.01","2928","277711","651764","0.0045","0.426","1845738","2928"
"0.02","5221","249561","641520","0.0081","0.389","1677313","5221"
"0.03","7041","226094","631359","0.0112","0.358","1536157","7041"
"0.04","8498","206235","621282","0.0137","0.332","1416039","8498"
"0.051","9672","189215","611291","0.0158","0.31","1312494","9672"
"0.061","10621","174471","601388","0.0177","0.29","1222242","10621"
"0.071","11389","161577","591572","0.0193","0.273","1142816","11389"
"0.081","12011","150207","581846","0.0206","0.258","1072326","12011"
"0.091","12510","140108","572210","0.0219","0.245","1009301","12510"
"0.101","12909","131081","562664","0.0229","0.233","952577","12909"
"0.111","13224","122963","553208","0.0239","0.222","901220","13224"
"0.121","13467","115627","543844","0.0248","0.213","854474","13467"
"0.131","13650","108964","534570","0.0255","0.204","811721","13650"
"0.141","13782","102887","525388","0.0262","0.196","772447","13782"
"0.152","13869","97323","516297","0.0269","0.189","736226","13869"
"0.162","13918","92210","507296","0.0274","0.182","702698","13918"
"0.172","13935","87496","498385","0.028","0.176","671558","13935"
"0.182","13923","83136","489564","0.0284","0.17","642547","13923"
"0.192","13886","79092","480832","0.0289","0.164","615441","13886"
"0.202","13828","75332","472189","0.0293","0.16","590049","13828"
"0.212","13751","71826","463633","0.0297","0.155","566202","13751"
"0.222","13657","68550","455165","0.03","0.151","543757","13657"
"0.232","13549","65483","446783","0.0303","0.147","522584","13549"
"0.242","13429","62605","438486","0.0306","0.143","502572","13429"
"0.253","13297","59899","430274","0.0309","0.139","483621","13297"
"0.263","13156","57350","422146","0.0312","0.136","465644","13156"
"0.273","13006","54946","414100","0.0314","0.133","448562","13006"
"0.283","12848","52673","406136","0.0316","0.13","432305","12848"
"0.293","12684","50523","398252","0.0318","0.127","416810","12684"
"0.303","12515","48485","390448","0.0321","0.124","402022","12515"
"0.313","12340","46550","382723","0.0322","0.122","387888","12340"
"0.323","12161","44712","375075","0.0324","0.119","374364","12161"
