"Rationale","Fbar (2011)","Catch (2011)","SSB (2011)","Fbar (2012)","Catch (2012)","SSB (2012)","SSB (2013)"
Fmult(2010) = 0.000,0.136683889662115,16196,118399.332739414,0,0,120749.250122975,129448.409409312
Fmult(2010) = 0.100,0.136683889662115,16196,118399.332739414,0.0136683889662115,1658.55390615324,119862.397819275,126999.810535712
Fmult(2010) = 0.200,0.136683889662115,16196,118399.332739414,0.027336777932423,3293.45283441436,118982.735390079,124605.350075095
Fmult(2010) = 0.300,0.136683889662115,16196,118399.332739414,0.0410051668986345,4905.04764872498,118110.203268216,122263.794460997
Fmult(2010) = 0.400,0.136683889662115,16196,118399.332739414,0.054673555864846,6493.68392911474,117244.742385381,119973.938559435
Fmult(2010) = 0.500,0.136683889662115,16196,118399.332739414,0.0683419448310574,8059.70205197467,116386.294167936,117734.605009536
Fmult(2010) = 0.600,0.136683889662115,16196,118399.332739414,0.0820103337972689,9603.43726910414,115534.800532731,115544.643579531
Fmult(2010) = 0.700,0.136683889662115,16196,118399.332739414,0.0956787227634804,11125.2197855502,114690.203882975,113402.930537731
Fmult(2010) = 0.800,0.136683889662115,16196,118399.332739414,0.109347111729692,12625.3748362577,113852.447104131,111308.368038159
Fmult(2010) = 0.900,0.136683889662115,16196,118399.332739414,0.123015500695903,14104.2227615484,113021.473559851,109259.883520473
Fmult(2010) = 1.000,0.136683889662115,16196,118399.332739414,0.136683889662115,15562.0790814475,112197.227087945,107256.429123866
Fmult(2010) = 1.100,0.136683889662115,16196,118399.332739414,0.150352278628326,16999.2545688743,111379.651996383,105296.981114603
Fmult(2010) = 1.200,0.136683889662115,16196,118399.332739414,0.164020667594538,18416.0553217160,110568.693059333,103380.539326884
Fmult(2010) = 1.300,0.136683889662115,16196,118399.332739414,0.177689056560749,19812.7828337995,109764.295513227,101506.126616714
Fmult(2010) = 1.400,0.136683889662115,16196,118399.332739414,0.191357445526961,21189.7340647804,108966.405052870,99672.788328492
Fmult(2010) = 1.500,0.136683889662115,16196,118399.332739414,0.205025834493172,22547.2015089643,108174.967827572,97879.591774002
Fmult(2010) = 1.600,0.136683889662115,16196,118399.332739414,0.218694223459384,23885.4732630776,107389.930437317,96125.6257235318
Fmult(2010) = 1.700,0.136683889662115,16196,118399.332739414,0.232362612425595,25204.8330930034,106611.239928968,94409.9999088298
Fmult(2010) = 1.800,0.136683889662115,16196,118399.332739414,0.246031001391807,26505.5604994981,105838.843792497,92731.8445376244
Fmult(2010) = 1.900,0.136683889662115,16196,118399.332739414,0.259699390358018,27787.9307829055,105072.689957253,91090.3098194377
Fmult(2010) = 2.000,0.136683889662115,16196,118399.332739414,0.27336777932423,29052.2151068828,104312.726788258,89484.5655024284
