"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.171642120280102,13934.8607620240,498450.670472841,87529.4613267731,99288.038356686,0.0279563487171259,0.175603056655016
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.190958534411729,13890.5692128239,481658.477547532,79464.0607047005,90817.5678079682,0.0288390423097103,0.164980093591021
"msy",0.172267303546456,13934.9149148508,497902.066171651,87249.585341842,98994.9215110584,0.0279872606715530,0.175234431165752
"crash",0.970375737184061,2.33357545976991e-06,6.33068179228389e-05,3.81852441933006e-06,5.26413538425407e-06,0.036861360850804,0.0603177437220781
"3y_aver",0.0784567254806625,12010.5952636953,741132.366913383,99519.7688137877,156774.874537633,0.0206422206677827,0.258155591715964
