"parameter","parameter2","value","fleet","age","fleetid","check"
"minAge","range[min]","0",NA,NA,NA,NA
"maxAge","range[max]","8",NA,NA,NA,NA
"maxAgePlusGroup","plus.group","1",NA,NA,NA,NA
"fbarRangeMin","range[minfbar]","2",NA,NA,NA,NA
"fbarRangeMax","range[maxfbar]","6",NA,NA,NA,NA
"corFlag","cor.F","0",NA,NA,NA,NA
"stockRecruitmentModelCOde","srr","0",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"obsLikelihoodFlag","likFlag","LN",NA,NA,NA,NA
"conf$fixVarToWeight",NA,"0",NA,NA,NA,NA
"keyLogFsta","states","0","catch unique","0",1,NA
"keyLogFsta","states","-1","HERAS","0",2,NA
"keyLogFsta","states","-1","IBTS-Q1","0",3,NA
"keyLogFsta","states","-1","IBTS0","0",4,NA
"keyLogFsta","states","-1","IBTS-Q3","0",5,NA
"keyLogFsta","states","-1","LAI-ORSH","0",6,NA
"keyLogFsta","states","-1","LAI-BUN","0",7,NA
"keyLogFsta","states","-1","LAI-CNS","0",8,NA
"keyLogFsta","states","-1","LAI-SNS","0",9,NA
"keyLogFsta","states","1","catch unique","1",1,NA
"keyLogFsta","states","-1","HERAS","1",2,NA
"keyLogFsta","states","-1","IBTS-Q1","1",3,NA
"keyLogFsta","states","-1","IBTS0","1",4,NA
"keyLogFsta","states","-1","IBTS-Q3","1",5,NA
"keyLogFsta","states","-1","LAI-ORSH","1",6,NA
"keyLogFsta","states","-1","LAI-BUN","1",7,NA
"keyLogFsta","states","-1","LAI-CNS","1",8,NA
"keyLogFsta","states","-1","LAI-SNS","1",9,NA
"keyLogFsta","states","2","catch unique","2",1,NA
"keyLogFsta","states","-1","HERAS","2",2,NA
"keyLogFsta","states","-1","IBTS-Q1","2",3,NA
"keyLogFsta","states","-1","IBTS0","2",4,NA
"keyLogFsta","states","-1","IBTS-Q3","2",5,NA
"keyLogFsta","states","-1","LAI-ORSH","2",6,NA
"keyLogFsta","states","-1","LAI-BUN","2",7,NA
"keyLogFsta","states","-1","LAI-CNS","2",8,NA
"keyLogFsta","states","-1","LAI-SNS","2",9,NA
"keyLogFsta","states","3","catch unique","3",1,NA
"keyLogFsta","states","-1","HERAS","3",2,NA
"keyLogFsta","states","-1","IBTS-Q1","3",3,NA
"keyLogFsta","states","-1","IBTS0","3",4,NA
"keyLogFsta","states","-1","IBTS-Q3","3",5,NA
"keyLogFsta","states","-1","LAI-ORSH","3",6,NA
"keyLogFsta","states","-1","LAI-BUN","3",7,NA
"keyLogFsta","states","-1","LAI-CNS","3",8,NA
"keyLogFsta","states","-1","LAI-SNS","3",9,NA
"keyLogFsta","states","4","catch unique","4",1,NA
"keyLogFsta","states","-1","HERAS","4",2,NA
"keyLogFsta","states","-1","IBTS-Q1","4",3,NA
"keyLogFsta","states","-1","IBTS0","4",4,NA
"keyLogFsta","states","-1","IBTS-Q3","4",5,NA
"keyLogFsta","states","-1","LAI-ORSH","4",6,NA
"keyLogFsta","states","-1","LAI-BUN","4",7,NA
"keyLogFsta","states","-1","LAI-CNS","4",8,NA
"keyLogFsta","states","-1","LAI-SNS","4",9,NA
"keyLogFsta","states","5","catch unique","5",1,NA
"keyLogFsta","states","-1","HERAS","5",2,NA
"keyLogFsta","states","-1","IBTS-Q1","5",3,NA
"keyLogFsta","states","-1","IBTS0","5",4,NA
"keyLogFsta","states","-1","IBTS-Q3","5",5,NA
"keyLogFsta","states","-1","LAI-ORSH","5",6,NA
"keyLogFsta","states","-1","LAI-BUN","5",7,NA
"keyLogFsta","states","-1","LAI-CNS","5",8,NA
"keyLogFsta","states","-1","LAI-SNS","5",9,NA
"keyLogFsta","states","6","catch unique","6",1,NA
"keyLogFsta","states","-1","HERAS","6",2,NA
"keyLogFsta","states","-1","IBTS-Q1","6",3,NA
"keyLogFsta","states","-1","IBTS0","6",4,NA
"keyLogFsta","states","-1","IBTS-Q3","6",5,NA
"keyLogFsta","states","-1","LAI-ORSH","6",6,NA
"keyLogFsta","states","-1","LAI-BUN","6",7,NA
