"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","4790080","8311542","0","0.576","22265502","0"
"0.01","48838","4215173","8082261","0.006","0.522","19713063","48838"
"0.02","86416","3737983","7851873","0.011","0.476","17585650","86416"
"0.03","115403","3335783","7620518","0.0151","0.438","15784692","115403"
"0.04","137702","2992366","7388322","0.0186","0.405","14239894","137702"
"0.051","154702","2695866","7155402","0.0216","0.377","12899781","154702"
"0.061","167441","2437399","6921867","0.0242","0.352","11725798","167441"
"0.071","176712","2210180","6687815","0.0264","0.33","10688496","176712"
"0.081","183128","2008938","6453334","0.0284","0.311","9764995","183128"
"0.091","187170","1829519","6218506","0.0301","0.294","8937249","187170"
"0.101","189223","1668605","5983406","0.0316","0.279","8190836","189223"
"0.111","189595","1523512","5748099","0.033","0.265","7514092","189595"
"0.121","188538","1392048","5512645","0.0342","0.253","6897481","188538"
"0.131","186257","1272404","5277096","0.0353","0.241","6333133","186257"
"0.141","182925","1163077","5041502","0.0363","0.231","5814493","182925"
"0.152","178682","1062803","4805902","0.0372","0.221","5336061","178682"
"0.162","173648","970518","4570336","0.038","0.212","4893185","173648"
"0.172","167925","885314","4334833","0.0387","0.204","4481907","167925"
"0.182","161598","806415","4099424","0.0394","0.197","4098835","161598"
"0.192","154739","733154","3864130","0.04","0.19","3741048","154739"
"0.202","147412","664953","3628974","0.0406","0.183","3406015","147412"
"0.212","139670","601309","3393972","0.0412","0.177","3091535","139670"
"0.222","131560","541785","3159138","0.0416","0.171","2795680","131560"
"0.232","123123","485995","2924484","0.0421","0.166","2516760","123123"
"0.242","114392","433601","2690018","0.0425","0.161","2253283","114392"
"0.253","105401","384303","2455748","0.0429","0.156","2003928","105401"
"0.263","96174","337836","2221676","0.0433","0.152","1767523","96174"
"0.273","86736","293963","1987808","0.0436","0.148","1543023","86736"
"0.283","77107","252472","1754143","0.044","0.144","1329491","77107"
"0.293","67306","213176","1520681","0.0443","0.14","1126089","67306"
"0.303","57349","175904","1287420","0.0445","0.137","932063","57349"
"0.313","47251","140503","1054358","0.0448","0.133","746731","47251"
"0.323","37023","106836","821491","0.0451","0.13","569479","37023"
"0.333","26678","74777","588814","0.0453","0.127","399749","26678"
"0.343","16225","44214","356320","0.0455","0.124","237032","16225"
"0.354","5673","15042","124005","0.0457","0.121","80868","5673"
"0.364","-4969","-12831","-108139","0.046","0.119","-69166","-4969"
"0.374","-15695","-39491","-340120","0.0461","0.116","-213454","-15695"
"0.384","-26498","-65016","-571946","0.0463","0.114","-352351","-26498"
"0.394","-37372","-89479","-803624","0.0465","0.111","-486180","-37372"
"0.404","-48312","-112945","-1035163","0.0467","0.109","-615241","-48312"
"0.414","-59314","-135475","-1266573","0.0468","0.107","-739807","-59314"
"0.424","-70373","-157124","-1497862","0.047","0.105","-860133","-70373"
"0.434","-81486","-177944","-1729039","0.0471","0.103","-976453","-81486"
"0.444","-92649","-197982","-1960114","0.0473","0.101","-1088984","-92649"
"0.455","-103860","-217283","-2191097","0.0474","0.099","-1197928","-103860"
"0.465","-115114","-235887","-2421996","0.0475","0.097","-1303471","-115114"
"0.475","-126411","-253832","-2652821","0.0477","0.096","-1405788","-126411"
"0.485","-137748","-271152","-2883582","0.0478","0.094","-1505039","-137748"
"0.495","-149123","-287882","-3114289","0.0479","0.092","-1601377","-149123"
"0.505","-160533","-304050","-3344949","0.048","0.091","-1694941","-160533"
"0.515","-171978","-319686","-3575574","0.0481","0.089","-1785863","-171978"
"0.525","-183456","-334816","-3806172","0.0482","0.088","-1874266","-183456"
"0.535","-194966","-349465","-4036752","0.0483","0.087","-1960266","-194966"
"0.545","-206506","-363655","-4267323","0.0484","0.085","-2043971","-206506"
"0.556","-218075","-377409","-4497895","0.0485","0.084","-2125481","-218075"
"0.566","-229673","-390747","-4728476","0.0486","0.083","-2204893","-229673"
"0.576","-241298","-403688","-4959074","0.0487","0.081","-2282296","-241298"
"0.586","-252949","-416249","-5189699","0.0487","0.08","-2357774","-252949"
"0.596","-264627","-428449","-5420358","0.0488","0.079","-2431408","-264627"
"0.606","-276329","-440302","-5651060","0.0489","0.078","-2503271","-276329"
"0.616","-288057","-451823","-5881813","0.049","0.077","-2573434","-288057"
"0.626","-299809","-463028","-6112625","0.049","0.076","-2641966","-299809"
"0.636","-311584","-473928","-6343504","0.0491","0.075","-2708928","-311584"
"0.646","-323383","-484536","-6574457","0.0492","0.074","-2774382","-323383"
"0.657","-335204","-494865","-6805492","0.0493","0.073","-2838382","-335204"
"0.667","-347048","-504926","-7036616","0.0493","0.072","-2900984","-347048"
"0.677","-358915","-514729","-7267837","0.0494","0.071","-2962239","-358915"
"0.687","-370803","-524284","-7499161","0.0494","0.07","-3022194","-370803"
"0.697","-382713","-533600","-7730595","0.0495","0.069","-3080895","-382713"
"0.707","-394645","-542688","-7962147","0.0496","0.068","-3138388","-394645"
"0.717","-406598","-551555","-8193822","0.0496","0.067","-3194712","-406598"
"0.727","-418572","-560210","-8425628","0.0497","0.066","-3249908","-418572"
"0.737","-430568","-568661","-8657570","0.0497","0.066","-3304013","-430568"
"0.747","-442584","-576914","-8889654","0.0498","0.065","-3357064","-442584"
"0.758","-454622","-584977","-9121888","0.0498","0.064","-3409094","-454622"
"0.768","-466680","-592856","-9354276","0.0499","0.063","-3460137","-466680"
"0.778","-478759","-600558","-9586826","0.0499","0.063","-3510223","-478759"
"0.788","-490858","-608089","-9819541","0.05","0.062","-3559383","-490858"
"0.798","-502979","-615456","-10052429","0.05","0.061","-3607645","-502979"
"0.808","-515120","-622662","-10285494","0.0501","0.061","-3655037","-515120"
"0.818","-527281","-629714","-10518742","0.0501","0.06","-3701584","-527281"
"0.828","-539463","-636616","-10752178","0.0502","0.059","-3747311","-539463"
"0.838","-551666","-643375","-10985807","0.0502","0.059","-3792244","-551666"
"0.848","-563889","-649993","-11219635","0.0503","0.058","-3836404","-563889"
"0.859","-576133","-656476","-11453666","0.0503","0.057","-3879813","-576133"
"0.869","-588398","-662827","-11687906","0.0503","0.057","-3922494","-588398"
"0.879","-600684","-669052","-11922358","0.0504","0.056","-3964466","-600684"
"0.889","-612990","-675153","-12157029","0.0504","0.056","-4005748","-612990"
"0.899","-625317","-681135","-12391921","0.0505","0.055","-4046360","-625317"
"0.909","-637665","-687000","-12627041","0.0505","0.054","-4086320","-637665"
"0.919","-650033","-692754","-12862392","0.0505","0.054","-4125644","-650033"
"0.929","-662423","-698398","-13097978","0.0506","0.053","-4164350","-662423"
"0.939","-674834","-703936","-13333805","0.0506","0.053","-4202454","-674834"
"0.949","-687265","-709371","-13569876","0.0506","0.052","-4239971","-687265"
"0.96","-699718","-714706","-13806196","0.0507","0.052","-4276916","-699718"
"0.97","-712192","-719944","-14042768","0.0507","0.051","-4313304","-712192"
"0.98","-724688","-725087","-14279597","0.0507","0.051","-4349147","-724688"
"0.99","-737205","-730138","-14516686","0.0508","0.05","-4384461","-737205"
"1","-749743","-735100","-14754040","0.0508","0.05","-4419257","-749743"
