"","Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 4-6 Mean","Mean F ages 4-6 Low","Mean F ages 4-6 High","SoP (%)"
"1",1961,81145.5715265354,50845.1490663063,129503.087301036,26108.0767640265,19859.6000713074,34322.5276374574,7968.88609672738,4944.93154161293,12842.0676986565,5417.55561953405,4119.51204644223,7124.60809917832,0.679838506131855,0.83307766988793,0.55478667971231,0.311829099269153,0.195569629860183,0.497200854859358,1.00018598949212
"2",1962,85647.9012793318,55803.0161625009,131454.596866103,19908.4590842023,15211.5699773177,26055.6105450232,5955.08050148824,3845.44880713312,9222.06628090414,3952.09066439459,3152.3831458031,4954.67076722229,0.663650250136319,0.819769890046534,0.537262541420005,0.29999184140872,0.193546710057025,0.464978737614705,0.999478931614092
"3",1963,127643.946639756,88491.0238120916,184120.110852945,21093.073596405,16369.1607256371,27180.2422372539,5200.96778628601,3381.47201138962,7999.49425069129,3613.02264943457,2942.77296150681,4435.92925315009,0.694682758651465,0.870263882591615,0.554526213049875,0.3137684454454,0.203584932998184,0.48358508612276,0.999195338231568
"4",1964,169566.422127505,116711.831847105,246356.955058248,26849.4334726681,20677.6854456244,34863.2867880182,5194.21092107782,3513.4663737445,7678.97689138553,4140.20258832445,3242.5249148477,5286.39807635021,0.797080182386075,0.922884857836838,0.688424792927899,0.291883654385204,0.185807739214704,0.458517325797801,1.00035875313109
"5",1965,184056.85805031,127170.654543793,266389.499345431,31350.9547455234,24454.5115658118,40192.2713038339,7688.64619855772,5484.46264601276,10778.6822852323,5511.54355533342,4287.86234561482,7084.44206316556,0.716841874759085,0.781819956186979,0.657264206856885,0.306511501200981,0.196397227452902,0.4783636795026,1.00207310484552
"6",1966,269952.149985807,180947.823367009,402735.782757397,47051.5929040774,35646.462774212,62105.8086137121,9112.47834583785,6548.70369577019,12679.9539971548,5844.17080584034,4602.4074303549,7420.97107322001,0.641337140571607,0.702796712779598,0.58525220792482,0.273925255487414,0.177600825562033,0.422492662161845,1.00031062477939
"7",1967,331041.823049129,221118.845853586,495609.897856717,64860.8834082116,48921.6638072229,85993.2771925164,10853.0345294603,7979.54602717151,14761.2856792318,8223.90141378767,6350.16959878404,10650.5115196686,0.757751335947939,0.79580587381297,0.721516523093459,0.279486860004044,0.189261731339861,0.412724243627735,1.0023137254902
"8",1968,385000.533891451,254792.406390254,581749.720082598,81633.9085016098,61683.9348014315,108036.152990269,25210.1003314123,18281.3811974287,34764.8326926887,10131.4527740946,8001.28313759584,12828.734285305,0.401880700231509,0.437673885314597,0.369014699386227,0.279542762966154,0.195993535977911,0.398707824402733,0.999548498845266
"9",1969,386930.357098462,265509.420196288,563878.67945951,93620.0641433846,73603.5987808122,119079.998198354,31382.3213809727,23380.2563624962,42123.1521155788,14563.88335309,11706.2433720121,18119.1088876153,0.464079223977363,0.500689264929954,0.430146083035277,0.316858492711731,0.232491503199737,0.431840746959667,1.00037076585814
"10",1970,441529.449462097,303867.065435544,641557.697155747,119730.660107925,95327.308348965,150381.157489538,40741.39782231,31032.6513958309,53487.5823320311,18835.5251247443,15254.4051100646,23257.3479047569,0.462319069338116,0.491559838554882,0.43481770704056,0.374935975345561,0.282819611434578,0.497055295759947,0.999671564348754
