"Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 3-6 Mean","Mean F ages 3-6 Low","Mean F ages 3-6 High","SoP (%)","WG Catch"
1957,1215905.95636275,651871.281235061,2267974.27233998,712118.778345801,493493.220414794,1027599.02972218,356111.798049862,239501.653553679,529497.858693834,37049.1244920116,32163.5132443844,42676.856075859,0.104037902408457,0.134293491369051,0.0805987321292183,0.138553326303043,0.091398190345629,0.210037246438278,0.753097262307248,48508
1958,2045187.43803572,1147497.45150076,3645142.43689921,732339.878446279,507237.796884521,1057337.80261807,356468.087963178,236270.638436066,537813.325334152,51174.6719422048,43966.5448775289,59564.5406225853,0.143560317655955,0.186085521114914,0.1107531885447,0.184685666317414,0.122152672827397,0.279230855564686,0.773296372605047,66494
1959,3087894.42269329,1705643.81238894,5590318.38678289,823237.486498668,557072.3484657,1216574.40194839,334703.38477147,219388.717245096,510629.521810482,50111.2092714276,42805.1644923722,58664.2598953751,0.149718262651101,0.195111056894286,0.114886150114031,0.182683524052735,0.119287158031709,0.279772529675447,0.744563075787471,70447
1960,2215525.10259538,1238521.39166628,3963235.1231547,862853.328298669,587311.604275459,1267667.55626184,390038.214810876,257308.02833042,591236.153803561,41940.1969315814,36279.1051928041,48484.6610552215,0.107528430135795,0.14099484352745,0.0820055755104086,0.135619785954709,0.0882837870807909,0.208336399587949,0.601167235396183,69160
1961,3017683.37315089,1713535.94909853,5314398.53676961,917125.865751463,628303.620029338,1338715.59357098,426343.227837822,285065.654674709,637637.487864299,33423.0145481184,28948.429707706,38589.2399955071,0.0783946181521905,0.101550043763565,0.0605190891846051,0.0999285348479173,0.0660625010141704,0.151155525805926,0.633184277148568,52535
1962,3555477.74866368,2021446.69766346,6253650.93022458,1013580.83504347,701661.238292258,1464162.55181464,428480.282160624,290162.1547487,632733.625649608,49365.150561231,42820.0958251151,56910.6173859539,0.115209853560369,0.147572986774241,0.0899440381843553,0.135701182242726,0.0913351108125747,0.201618092957285,0.798982391682166,65594
1963,3308481.89450082,1897236.28811883,5769472.42406644,1042362.15657097,726751.876164871,1495034.13900343,459548.608123384,314765.375312924,670928.06195151,39497.7900017023,34379.7896315951,45377.6893848375,0.0859491015825198,0.109223543400911,0.0676342099223703,0.103436229113732,0.0701530496575093,0.152510169486599,0.724461369224796,54089
1964,2237791.50005563,1249131.16549125,4008955.13302787,1013580.83504347,721747.04261726,1423415.7516489,506358.401043847,352060.107519153,728281.406588313,41606.0138706801,36316.1970332958,47666.3453670586,0.0821671246787062,0.10315339982483,0.0654504494222296,0.10029895528207,0.0691436675932178,0.145492433086691,0.614498260017329,70403
1965,6934364.70174587,3611003.97116479,13316355.8392068,1310605.75932963,874799.503302043,1963521.29819961,468363.508047026,329695.506529598,665354.459874702,45752.4215793929,38994.799107457,53681.1094887318,0.0976857094827275,0.118275191305819,0.0806804684210592,0.109854336980256,0.0769473390147637,0.156834212955125,0.873014696485623,76685
1966,2285282.02682383,1275865.33438298,4093311.26207744,1602379.06745073,1145969.54401439,2240564.49773506,717121.097485089,503459.826763386,1021457.20695191,89590.0908808925,75541.9008923492,106250.760031635,0.124930212198582,0.150045538644044,0.104018806963724,0.154602186496796,0.109944102658014,0.217399892233766,1.01304313416169,112834
1967,3786679.22861651,2242521.813094,6394113.75921127,1451343.15583307,1063718.34447335,1980220.57899771,756910.276276064,533836.878338361,1073198.92944747,81226.7576843753,68275.3996596762,96634.8962701556,0.107313588189084,0.127895622108747,0.0900437874270967,0.144510949386405,0.103885702356953,0.201022989870197,0.839920068447397,109281
1968,4135008.73958013,2475057.03954457,6908243.73063753,1518145.37528923,1138177.43523663,2024961.40685914,747134.125345925,542983.167849463,1028041.81475323,72838.5043303379,61136.0116349962,86781.0570430415,0.0974905333049986,0.112592830229215,0.0844139370574846,0.11973192422663,0.0876507772498916,0.163555123283624,0.836435872609047,105345
1969,3817094.15995802,2311385.30064417,6303668.98237388,1464464.20036905,1135197.95116114,1889234.72947507,705738.463823106,531733.445251726,936685.069872951,98321.6966009695,83998.578914683,115087.137751604,0.139317469064027,0.157971215963137,0.122866416315586,0.167780282133043,0.126477253653332,0.222571428929047,0.794520985667747,126777
1970,5142243.39303365,3152065.15263972,8388997.63574161,1573794.27911674,1239590.44904805,1998102.22391007,671990.847754772,520402.172351632,867736.000073906,136216.38956463,117088.352690788,158469.261541527,0.202705721394496,0.224995895312428,0.182623818221245,0.240099946158765,0.18528664881752,0.311128645875701,0.774969221847548,186236
1971,7992386.82767156,4642786.11583598,13758602.1861436,1869160.57934581,1431515.16894105,2440603.73734276,611090.289158552,475349.879362281,785592.587095783,228433.404397628,189232.595231915,275754.925734326,0.373812852945466,0.398091181774959,0.351015183014583,0.395608576397769,0.30851784280989,0.50728393630027,1.02554549054727,222211
