ageall,measurement_year
13.3,1973
7.945,1974
2.73,1975
2.458,1976
6.105,1977
7.369,1978
14.428,1979
9.859,1980
14.537,1981
21.029,1982
26.975,1983
48.816,1984
74.347,1985
38.632,1986
67.99,1987
134.915,1988
131.571,1989
170.589,1990
89.67,1991
41.885,1992
29.848,1993
20.652,1994
22.736,1995
44.734,1996
57.253,1997
74.389,1998
61.909,1999
41.087,2000
130.313,2001
110.964,2002
271.653,2003
321.995,2004
192.708,2005
117.856,2006
173.003,2007
181.746,2008
