"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 3-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","1210325","4188033","0","0.289","7956567","0"
"0.01","12766","1131271","4175923","0.0031","0.271","7502064","12766"
"0.02","24036","1059707","4163476","0.0058","0.255","7088342","24036"
"0.03","34012","994677","4150689","0.0082","0.24","6710257","34012"
"0.04","42863","935374","4137562","0.0104","0.226","6363490","42863"
"0.051","50732","881121","4124091","0.0123","0.214","6044387","50732"
"0.061","57738","831337","4110274","0.014","0.202","5749838","57738"
"0.071","63984","785528","4096111","0.0156","0.192","5477177","63984"
"0.081","69558","743269","4081599","0.017","0.182","5224106","69558"
"0.091","74536","704189","4066735","0.0183","0.173","4988637","74536"
"0.101","78982","667968","4051519","0.0195","0.165","4769038","78982"
"0.111","82954","634325","4035949","0.0206","0.157","4563794","82954"
"0.121","86501","603017","4020023","0.0215","0.15","4371578","86501"
"0.131","89667","573825","4003738","0.0224","0.143","4191215","89667"
"0.141","92488","546558","3987095","0.0232","0.137","4021670","92488"
"0.152","94999","521048","3970090","0.0239","0.131","3862021","94999"
"0.162","97230","497143","3952722","0.0246","0.126","3711448","97230"
"0.172","99206","474709","3934990","0.0252","0.121","3569217","99206"
"0.182","100950","453625","3916891","0.0258","0.116","3434671","100950"
"0.192","102483","433782","3898425","0.0263","0.111","3307218","102483"
"0.202","103824","415084","3879590","0.0268","0.107","3186327","103824"
"0.212","104989","397443","3860383","0.0272","0.103","3071516","104989"
"0.222","105993","380779","3840804","0.0276","0.099","2962348","105993"
"0.232","106849","365021","3820850","0.028","0.096","2858428","106849"
"0.242","107568","350103","3800521","0.0283","0.092","2759396","107568"
"0.253","108163","335965","3779814","0.0286","0.089","2664924","108163"
"0.263","108642","322554","3758727","0.0289","0.086","2574711","108642"
"0.273","109014","309819","3737260","0.0292","0.083","2488482","109014"
"0.283","109286","297717","3715410","0.0294","0.08","2405987","109286"
"0.293","109468","286204","3693176","0.0296","0.077","2326994","109468"
"0.303","109563","275243","3670555","0.0298","0.075","2251289","109563"
"0.313","109580","264799","3647547","0.03","0.073","2178677","109580"
"0.323","109522","254840","3624150","0.0302","0.07","2108976","109522"
"0.333","109396","245335","3600361","0.0304","0.068","2042020","109396"
"0.343","109204","236258","3576179","0.0305","0.066","1977653","109204"
"0.354","108952","227583","3551602","0.0307","0.064","1915732","108952"
"0.364","108644","219286","3526629","0.0308","0.062","1856123","108644"
"0.374","108281","211345","3501257","0.0309","0.06","1798702","108281"
"0.384","107869","203741","3475486","0.031","0.059","1743354","107869"
"0.394","107409","196454","3449312","0.0311","0.057","1689972","107409"
"0.404","106904","189467","3422734","0.0312","0.055","1638455","106904"
"0.414","106357","182764","3395750","0.0313","0.054","1588709","106357"
"0.424","105769","176329","3368359","0.0314","0.052","1540647","105769"
"0.434","105143","170148","3340557","0.0315","0.051","1494187","105143"
"0.444","104481","164208","3312345","0.0315","0.05","1449252","104481"
"0.455","103784","158496","3283719","0.0316","0.048","1405770","103784"
"0.465","103054","153001","3254677","0.0317","0.047","1363673","103054"
"0.475","102292","147713","3225218","0.0317","0.046","1322899","102292"
"0.485","101500","142620","3195339","0.0318","0.045","1283386","101500"
"0.495","100679","137713","3165039","0.0318","0.044","1245080","100679"
"0.505","99829","132984","3134315","0.0319","0.042","1207927","99829"
"0.515","98953","128423","3103166","0.0319","0.041","1171876","98953"
"0.525","98051","124023","3071589","0.0319","0.04","1136882","98051"
"0.535","97123","119777","3039583","0.032","0.039","1102898","97123"
"0.545","96172","115677","3007144","0.032","0.038","1069884","96172"
"0.556","95196","111716","2974272","0.032","0.038","1037799","95196"
"0.566","94198","107889","2940964","0.032","0.037","1006606","94198"
"0.576","93177","104190","2907218","0.0321","0.036","976269","93177"
"0.586","92135","100612","2873032","0.0321","0.035","946754","92135"
"0.596","91072","97151","2838404","0.0321","0.034","918030","91072"
"0.606","89988","93802","2803331","0.0321","0.033","890064","89988"
"0.616","88884","90559","2767811","0.0321","0.033","862830","88884"
"0.626","87760","87419","2731842","0.0321","0.032","836298","87760"
"0.636","86616","84377","2695423","0.0321","0.031","810444","86616"
"0.646","85454","81429","2658551","0.0321","0.031","785241","85454"
"0.657","84273","78572","2621223","0.0322","0.03","760667","84273"
"0.667","83074","75801","2583438","0.0322","0.029","736699","83074"
"0.677","81856","73113","2545193","0.0322","0.029","713315","81856"
"0.687","80620","70505","2506486","0.0322","0.028","690494","80620"
"0.697","79367","67974","2467315","0.0322","0.028","668218","79367"
"0.707","78096","65516","2427678","0.0322","0.027","646468","78096"
"0.717","76809","63130","2387572","0.0322","0.026","625224","76809"
"0.727","75504","60812","2346995","0.0322","0.026","604472","75504"
"0.737","74182","58560","2305946","0.0322","0.025","584193","74182"
"0.747","72843","56371","2264421","0.0322","0.025","564373","72843"
"0.758","71487","54243","2222419","0.0322","0.024","544997","71487"
"0.768","70115","52174","2179937","0.0322","0.024","526050","70115"
"0.778","68727","50161","2136973","0.0322","0.023","507519","68727"
"0.788","67322","48203","2093526","0.0322","0.023","489390","67322"
"0.798","65901","46298","2049592","0.0322","0.023","471650","65901"
"0.808","64463","44443","2005169","0.0321","0.022","454289","64463"
"0.818","63009","42638","1960256","0.0321","0.022","437294","63009"
"0.828","61540","40880","1914849","0.0321","0.021","420653","61540"
"0.838","60054","39167","1868948","0.0321","0.021","404357","60054"
"0.848","58552","37499","1822549","0.0321","0.021","388395","58552"
"0.859","57034","35873","1775650","0.0321","0.02","372758","57034"
"0.869","55500","34289","1728250","0.0321","0.02","357434","55500"
"0.879","53950","32745","1680345","0.0321","0.019","342417","53950"
"0.889","52385","31239","1631934","0.0321","0.019","327696","52385"
"0.899","50803","29771","1583015","0.0321","0.019","313263","50803"
"0.909","49205","28338","1533584","0.0321","0.018","299111","49205"
"0.919","47591","26941","1483641","0.0321","0.018","285230","47591"
"0.929","45961","25577","1433183","0.0321","0.018","271615","45961"
"0.939","44316","24247","1382208","0.0321","0.018","258257","44316"
"0.949","42654","22948","1330713","0.0321","0.017","245149","42654"
"0.96","40976","21680","1278696","0.032","0.017","232285","40976"
"0.97","39282","20441","1226156","0.032","0.017","219657","39282"
"0.98","37573","19232","1173090","0.032","0.016","207261","37573"
"0.99","35847","18051","1119495","0.032","0.016","195089","35847"
"1","34104","16897","1065370","0.032","0.016","183136","34104"
