Species.n Year  Rec SSB TSB SOP SOP.hat Yield Yield.hat mean.F Eaten
1 1974  5.33667e+008 605537 4.6786e+006 463344 476921 463344 476921 1.13199 0
1 1975  7.12689e+008 604919 4.6379e+006 732312 683054 732312 683054 1.71579 0
1 1976  3.30409e+008 497138 2.68831e+006 628598 540351 628598 540351 1.78338 0
1 1977  6.31497e+008 337814 4.03827e+006 385257 363012 385257 363012 1.60345 0
1 1978  1.03337e+009 388589 4.78552e+006 458804 366971 458804 366971 1.05496 0
1 1979  5.3478e+008 620006 4.00622e+006 463638 416645 463638 416645 0.696194 0
1 1980  3.28622e+008 425400 2.83262e+006 387434 467734 387434 467734 2.244 0
1 1981  9.42813e+007 302477 989900 280582 233460 280582 233460 1.09335 0
1 1982  4.92872e+007 180980 706619 162357 120206 162357 120206 0.990655 0
1 1983  6.69598e+007 87421.3 450172 115440 93238.1 115440 93238.1 1.63289 0
1 1984  3.35359e+007 65603.5 337632 113444 56845.2 113444 56845.2 0.974733 0
1 1985  2.33264e+007 60374.7 250200 62513.6 47569.3 62513.6 47569.3 1.28429 0
1 1986  7.91607e+007 23029.4 543126 27519.7 21962.2 27519.7 21962.2 1.06329 0
1 1987  4.08363e+007 55467.8 395986 53941.6 17927 53941.6 17927 0.364157 0
1 1988  6.0893e+007 57436.7 355484 103652 45607.4 103652 45607.4 1.28134 0
1 1989  5.46297e+007 42534.4 385989 58420.2 10804.4 58420.2 10804.4 0.315482 0
1 1990  7.38352e+007 41934.1 417970 78180.3 40629.3 78180.3 40629.3 1.55869 0
1 1991  1.12582e+008 86150.1 1.63418e+006 125815 51389.4 125815 51389.4 0.757761 0
1 1992  1.04251e+008 121347 1.10721e+006 156471 88413.2 156471 88413.2 0.881426 0
1 1993  1.50399e+008 166606 1.31255e+006 208848 170694 208848 170694 1.62183 0
1 1994  1.28713e+008 135418 1.16414e+006 424206 91696.5 424206 91696.5 0.711685 0
1 1995  3.63319e+007 198547 481871 446555 188021 446555 188021 1.46209 0
1 1996  6.08638e+007 108156 612989 95496.4 94294.3 95496.4 94294.3 1.36693 0
1 1997  4.91034e+007 108683 577725 125174 86455.7 125174 86455.7 1.04842 0
1 1998  1.09864e+008 134493 867743 188907 140386 188907 140386 1.74763 0
1 1999  7.7583e+007 130030 699976 243158 103487 243158 103487 0.95301 0
1 2000  7.33169e+007 184184 830826 222027 186666 222027 186666 1.48943 0
1 2001  6.13968e+007 125529 735955 153321 135842 153321 135842 1.59915 0
1 2002  8.2225e+007 111263 820745 174713 124783 174713 124783 1.68581 0
1 2003  1.06874e+008 140000 747555 174988 129564 174988 129564 1.35978 0
1 2004  1.88359e+008 173260 2.02381e+006 231352 204606 231352 204606 2.00458 0
1 2005  6.64453e+007 228945 1.01486e+006 280275 217148 280275 217148 1.37239 0
1 2006  8.48629e+007 172427 830858 78028 189218 78028 189218 1.71909 0
1 2007  6.09343e+007 135343 673007 99901.9 137947 99901.9 137947 1.6409 0
1 2008  1.40415e+008 102509 1.44155e+006 69891.5 98512.2 69891.5 98512.2 1.40592 0
1 2009  1.14653e+008 187981 1.13774e+006 170934 130677 170934 130677 0.892291 0
1 2010  1.20614e+008 188164 1.15097e+006 145415 145802 145415 145802 1.00795 0
1 2011  9.16798e+007 166525 788300 122472 115125 122472 115125 0.912434 0
1 2012  7.29972e+007 134527 868802 96029.9 119948 96029.9 119948 1.35688 0
1 2013  1.71319e+008 108282 1.25987e+006 60207.2 97231 60207.2 97231 1.23062 0
1 2014  1.88465e+008 219557 2.11028e+006 190268 116815 190268 116815 0.601844 0
1 2015  1.01492e+008 349774 1.43788e+006 298227 335239 298227 335239 1.41207 0
1 2016  1.33857e+008 224605 939349 227169 283546 227169 283546 2.24811 0
1 2017  1.90734e+008 174277 1.60275e+006 135824 176932 135824 176932 1.43913 0
1 2018  1.58389e+008 217500 1.19129e+006 190052 229776 190052 229776 1.44624 0
1 2019  NA 216305 NA NA NA NA NA NA NA
