Sprat 

Basis: Fsq=F(2018)=1.4;  Yield(2018)=190; Recruitment(2018)=158; Recruitment(2019)= geometric mean (GM 2008-2017) = 127 billion;SSB(2019)=249

F multiplier, Basis,F(2019),Landings(2019), SSB(2020),%SSB change*, %TAC change**
0.49 , Fcap, 0.69 , 138.726019282964 , 270.784242523986 , 8.8254459219762 %, -27.0061920351694 % 
0.71 , Fsq*0.71, 1 , 182.79349284541 , 243.731134778756 , -2.04692422226915 %, -3.81910197565205 % 
1 , Fsq*1, 1.4 , 228.73935000701 , 216.613837888352 , -12.9450913341736 %, 20.3563417642318 % 
2.46 , Fsq*2.46, 3.45 , 362.39882026168 , 147.266299272267 , -40.8151650989659 %, 90.6842712678538 % 
0 , Fsq*0, 0 , 0.001 , 360.650139493785 , 44.9416402018205 %, -99.9994738275607 % 
0.07 , Fsq*0.07, 0.1 , 24.6728634861272 , 344.257764610023 , 38.3537106760191 %, -87.0178192342176 % 
0.14 , Fsq*0.14, 0.2 , 47.5481794988928 , 329.197147673477 , 32.3010011878201 %, -74.9814584073076 % 
0.21 , Fsq*0.21, 0.3 , 68.795499668288 , 315.339336427798 , 26.7316871307806 %, -63.801704124525 % 
0.29 , Fsq*0.29, 0.4 , 88.5653909688049 , 302.56923983091 , 21.5995145801569 %, -53.3993321936185 % 
0.36 , Fsq*0.36, 0.5 , 106.992484766797 , 290.784052182937 , 16.8631669658704 %, -43.7035033001435 % 
0.43 , Fsq*0.43, 0.6 , 124.1972850061 , 279.891861427917 , 12.4857057630559 %, -34.6508115900224 % 
0.5 , Fsq*0.5, 0.7 , 140.28776427188 , 269.810419807459 , 8.43407643020976 %, -26.1844448647379 % 
0.57 , Fsq*0.57, 0.8 , 155.36077301594 , 260.466057649823 , 4.67867187201769 %, -18.253443085815 % 
0.64 , Fsq*0.64, 0.9 , 169.503284187944 , 251.792723370587 , 1.1929466253405 %, -10.8120434841721 % 
0.71 , Fsq*0.71, 1 , 182.79349284541 , 243.731134778756 , -2.04692422226915 %, -3.81910197565205 % 
3.705 , MSY , 5.187 , 417.854061974456 , 124.999822557324 , -49.7638366871967 %, 119.863291073569 % 
