 par parNo species year quarter area age predator prey fleet
F_q_ini 104 1 1974 3 -1 3 -1 -1 -1
log_F_a_ini 105 1 1974 -1 -1 0 -1 -1 -1
log_F_a_ini 106 1 1974 -1 -1 1 -1 -1 -1
log_F_a_ini 107 1 1974 -1 -1 2 -1 -1 -1
qq_ini 108 1 -1 -1 -1 0 -1 -1 1
qq_ini 109 1 -1 -1 -1 1 -1 -1 1
qq_ini 110 1 -1 -1 -1 2 -1 -1 1
qq_ini 111 1 -1 -1 -1 3 -1 -1 1
qq_ini 112 1 -1 -1 -1 1 -1 -1 2
qq_ini 113 1 -1 -1 -1 2 -1 -1 2
qq_ini 114 1 -1 -1 -1 3 -1 -1 2
qq_ini 115 1 -1 -1 -1 1 -1 -1 3
qq_ini 116 1 -1 -1 -1 2 -1 -1 3
qq_ini 117 1 -1 -1 -1 3 -1 -1 3
qq_power_ini 118 1 -1 -1 -1 0 -1 -1 1
qq_s2_ini 119 1 -1 -1 -1 0 -1 -1 1
qq_s2_ini 120 1 -1 -1 -1 1 -1 -1 1
qq_s2_ini 121 1 -1 -1 -1 1 -1 -1 2
qq_s2_ini 122 1 -1 -1 -1 2 -1 -1 2
qq_s2_ini 123 1 -1 -1 -1 1 -1 -1 3
qq_s2_ini 124 1 -1 -1 -1 2 -1 -1 3
SSB_R_alfa 125 1 -1 -1 -1 -1 -1 -1 -1
catch_s2_ini 126 1 -1 1 -1 0 -1 -1 -1
catch_s2_ini 127 1 -1 1 -1 1 -1 -1 -1
catch_s2_ini 128 1 -1 1 -1 2 -1 -1 -1
catch_s2_ini 129 1 -1 2 -1 0 -1 -1 -1
catch_s2_ini 130 1 -1 2 -1 1 -1 -1 -1
catch_s2_ini 131 1 -1 2 -1 2 -1 -1 -1
catch_s2_ini 132 1 -1 3 -1 0 -1 -1 -1
catch_s2_ini 133 1 -1 3 -1 1 -1 -1 -1
catch_s2_ini 134 1 -1 3 -1 2 -1 -1 -1
catch_s2_ini 135 1 -1 4 -1 0 -1 -1 -1
catch_s2_ini 136 1 -1 4 -1 1 -1 -1 -1
catch_s2_ini 137 1 -1 4 -1 2 -1 -1 -1
avg_F 138 1 1974 -1 -1 -1 -1 -1 -1
avg_F 139 1 1975 -1 -1 -1 -1 -1 -1
avg_F 140 1 1976 -1 -1 -1 -1 -1 -1
avg_F 141 1 1977 -1 -1 -1 -1 -1 -1
avg_F 142 1 1978 -1 -1 -1 -1 -1 -1
avg_F 143 1 1979 -1 -1 -1 -1 -1 -1
avg_F 144 1 1980 -1 -1 -1 -1 -1 -1
avg_F 145 1 1981 -1 -1 -1 -1 -1 -1
avg_F 146 1 1982 -1 -1 -1 -1 -1 -1
avg_F 147 1 1983 -1 -1 -1 -1 -1 -1
avg_F 148 1 1984 -1 -1 -1 -1 -1 -1
avg_F 149 1 1985 -1 -1 -1 -1 -1 -1
avg_F 150 1 1986 -1 -1 -1 -1 -1 -1
avg_F 151 1 1987 -1 -1 -1 -1 -1 -1
avg_F 152 1 1988 -1 -1 -1 -1 -1 -1
avg_F 153 1 1989 -1 -1 -1 -1 -1 -1
avg_F 154 1 1990 -1 -1 -1 -1 -1 -1
avg_F 155 1 1991 -1 -1 -1 -1 -1 -1
avg_F 156 1 1992 -1 -1 -1 -1 -1 -1
avg_F 157 1 1993 -1 -1 -1 -1 -1 -1
avg_F 158 1 1994 -1 -1 -1 -1 -1 -1
avg_F 159 1 1995 -1 -1 -1 -1 -1 -1
avg_F 160 1 1996 -1 -1 -1 -1 -1 -1
avg_F 161 1 1997 -1 -1 -1 -1 -1 -1
avg_F 162 1 1998 -1 -1 -1 -1 -1 -1
avg_F 163 1 1999 -1 -1 -1 -1 -1 -1
avg_F 164 1 2000 -1 -1 -1 -1 -1 -1
avg_F 165 1 2001 -1 -1 -1 -1 -1 -1
avg_F 166 1 2002 -1 -1 -1 -1 -1 -1
avg_F 167 1 2003 -1 -1 -1 -1 -1 -1
avg_F 168 1 2004 -1 -1 -1 -1 -1 -1
avg_F 169 1 2005 -1 -1 -1 -1 -1 -1
avg_F 170 1 2006 -1 -1 -1 -1 -1 -1
avg_F 171 1 2007 -1 -1 -1 -1 -1 -1
avg_F 172 1 2008 -1 -1 -1 -1 -1 -1
avg_F 173 1 2009 -1 -1 -1 -1 -1 -1
avg_F 174 1 2010 -1 -1 -1 -1 -1 -1
avg_F 175 1 2011 -1 -1 -1 -1 -1 -1
avg_F 176 1 2012 -1 -1 -1 -1 -1 -1
avg_F 177 1 2013 -1 -1 -1 -1 -1 -1
avg_F 178 1 2014 -1 -1 -1 -1 -1 -1
avg_F 179 1 2015 -1 -1 -1 -1 -1 -1
avg_F 180 1 2016 -1 -1 -1 -1 -1 -1
avg_F 181 1 2017 -1 -1 -1 -1 -1 -1
avg_F 182 1 2018 -1 -1 -1 -1 -1 -1
hist_SSB 183 1 1974 -1 -1 -1 -1 -1 -1
hist_SSB 184 1 1975 -1 -1 -1 -1 -1 -1
hist_SSB 185 1 1976 -1 -1 -1 -1 -1 -1
hist_SSB 186 1 1977 -1 -1 -1 -1 -1 -1
hist_SSB 187 1 1978 -1 -1 -1 -1 -1 -1
hist_SSB 188 1 1979 -1 -1 -1 -1 -1 -1
hist_SSB 189 1 1980 -1 -1 -1 -1 -1 -1
hist_SSB 190 1 1981 -1 -1 -1 -1 -1 -1
hist_SSB 191 1 1982 -1 -1 -1 -1 -1 -1
hist_SSB 192 1 1983 -1 -1 -1 -1 -1 -1
hist_SSB 193 1 1984 -1 -1 -1 -1 -1 -1
hist_SSB 194 1 1985 -1 -1 -1 -1 -1 -1
hist_SSB 195 1 1986 -1 -1 -1 -1 -1 -1
hist_SSB 196 1 1987 -1 -1 -1 -1 -1 -1
hist_SSB 197 1 1988 -1 -1 -1 -1 -1 -1
hist_SSB 198 1 1989 -1 -1 -1 -1 -1 -1
hist_SSB 199 1 1990 -1 -1 -1 -1 -1 -1
hist_SSB 200 1 1991 -1 -1 -1 -1 -1 -1
hist_SSB 201 1 1992 -1 -1 -1 -1 -1 -1
hist_SSB 202 1 1993 -1 -1 -1 -1 -1 -1
hist_SSB 203 1 1994 -1 -1 -1 -1 -1 -1
hist_SSB 204 1 1995 -1 -1 -1 -1 -1 -1
hist_SSB 205 1 1996 -1 -1 -1 -1 -1 -1
hist_SSB 206 1 1997 -1 -1 -1 -1 -1 -1
hist_SSB 207 1 1998 -1 -1 -1 -1 -1 -1
hist_SSB 208 1 1999 -1 -1 -1 -1 -1 -1
hist_SSB 209 1 2000 -1 -1 -1 -1 -1 -1
hist_SSB 210 1 2001 -1 -1 -1 -1 -1 -1
hist_SSB 211 1 2002 -1 -1 -1 -1 -1 -1
hist_SSB 212 1 2003 -1 -1 -1 -1 -1 -1
hist_SSB 213 1 2004 -1 -1 -1 -1 -1 -1
hist_SSB 214 1 2005 -1 -1 -1 -1 -1 -1
hist_SSB 215 1 2006 -1 -1 -1 -1 -1 -1
hist_SSB 216 1 2007 -1 -1 -1 -1 -1 -1
hist_SSB 217 1 2008 -1 -1 -1 -1 -1 -1
hist_SSB 218 1 2009 -1 -1 -1 -1 -1 -1
hist_SSB 219 1 2010 -1 -1 -1 -1 -1 -1
hist_SSB 220 1 2011 -1 -1 -1 -1 -1 -1
hist_SSB 221 1 2012 -1 -1 -1 -1 -1 -1
hist_SSB 222 1 2013 -1 -1 -1 -1 -1 -1
hist_SSB 223 1 2014 -1 -1 -1 -1 -1 -1
hist_SSB 224 1 2015 -1 -1 -1 -1 -1 -1
hist_SSB 225 1 2016 -1 -1 -1 -1 -1 -1
hist_SSB 226 1 2017 -1 -1 -1 -1 -1 -1
hist_SSB 227 1 2018 -1 -1 -1 -1 -1 -1
hist_log_SSB 228 1 1974 -1 -1 -1 -1 -1 -1
hist_log_SSB 229 1 1975 -1 -1 -1 -1 -1 -1
hist_log_SSB 230 1 1976 -1 -1 -1 -1 -1 -1
hist_log_SSB 231 1 1977 -1 -1 -1 -1 -1 -1
hist_log_SSB 232 1 1978 -1 -1 -1 -1 -1 -1
hist_log_SSB 233 1 1979 -1 -1 -1 -1 -1 -1
hist_log_SSB 234 1 1980 -1 -1 -1 -1 -1 -1
hist_log_SSB 235 1 1981 -1 -1 -1 -1 -1 -1
hist_log_SSB 236 1 1982 -1 -1 -1 -1 -1 -1
hist_log_SSB 237 1 1983 -1 -1 -1 -1 -1 -1
hist_log_SSB 238 1 1984 -1 -1 -1 -1 -1 -1
hist_log_SSB 239 1 1985 -1 -1 -1 -1 -1 -1
hist_log_SSB 240 1 1986 -1 -1 -1 -1 -1 -1
hist_log_SSB 241 1 1987 -1 -1 -1 -1 -1 -1
hist_log_SSB 242 1 1988 -1 -1 -1 -1 -1 -1
hist_log_SSB 243 1 1989 -1 -1 -1 -1 -1 -1
hist_log_SSB 244 1 1990 -1 -1 -1 -1 -1 -1
hist_log_SSB 245 1 1991 -1 -1 -1 -1 -1 -1
hist_log_SSB 246 1 1992 -1 -1 -1 -1 -1 -1
hist_log_SSB 247 1 1993 -1 -1 -1 -1 -1 -1
hist_log_SSB 248 1 1994 -1 -1 -1 -1 -1 -1
hist_log_SSB 249 1 1995 -1 -1 -1 -1 -1 -1
hist_log_SSB 250 1 1996 -1 -1 -1 -1 -1 -1
hist_log_SSB 251 1 1997 -1 -1 -1 -1 -1 -1
hist_log_SSB 252 1 1998 -1 -1 -1 -1 -1 -1
hist_log_SSB 253 1 1999 -1 -1 -1 -1 -1 -1
hist_log_SSB 254 1 2000 -1 -1 -1 -1 -1 -1
hist_log_SSB 255 1 2001 -1 -1 -1 -1 -1 -1
hist_log_SSB 256 1 2002 -1 -1 -1 -1 -1 -1
hist_log_SSB 257 1 2003 -1 -1 -1 -1 -1 -1
