"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.378049228005378,0.0246995054552487,0.00473656342853071,0.00469488322295281,0.381440247739585,0.0360669651133134,619750.0979,9668.99999934185,7845.17398709756,1837.88399981889,1403772.32150687,NA
"mp",0.191758761889273,0.0403092878677833,0.00691706860882675,0.00438630206042313,0.196737040826781,0.0525946667773416,262893.611384075,16890.1071498523,12348.885,1837.91666166785,1178115.1638263,1176047.64677755
"mp transfer",0.208855597262956,0.0402688614888046,0.00345180831067667,0.00438184496227171,0.211670586268742,0.0491720769320866,283472.0281907,16890.1319360253,6174.4425,1837.89500869184,1165984.97796011,1158775.26052644
"tacro",0.53153856417855,0.0403669302425087,0.00833330197685921,0.00439249642194281,0.537401641376655,0.0558147698399625,600587.996674273,16890.1071498587,14528.1000004809,1837.88400000402,942441.329908858,820234.519265448
"-15%",0.427033694556449,0.0403386937398216,0.00702800867346523,0.00438942388864414,0.432081691162042,0.0539429917302024,510499.799999417,16890.1071498522,12348.8849999998,1837.88400000005,1007677.23170024,906895.708254934
"+15%",0.649439336233888,0.0403968893220717,0.00966481770549327,0.00439575639599877,0.656133887378201,0.0577832816207546,690676.199999973,16890.1071498523,16707.3149999999,1837.88399995696,875748.270712917,740180.92055886
"fmsy",0.256156082190628,0.0402947311482616,0.00509982380710097,0.00438464013310525,0.260000001304714,0.0510909859085482,337817.415711002,16890.1071498526,9079.1048086582,1837.88400000001,1128504.8849715,1092255.51500931
"fmsyAR",0.212390636843035,0.040283353301417,0.00460157597082381,0.00438340206146475,0.215923419002069,0.0503559966559538,287607.279580746,16890.1071498518,8220.51148083068,1837.88399999998,1162664.56385731,1151429.29900921
"fpa",0.295885586424636,0.0403048020294496,0.00553298341538207,0.00438573598828476,0.30000000029699,0.0517387694520063,381136.544055973,16890.1071498523,9819.86190335709,1837.884,1098695.37619665,1043209.43928734
"flim",0.335625706680439,0.0403146443547594,0.00594913970322439,0.00438680697333235,0.340000000000569,0.0523693506143064,422454.400467834,16890.1071498523,10526.397248,1837.884,1069966.44748773,998108.848271672
"fsq",0.376807266452029,0.0403246131862449,0.00636338350908994,0.00438789172405202,0.381440247739585,0.0530055412655899,463279.849355145,16890.1071498522,11224.512423973,1837.884,1041291.46489549,955109.226053674
"bpa",0.605722316860568,0.0403763026003458,0.00839363795230212,0.00439351626785259,0.611623202776221,0.0562653975122081,658648.897798374,16890.1071483858,14565.3231523522,1837.88399984824,900000,769381.197770077
"blim",0.800831244709656,0.0404162704954262,0.00982941631315845,0.00439786534355199,0.807628837811068,0.0587446574870546,791519.176345134,16890.1071498522,16837.4049155175,1837.88399999997,800000.000000591,660132.002426305
"MSYBtrigger",0.00000000378049228005378,0.0373053138271381,0.0000000000473656342853071,0.00172156707424103,0.000577538750258839,0.0390268809681049,0.00587130916074086,15716.2653726908,0.0000863454684126692,725.274826021603,1351565.21856685,1547897.581153
"nf",0,0,0,0,0,0,0,0,0,0,1351984.457931,1556967.30102862
