"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mp",0.160130269400314,0.0453779498598986,0.00404041734816214,0.0000868488458728829,0.165644127310031,0.050000742928862,235478.926016287,15732.2074208146,7101.68965986305,1837.88487056743,1204219.17600497,1215876.16016368
"mp transfer",0.169069328698972,0.0453517565622279,0.00201781669474286,0.0000866808454350565,0.173131054774314,0.0479794431060226,247303.653067728,15731.9902363083,3550.74991009122,1837.87425184618,1197755.70874916,1206378.46011245
"tacro",0.496833182487898,0.0218183385498622,0.0084872322119026,0.0000894420877899052,0.505606813354851,0.031932474787269,600587.997876531,7642.99999999845,14528.1000004493,1837.88399994127,958310.366933935,832171.109471997
"-15%",0.400484558202348,0.0218085163451668,0.00715573820077674,0.0000886857983693182,0.408282736798668,0.0302922492040698,510499.799999678,7642.99999999988,12348.8850000001,1837.8839999999,1021164.41682834,917432.603790113
"+15%",0.604801593215827,0.0218285275156869,0.00984555074295324,0.0000902789304508101,0.614572300810485,0.0336359299064808,690676.199987317,7642.99999671821,16707.3149980181,1837.884,894011.459422745,753460.341682571
"fmsy",0.253632566520185,0.0217939930987445,0.00520393402130231,0.0000875489067688357,0.259999999999998,0.0278703479535193,352135.732986348,7643.00000000004,9096.5210340666,1837.88400000001,1128143.38627559,1083612.74155452
"fpa",0.293290677919604,0.0217975440888686,0.00566916743025178,0.0000878482111696713,0.299999999999999,0.0284621546130026,397686.066036175,7643.00000000279,9875.43172919983,1837.88400000297,1097843.04537871,1033701.56060442
"flim",0.332961737058835,0.0218009849966601,0.00611635939507804,0.0000881461880507315,0.34,0.029035848485595,441122.270057319,7643,10618.1908178859,1837.88399964237,1068635.57352005,987866.318416278
"fsq",0.356478435595021,0.0297340568184315,0.00463082376838099,0.0000554224184040559,0.36146549864633,0.0355234338862878,466077.601773473,10386.6413573812,8034.39033205773,1158.32003472724,1053315.82543111,966841.818133785
"bpa",0.595147690793356,0.0218213391806951,0.00868104947868548,0.000090086269173955,0.604079443796017,0.0324341734184408,683148.085286685,7642.99999994785,14756.8322584023,1837.88399169328,900000,761881.990598073
"blim",0.784975720496637,0.0218339974022263,0.0101970954798246,0.0000914674226255792,0.795033835661079,0.0345516860853863,819933.935980847,7643,17095.870305361,1837.8840000005,800000.000001641,654291.973819911
"MSYBtrigger",0.00000000356478435595021,0.0216496048642086,0.0000000000463082376838099,0.000000000000554224184040559,0.0000000036146549864633,0.0216496049221024,0.00582490537414029,7605.60770865728,0.0000832037328493419,0.0000119964845684283,1354480.91259758,1549800.76466584
"nf",0,0,0,0,0,0,0,0,0,0,1354508.00200888,1554149.78861499
