"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.378049227983779,0.0246995054569989,0.00473656343634851,0.00469488322342807,0.381440247722897,0.0360669651232461,619750.097871479,9669.00000000132,7845.1740000017,1837.88400000005,1403772.32152176,NA
"mp",0.194552116394391,0.0490034171095783,5.57092448776678e-08,2.38668785166653e-07,0.195277326291289,0.0500000246656161,266494.093663228,20531.9884217701,0.0999999999624465,0.100000061683899,1178943.73768402,1185543.49366789
"tacro",0.530721248801746,0.0490524059696608,5.69613124940394e-08,2.3890723568419e-07,0.53144718443975,0.0517705575152865,600587.999995149,20531.9884218379,0.100000000010698,0.0999999999998979,946334.2552807,835271.397079293
"-15%",0.426522992417625,0.0490373783640459,5.6584316736091e-08,2.38834044500174e-07,0.427248705434924,0.0512219238740769,510499.8,20531.9884217701,0.0999999999999985,0.0999999999999492,1010955.81693614,919895.405622938
"+15%",0.64817683480171,0.0490691835595456,5.73754775487471e-08,2.38988950079066e-07,0.64890301898069,0.0523888327748217,690676.199992754,20531.98842177,0.100000000000005,0.0999999999999958,880268.025119565,757094.183875353
"fmsy",0.259274648657114,0.0490129647459929,5.59586800795607e-08,2.38715139224054e-07,0.26,0.0503410206077541,341513.011272425,20531.9884217701,0.10000000000013,0.100000000001025,1128362.9334587,1097825.90027404
"fmsyAR",0.215166748835789,0.0490064642804453,5.57891574175788e-08,2.38683479062625e-07,0.215892003875995,0.0501086407130786,291040.020004838,20531.9884216106,0.0999999999963619,0.100000000010183,1162495.40550554,1156221.34294989
"fpa",0.299274561661174,0.0490188371707713,5.61107334084468e-08,2.3874374055983e-07,0.3000000000018,0.0505517351916949,385007.808933961,20531.9884216083,0.0999999999965249,0.0999999999965067,1098609.50697348,1049499.70757509
"flim",0.339274474977262,0.0490246883326276,5.62612331310363e-08,2.38772238350995e-07,0.34,0.0507624285126545,426477.397850372,20531.9884217701,0.1,0.1,1069943.64565147,1005090.41965006
"fsq",0.380714633181121,0.0490307280005445,5.64155581026539e-08,2.3880165427135e-07,0.381440247677959,0.0509806859257679,467438.347395281,20531.9884216338,0.0999999999965088,0.10000000001044,1041340.06124542,962774.439198716
"bpa",0.611822959108114,0.0490640082038749,5.72484629216374e-08,2.38963746309167e-07,0.61254906662053,0.0521974868664433,663975.863150837,20531.9882039289,0.100000000000008,0.0999999999999793,899999.999999999,779623.29169258
"blim",0.808893661063793,0.0490918719553704,5.7925098233168e-08,2.3909945275223e-07,0.809620181339113,0.0532345624375752,797571.454043901,20531.9884216473,0.100000000010058,0.0999999999998769,799999.999999942,671966.850533461
"MSYBtrigger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nf",0,0,0,0,0,0,0,0,0,0,1351984.45793936,1556967.30103102
