"","Fbar 2-6 A","Fbar 0-1 B","Fbar 0-1 C","Fbar 0-1 D","Fbar 2-6","Fbar 0-1","Catch A","Catch B","Catch C","Catch D","SSB","SSB"
"intermediate year",0.290453882881675,0.0464130637357522,0.00172203105680863,0.00247575585016851,0.291484844363991,0.0515175828777897,397647.775381858,11323.536330441,2885.78909275476,604.017685070204,1528855.14912861,NA
"mpA",0.212672208710211,0.0456203818195448,0,0,0.212907766281296,0.0462842970174614,266101.068370339,12209.9658683843,0,0,1388528.91053019,1343180.63596087
"mpAC",0.212672208710211,0.0456203818195448,0,0,0.212907766281296,0.0462842970174614,266101.068370339,12209.9658683843,0,0,1388528.91053019,1343180.63596087
"mpAD",0.212672208710211,0.0456203818195448,0,0,0.212907766281296,0.0462842970174614,266101.068370339,12209.9658683843,0,0,1388528.91053019,1343180.63596087
"mpB",0.316580187912452,0.0490117072682452,0,0,0.316833256349374,0.0499999999999991,376285.677984488,13089.9884669637,0,0,1315365.21823494,1214353.24306173
"tacro",0.325284018637892,0.0464130637357522,6.02070771323112e-08,3.73880526584227e-07,0.325523698315258,0.0474289619731986,385008.04800001,12413.8756730034,0.0999999999999212,0.099999999999966,1309517.88538929,1204810.9680274
"-15%",0.268998105568379,0.0464130637357522,6.0033844630618e-08,3.73839955541604e-07,0.269237785167217,0.0472532496936668,327256.847999956,12415.2228908972,0.0999999999999538,0.0999999999999327,1348146.33946374,1270563.8038144
"+15%",0.384879160665448,0.0464130637357522,6.03889706398393e-08,3.73923338748587e-07,0.385118840425268,0.0476150049382982,442759.247914149,12412.4543525642,0.1,0.1,1270394.65093864,1141659.03312683
"fmsy",0.259774131034114,0.0464130637357522,6.00053195734884e-08,3.73833302358071e-07,0.260013810620021,0.0472244544674496,317478.982457548,12415.4441179706,0.100000000215002,0.100000002182313,1354638.22385451,1281959.3760636
"fmsyAR",0.252317005574165,0.0464130637357522,5.99822298127672e-08,3.7382790621937e-07,0.252556685149606,0.0472011749566295,309507.368494142,12415.6230617433,0.0999999999998997,0.100000000000112,1359920.61234507,1291306.8888737
"fpa",0.299778645526234,0.0464130637357522,6.01287546293326e-08,3.73862167237966e-07,0.300018325168095,0.0473493397907724,359239.194498315,12414.4855684629,0.100000000205841,0.100000002288036,1326814.6655066,1233824.21660661
"flim",0.339783779141572,0.0464130637357522,6.02514751548932e-08,3.73890964732148e-07,0.340023458839063,0.0474742270460779,399370.748811601,12413.5293774981,0.100000000098074,0.100000002178447,1299834.52569277,1188865.17228037
"fsq",0.291262476577489,0.0464130637357522,6.01025382227036e-08,3.73856027785318e-07,0.291502156207466,0.0473227541785357,350488.695334881,12414.6894254522,0.100000000098111,0.100000002180695,1332665.98334739,1243795.45047892
"bpa",1.13516536887044,0.0464130637357522,6.25630730870963e-08,3.74450056678737e-07,1.13540504961589,0.049957233825772,957156.693481661,12394.994701334,0.10000000020071,0.100000002044078,899590.467669898,679381.137253065
"blim",1.42728836862628,0.0464130637357522,6.33611263212329e-08,3.74649221070723e-07,1.42752804973355,0.0508691776686256,1087848.46297804,12388.405503924,0.100000000199573,0.10000000212824,799617.872307497,585305.179355214
"MSYBtrigger",0.197836063060332,0.0464130637357522,5.98127582476359e-08,3.73788479213751e-07,0.198075742558951,0.0470310973974692,249399.958544401,12416.9329262383,0.100000000101792,0.100000002185215,1399456.95935214,1363457.6959733
"nf",0,0,0,0,0,0,0,0,0,0,1558515.56873087,1699798.89502774
