,harvest,yield,rec,ssb,biomass,yield/R,SSB/R
f0.1,0.170627962,13138.37889,470905.7231,82118.79986,92768.78249,0.027900232,0.174384799
fmed,NA,NA,NA,NA,NA,NA,NA
spr.35,0.188798387,13102.6907,456021.3965,74903.1773,85210.29447,0.028732623,0.164253647
msy,0.171700455,13138.53205,470020.2192,81664.71399,92294.29024,0.027953121,0.173747236
crash,0.962295538,2.21E-06,6.06E-05,3.58E-06,4.92E-06,0.036445316,0.059085243
3y_aver,0.109666667,12471.92834,486616,66432.77442,184972.9926,0.023919433,0.220545954
