"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 2-5","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","292161","622551","0","0.469","1927961","0"
"0.01","2753","260058","613024","0.0045","0.424","1736970","2753"
"0.02","4914","233735","603557","0.0081","0.387","1579547","4914"
"0.03","6630","211766","594152","0.0112","0.356","1447436","6630"
"0.04","8005","193160","584814","0.0137","0.33","1334886","8005"
"0.051","9114","177202","575542","0.0158","0.308","1237769","9114"
"0.061","10011","163369","566340","0.0177","0.288","1153046","10011"
"0.071","10738","151267","557208","0.0193","0.271","1078427","10738"
"0.081","11325","140590","548149","0.0207","0.256","1012157","11325"
"0.091","11797","131105","539162","0.0219","0.243","952867","11797"
"0.101","12175","122623","530251","0.023","0.231","899472","12175"
"0.111","12472","114996","521414","0.0239","0.221","851103","12472"
"0.121","12702","108100","512654","0.0248","0.211","807055","12702"
"0.131","12874","101838","503970","0.0255","0.202","766750","12874"
"0.141","12998","96126","495363","0.0262","0.194","729709","12998"
"0.152","13079","90896","486833","0.0269","0.187","695533","13079"
"0.162","13124","86089","478381","0.0274","0.18","663884","13124"
"0.172","13139","81658","470006","0.028","0.174","634479","13139"
"0.182","13126","77559","461710","0.0284","0.168","607075","13126"
"0.192","13089","73759","453490","0.0289","0.163","581461","13089"
"0.202","13032","70225","445348","0.0293","0.158","557459","13032"
"0.212","12957","66930","437283","0.0296","0.153","534911","12957"
"0.222","12867","63852","429295","0.03","0.149","513681","12867"
"0.232","12762","60970","421383","0.0303","0.145","493650","12762"
"0.242","12646","58267","413546","0.0306","0.141","474711","12646"
"0.253","12519","55725","405785","0.0309","0.137","456773","12519"
"0.263","12383","53332","398099","0.0311","0.134","439751","12383"
"0.273","12239","51074","390486","0.0313","0.131","423574","12239"
"0.283","12088","48941","382947","0.0316","0.128","408174","12088"
"0.293","11930","46923","375481","0.0318","0.125","393493","11930"
"0.303","11767","45011","368086","0.032","0.122","379479","11767"
"0.313","11599","43196","360762","0.0322","0.12","366082","11599"
"0.323","11427","41471","353509","0.0323","0.117","353261","11427"
"0.333","11252","39831","346325","0.0325","0.115","340976","11252"
"0.343","11073","38268","339210","0.0326","0.113","329191","11073"
"0.354","10892","36778","332162","0.0328","0.111","317873","10892"
"0.364","10708","35356","325182","0.0329","0.109","306994","10708"
"0.374","10523","33997","318267","0.0331","0.107","296526","10523"
"0.384","10335","32697","311417","0.0332","0.105","286445","10335"
"0.394","10147","31452","304632","0.0333","0.103","276727","10147"
"0.404","9957","30259","297909","0.0334","0.102","267351","9957"
"0.414","9766","29114","291249","0.0335","0.1","258298","9766"
"0.424","9574","28016","284651","0.0336","0.098","249551","9574"
"0.434","9382","26960","278113","0.0337","0.097","241092","9382"
"0.444","9190","25945","271634","0.0338","0.096","232906","9190"
"0.455","8997","24968","265214","0.0339","0.094","224980","8997"
"0.465","8804","24027","258852","0.034","0.093","217299","8804"
"0.475","8611","23120","252546","0.0341","0.092","209851","8611"
"0.485","8418","22245","246296","0.0342","0.09","202625","8418"
"0.495","8226","21401","240102","0.0343","0.089","195611","8226"
"0.505","8033","20586","233961","0.0343","0.088","188797","8033"
"0.515","7841","19798","227873","0.0344","0.087","182175","7841"
"0.525","7649","19037","221838","0.0345","0.086","175736","7649"
"0.535","7458","18300","215855","0.0346","0.085","169472","7458"
"0.545","7267","17587","209922","0.0346","0.084","163375","7267"
"0.556","7077","16896","204038","0.0347","0.083","157437","7077"
"0.566","6887","16227","198204","0.0347","0.082","151652","6887"
"0.576","6698","15578","192418","0.0348","0.081","146014","6698"
"0.586","6509","14948","186679","0.0349","0.08","140515","6509"
"0.596","6321","14337","180986","0.0349","0.079","135151","6321"
"0.606","6134","13743","175339","0.035","0.078","129916","6134"
"0.616","5948","13167","169737","0.035","0.078","124806","5948"
"0.626","5762","12607","164179","0.0351","0.077","119814","5762"
"0.636","5577","12062","158664","0.0351","0.076","114936","5577"
"0.646","5392","11532","153193","0.0352","0.075","110169","5392"
"0.657","5209","11016","147762","0.0352","0.075","105508","5209"
"0.667","5026","10514","142374","0.0353","0.074","100949","5026"
"0.677","4844","10025","137025","0.0353","0.073","96488","4844"
"0.687","4662","9548","131716","0.0354","0.072","92122","4662"
"0.697","4482","9084","126447","0.0354","0.072","87847","4482"
"0.707","4302","8631","121216","0.0355","0.071","83661","4302"
"0.717","4123","8189","116022","0.0355","0.071","79559","4123"
"0.727","3944","7758","110866","0.0356","0.07","75540","3944"
"0.737","3767","7337","105746","0.0356","0.069","71601","3767"
"0.747","3590","6927","100662","0.0357","0.069","67738","3590"
"0.758","3414","6525","95613","0.0357","0.068","63950","3414"
"0.768","3239","6133","90599","0.0357","0.068","60233","3239"
"0.778","3064","5750","85619","0.0358","0.067","56586","3064"
"0.788","2890","5375","80672","0.0358","0.067","53007","2890"
"0.798","2717","5009","75758","0.0359","0.066","49492","2717"
"0.808","2545","4651","70876","0.0359","0.066","46041","2545"
"0.818","2373","4300","66027","0.0359","0.065","42651","2373"
"0.828","2202","3957","61208","0.036","0.065","39321","2202"
"0.838","2032","3620","56420","0.036","0.064","36048","2032"
"0.848","1863","3291","51663","0.0361","0.064","32832","1863"
"0.859","1694","2969","46935","0.0361","0.063","29669","1694"
"0.869","1526","2653","42236","0.0361","0.063","26560","1526"
"0.879","1359","2343","37566","0.0362","0.062","23501","1359"
"0.889","1192","2040","32925","0.0362","0.062","20492","1192"
"0.899","1026","1742","28311","0.0362","0.062","17532","1026"
"0.909","860","1450","23724","0.0363","0.061","14619","860"
"0.919","696","1164","19165","0.0363","0.061","11751","696"
"0.929","532","883","14632","0.0363","0.06","8928","532"
"0.939","368","607","10125","0.0364","0.06","6148","368"
"0.949","205","336","5643","0.0364","0.06","3410","205"
"0.96","43","70","1187","0.0364","0.059","714","43"
"0.97","-118","-191","-3245","0.0365","0.059","-1943","-118"
"0.98","-279","-447","-7652","0.0365","0.058","-4560","-279"
"0.99","-440","-699","-12035","0.0365","0.058","-7140","-440"
"1","-599","-947","-16394","0.0366","0.058","-9683","-599"
