"","x"
"1",18.127
"2",16.578
"3",15.88
"4",15.134
"5",15.506
"6",15.055
"7",14.904
"8",14.34
"9",15.447
"10",-5.6485
"11",-8.3079
"12",-2.6624
"13",-1.967
"14",-1.9291
"15",-1.6691
"16",-1.1321
"17",-1.1024
"18",-1.38629436111989
"19",-1.38629436111989
"20",-1.38629436111989
"21",18.032
"22",16.824
"23",15.718
"24",15.441
"25",14.736
"26",15.123
"27",14.646
"28",14.345
"29",15.172
"30",-5.6482
"31",-8.3079
"32",-3.0062
"33",-1.8339
"34",-1.8454
"35",-1.6164
"36",-1.2526
"37",-1.1474
"38",-1.38629436111989
"39",-1.38629436111989
"40",-1.38629436111989
"41",17.892
"42",16.725
"43",16.064
"44",15.466
"45",14.917
"46",14.341
"47",14.705
"48",14.155
"49",15.002
"50",-5.6476
"51",-6.7189
"52",-2.7918
"53",-1.866
"54",-1.7824
"55",-1.5781
"56",-1.1135
"57",-0.90525
"58",-1.38629436111989
"59",-1.38629436111989
"60",-1.38629436111989
"61",18.216
"62",16.55
"63",15.867
"64",15.811
"65",15.146
"66",14.449
"67",13.91
"68",14.139
"69",14.722
"70",-5.6489
"71",-5.1298
"72",-2.4685
"73",-1.7434
"74",-1.5935
"75",-1.5896
"76",-1.2085
"77",-1.1474
"78",-1.38629436111989
"79",-1.38629436111989
"80",-1.38629436111989
"81",18.125
"82",16.933
"83",15.653
"84",15.496
"85",15.464
"86",14.807
"87",14.029
"88",13.387
"89",14.62
"90",-5.6485
"91",-3.5438
"92",-2.0529
"93",-1.5442
"94",-1.2825
"95",-1.3068
"96",-1.2694
"97",-1.2764
"98",-1.38629436111989
"99",-1.38629436111989
"100",-1.38629436111989
"101",18.125
"102",16.808
"103",16.016
"104",15.181
"105",14.97
"106",14.945
"107",14.344
"108",13.544
"109",14.402
"110",-5.6485
"111",-2.9133
"112",-1.7001
"113",-1.6165
"114",-1.383
"115",-1.3216
"116",-1.105
"117",-0.95524
"118",-1.38629436111989
"119",-1.38629436111989
"120",-1.38629436111989
"121",18.201
"122",16.812
"123",15.873
"124",15.472
"125",14.72
"126",14.456
"127",14.457
"128",13.799
"129",14.161
"130",-5.6489
"131",-2.5475
"132",-1.5285
"133",-1.3865
"134",-1.4035
"135",-1.3341
"136",-1.1137
"137",-0.98503
"138",-1.38629436111989
"139",-1.38629436111989
"140",-1.38629436111989
"141",18.129
"142",16.921
"143",15.864
"144",15.33
"145",14.896
"146",14.249
"147",13.971
"148",13.912
"149",14.125
"150",-5.3125
"151",-2.2804
"152",-1.3804
"153",-1.1637
"154",-1.357
"155",-1.2533
"156",-1.0334
"157",-0.81976
"158",-1.38629436111989
"159",-1.38629436111989
"160",-1.38629436111989
"161",18.012
"162",16.791
"163",15.997
"164",15.299
"165",14.685
"166",14.347
"167",13.723
"168",13.383
"169",14.038
"170",-5.4295
"171",-1.8085
"172",-1.2352
"173",-1.1655
"174",-1.3403
"175",-1.3641
"176",-1.1217
"177",-1.408
"178",-1.38629436111989
"179",-1.38629436111989
"180",-1.38629436111989
"181",17.704
"182",16.708
"183",15.718
"184",15.444
"185",14.702
"186",14.135
"187",13.842
"188",13.151
"189",14.018
