"","Year","Recruits Age 0 (Thousands) Mean","Recruits Age 0 (Thousands) Low","Recruits Age 0 (Thousands) High","Total biomass (tonnes) Mean","Total biomass (tonnes) Low","Total biomass (tonnes) High","Spawing biomass (tonnes) Mean","Spawing biomass (tonnes) Low","Spawing biomass (tonnes) High","Landings (tonnes) Mean","Landings (tonnes) Low","Landings (tonnes) High","Yield / SSB (ratio) Mean","Yield / SSB (ratio) Low","Yield / SSB (ratio) High","Mean F ages 2-6 Mean","Mean F ages 2-6 Low","Mean F ages 2-6 High","Mean F ages 0-1","SoP (%)","WG Catch"
"1",1947,58342384.6077375,31815954.2925398,106985124.834533,9639392.88958126,7275009.81913494,12772202.0436748,5474707.99621914,3928691.71233608,7629111.63269757,848186.225793926,698875.850647149,1029395.81180316,0.154928121532635,0.177890224486864,0.134929971058659,0.120782529778462,0.0817328709877646,0.178489013335514,0.00198844705843984,1.46086186743674,581760
"2",1948,57449606.2333053,32819666.5324432,100563400.091199,8448851.85097035,6400837.29075367,11152150.0011821,4466598.29910263,3225468.8854251,6185302.37749206,685359.632369949,579028.206043689,811217.520631163,0.153441072260212,0.179517529578456,0.131152443505937,0.120186479491531,0.0838374555393158,0.172295184290203,0.00198854769060721,1.33262696673969,502100
"3",1949,51638769.6413668,29709297.9164648,89755151.3190202,8258604.75512213,6299782.16046932,10826493.7999451,4342638.28591065,3172982.44653806,5943464.10672171,717698.844142248,604463.491031881,852146.802123325,0.16526793089601,0.190503257177295,0.143375443482463,0.13205230870649,0.092502158782295,0.18851248948421,0.0023326474891469,1.45020943952802,508500
"4",1950,70980330.8758045,41776306.4885341,120599636.366165,8239882.88868832,6335738.66843617,10716299.0098607,4290527.37337437,3171716.29586372,5803994.8798957,655218.390867221,576314.923305556,744924.55837902,0.152712786529063,0.181704436824043,0.128346866907024,0.138518520431568,0.09896442734315,0.193881589755682,0.0038603077764659,1.3073052674395,491700
"5",1951,63125502.0367065,37642302.2739072,105860395.530281,8471048.2066239,6554964.18536524,10947223.4614426,4095982.3052501,3041211.32072753,5516575.23124979,781227.012835849,694337.916965223,878989.366232455,0.190730075135944,0.228309658139481,0.159336060759806,0.168147639928278,0.122486441450474,0.23083068198109,0.0106618863512542,1.32380829447035,600400
"6",1952,60093252.1392087,36336735.2838078,99381491.607908,8242588.96099075,6382970.63292509,10643989.5601888,4099594.45316465,3031734.99728865,5543583.02933763,832985.020337882,747418.527797248,928347.396139911,0.203187176159551,0.246531615878592,0.167463424147691,0.170534887982133,0.123467334135914,0.235545281856211,0.0194759317562829,1.2719717037929,664400
"7",1953,60826050.5415385,37944884.3578284,97504801.6905733,7894761.7897544,6139473.07087454,10151891.3752785,3874591.98185037,2850349.64513015,5266884.73165675,841052.439712503,756830.530646399,934646.763975283,0.217068647138129,0.265521997253723,0.177457227867085,0.177777298503834,0.12832531754421,0.246286301628929,0.0288927364845514,1.19787401574803,698500
"8",1954,57890690.0277786,36822474.5617653,91013220.3709147,7668315.45797974,5989910.59268886,9817018.30990009,3629483.2390273,2653684.58995535,4964097.32801054,925516.874008251,832789.045647272,1028569.58620084,0.254999627510689,0.313823673242676,0.207201736435949,0.199038944262042,0.14283123297274,0.277365814944055,0.0400470005789793,1.25091558526675,762900
"9",1955,48913454.712056,31422863.9187627,76139656.081436,7185637.74188914,5631347.53349904,9168922.6158591,3530190.52833218,2593822.3962188,4804586.92333499,859030.678426629,775844.03334384,951136.665055819,0.243338333025462,0.299112242409057,0.197964295418681,0.195946079876079,0.141367941633521,0.271595283733682,0.0600120681904234,1.05978608630952,806400
"10",1956,35786922.8013776,23088509.3979163,55469316.8588587,6482608.58563541,5108496.03963384,8226337.80050186,3263107.47275599,2400812.2942421,4435111.56798593,853780.3784797,771380.873272923,944981.862959716,0.26164641698381,0.321299951321866,0.213068340778821,0.197534008029659,0.144751101820577,0.269563988373832,0.0605222727071109,1.27122630331754,675200
