WBSS Herring 
1
./results/WBSS Assessment-LATON.txt
./results/WBSS Assessment-LANUM.txt
./results/WBSS Assessment-WELAND.txt
./results/WBSS Assessment-WEST.txt
./results/WBSS Assessment-NATMOR.txt
./results/WBSS Assessment-MATPROP.txt
./results/WBSS Assessment-FPROP.txt
./results/WBSS Assessment-MPROP.txt
./results/WBSS Assessment-F.txt
./results/WBSS Assessment-N.txt
./results/WBSS Assessment-DISTON.txt
./results/WBSS Assessment-DISNUM.txt
./results/WBSS Assessment-WEDIS.txt
./results/WBSS Assessment-CATON.txt
./results/WBSS Assessment-CANUM.txt
./results/WBSS Assessment-WECA.txt
