"Rationale","Fbar (2011)","Catch (2011)","SSB (2011)","Fbar (2012)","Catch (2012)","SSB (2012)","SSB (2013)"
Fmult(2010) = 0.000,0.381203423491287,61820,95711.1974095847,0,0,116938.541052216,198846.29796813
Fmult(2010) = 0.100,0.381203423491287,61820,95711.1974095847,0.0381203423491287,8003.00241799685,116520.610948091,191745.252591425
Fmult(2010) = 0.200,0.381203423491287,61820,95711.1974095847,0.0762406846982575,15763.1771760534,116104.189060155,184904.179383913
Fmult(2010) = 0.300,0.381203423491287,61820,95711.1974095847,0.114361027047386,23288.3906011281,115689.269892797,178313.393190781
Fmult(2010) = 0.400,0.381203423491287,61820,95711.1974095847,0.152481369396515,30586.2456495186,115275.847970624,171963.574799932
Fmult(2010) = 0.500,0.381203423491287,61820,95711.1974095847,0.190601711745644,37664.0909178046,114863.917838385,165845.756939307
Fmult(2010) = 0.600,0.381203423491287,61820,95711.1974095847,0.228722054094773,44529.0293401533,114453.474060896,159951.310816472
Fmult(2010) = 0.700,0.381203423491287,61820,95711.1974095847,0.266842396443901,51187.926583067,114044.511222965,154271.933179193
Fmult(2010) = 0.800,0.381203423491287,61820,95711.1974095847,0.30496273879303,57647.4191482629,113637.023929316,148799.633876636
Fmult(2010) = 0.900,0.381203423491287,61820,95711.1974095847,0.343083081142159,63913.9221939858,113231.006804521,143526.723901572
Fmult(2010) = 1.000,0.381203423491287,61820,95711.1974095847,0.381203423491287,69993.6370846899,112826.454492919,138445.803894779
Fmult(2010) = 1.100,0.381203423491287,61820,95711.1974095847,0.419323765840416,75892.5586786668,112423.361658549,133549.753093575
Fmult(2010) = 1.200,0.381203423491287,61820,95711.1974095847,0.457444108189545,81616.482362859,112021.722985072,128831.718707112
Fmult(2010) = 1.300,0.381203423491287,61820,95711.1974095847,0.495564450538674,87171.0108437626,111621.533175700,124285.105701768
Fmult(2010) = 1.400,0.381203423491287,61820,95711.1974095847,0.533684792887802,92561.5607030079,111222.786953124,119903.566980621
Fmult(2010) = 1.500,0.381203423491287,61820,95711.1974095847,0.571805135236931,97793.3687259003,110825.479059443,115680.993941614
Fmult(2010) = 1.600,0.381203423491287,61820,95711.1974095847,0.60992547758606,102871.498010906,110429.604256087,111611.507399662
Fmult(2010) = 1.700,0.381203423491287,61820,95711.1974095847,0.648045819935189,107800.843867783,110035.15732375,107689.448858478
Fmult(2010) = 1.800,0.381203423491287,61820,95711.1974095847,0.686166162284317,112586.139511787,109642.133062318,103909.372118513
Fmult(2010) = 1.900,0.381203423491287,61820,95711.1974095847,0.724286504633446,117231.961561105,109250.526290794,100266.035207901
Fmult(2010) = 2.000,0.381203423491287,61820,95711.1974095847,0.762406846982575,121742.735344439,108860.331847233,96754.3926238334
