"harvest","yield","rec","ssb","biomass","yield/R","SSB/R"
"f0.1",0.135739159331263,1221523.85631378,101613328.578971,7678970.91059145,9506898.75985373,0.0120212955662055,0.0755705084950892
"fmed",NA,NA,NA,NA,NA,NA,NA
"spr.35",0.128977225708375,1210856.78809143,102270505.417670,8024060.52276026,9869603.2834074,0.0118397458108408,0.0784591851774879
"msy",0.185150128411715,1253134.8825785,96603069.8283581,5700302.65395021,7398930.79718226,0.0129719985586901,0.0590074690595068
"crash",0.811685132426974,5.37303358435862e-06,0.000390774098493845,4.41237352788448e-06,9.67713816469304e-06,0.0137497178166819,0.0112913664055295
"3y_aver",0.136864983666107,1229050.02869472,34406098.1801997,1316515.87374007,2621343.83498969,0.012162013037499,0.0732842088571453
