"Fbar","Yield","SSB","Recruits","Yield.Recruit","SSB.Recruit","Spawners","Landings"
"Ages 2-6","Tonnes","Tonnes","Number","","","Number","Tonnes"
"0","0","25431091","113445567","0","0.224","110243435","0"
"0.01","259134","22361145","112666454","0.0023","0.198","98092467","259134"
"0.02","461046","19875620","111870551","0.0041","0.178","88191343","461046"
"0.03","620805","17823707","111057997","0.0056","0.16","79962425","620805"
"0.04","748690","16102295","110228927","0.0068","0.146","73010621","748690"
"0.051","851944","14638501","109383475","0.0078","0.134","67056527","851944"
"0.061","935811","13379353","108521767","0.0086","0.123","61896953","935811"
"0.071","1004178","12285425","107643925","0.0093","0.114","57380573","1004178"
"0.081","1059985","11326774","106750068","0.0099","0.106","53392360","1059985"
"0.091","1105490","10480250","105840306","0.0104","0.099","49843305","1105490"
"0.101","1142459","9727674","104914748","0.0109","0.093","46663444","1142459"
"0.111","1172285","9054575","103973493","0.0113","0.087","43797015","1172285"
"0.121","1196085","8449292","103016636","0.0116","0.082","41199023","1196085"
"0.131","1214761","7902321","102044266","0.0119","0.077","38832753","1214761"
"0.141","1229050","7405843","101056464","0.0122","0.073","36667949","1229050"
"0.152","1239557","6953366","100053306","0.0124","0.069","34679442","1239557"
"0.162","1246786","6539454","99034862","0.0126","0.066","32846130","1246786"
"0.172","1251155","6159524","98001194","0.0128","0.063","31150177","1251155"
"0.182","1253018","5809683","96952359","0.0129","0.06","29576409","1253018"
"0.192","1252672","5486605","95888407","0.0131","0.057","28111827","1252672"
"0.202","1250371","5187431","94809379","0.0132","0.055","26745235","1250371"
"0.212","1246330","4909689","93715314","0.0133","0.052","25466932","1246330"
"0.222","1240736","4651234","92606240","0.0134","0.05","24268471","1240736"
"0.232","1233747","4410192","91482181","0.0135","0.048","23142463","1233747"
"0.242","1225503","4184924","90343154","0.0136","0.046","22082411","1225503"
"0.253","1216122","3973983","89189170","0.0136","0.045","21082585","1216122"
"0.263","1205710","3776095","88020232","0.0137","0.043","20137904","1205710"
"0.273","1194358","3590129","86836340","0.0138","0.041","19243853","1194358"
"0.283","1182145","3415078","85637484","0.0138","0.04","18396400","1182145"
"0.293","1169143","3250043","84423651","0.0138","0.038","17591937","1169143"
"0.303","1155412","3094222","83194820","0.0139","0.037","16827223","1155412"
"0.313","1141008","2946893","81950965","0.0139","0.036","16099338","1141008"
"0.323","1125978","2807406","80692054","0.014","0.035","15405646","1125978"
"0.333","1110367","2675176","79418050","0.014","0.034","14743759","1110367"
"0.343","1094211","2549671","78128909","0.014","0.033","14111507","1094211"
"0.354","1077546","2430412","76824583","0.014","0.032","13506920","1077546"
"0.364","1060401","2316961","75505018","0.014","0.031","12928195","1060401"
"0.374","1042803","2208921","74170154","0.0141","0.03","12373690","1042803"
"0.384","1024778","2105929","72819928","0.0141","0.029","11841895","1024778"
"0.394","1006345","2007653","71454270","0.0141","0.028","11331430","1006345"
"0.404","987526","1913788","70073106","0.0141","0.027","10841021","987526"
"0.414","968337","1824056","68676356","0.0141","0.027","10369498","968337"
"0.424","948794","1738201","67263938","0.0141","0.026","9915779","948794"
"0.434","928912","1655987","65835762","0.0141","0.025","9478866","928912"
"0.444","908702","1577196","64391735","0.0141","0.024","9057833","908702"
"0.455","888177","1501626","62931762","0.0141","0.024","8651824","888177"
"0.465","867347","1429093","61455739","0.0141","0.023","8260042","867347"
"0.475","846220","1359424","59963563","0.0141","0.023","7881746","846220"
"0.485","824806","1292460","58455121","0.0141","0.022","7516248","824806"
"0.495","803112","1228052","56930303","0.0141","0.022","7162905","803112"
"0.505","781145","1166063","55388988","0.0141","0.021","6821118","781145"
"0.515","758911","1106364","53831057","0.0141","0.021","6490325","758911"
"0.525","736414","1048836","52256383","0.0141","0.02","6170003","736414"
"0.535","713661","993368","50664839","0.0141","0.02","5859660","713661"
"0.545","690656","939855","49056292","0.0141","0.019","5558835","690656"
"0.556","667402","888201","47430605","0.0141","0.019","5267096","667402"
"0.566","643902","838313","45787641","0.0141","0.018","4984038","643902"
"0.576","620161","790107","44127255","0.0141","0.018","4709277","620161"
"0.586","596181","743503","42449303","0.014","0.018","4442454","596181"
"0.596","571963","698426","40753635","0.014","0.017","4183230","571963"
"0.606","547511","654804","39040100","0.014","0.017","3931285","547511"
"0.616","522825","612572","37308541","0.014","0.016","3686317","522825"
"0.626","497908","571668","35558800","0.014","0.016","3448042","497908"
"0.636","472761","532031","33790717","0.014","0.016","3216189","472761"
"0.646","447385","493608","32004128","0.014","0.015","2990504","447385"
"0.657","421780","456345","30198864","0.014","0.015","2770744","421780"
"0.667","395948","420194","28374756","0.014","0.015","2556681","395948"
"0.677","369888","385107","26531632","0.0139","0.015","2348097","369888"
"0.687","343602","351041","24669317","0.0139","0.014","2144786","343602"
"0.697","317089","317953","22787631","0.0139","0.014","1946553","317089"
"0.707","290350","285805","20886395","0.0139","0.014","1753211","290350"
"0.717","263384","254558","18965425","0.0139","0.013","1564584","263384"
"0.727","236191","224178","17024536","0.0139","0.013","1380503","236191"
"0.737","208771","194630","15063538","0.0139","0.013","1200807","208771"
"0.747","181123","165882","13082241","0.0138","0.013","1025344","181123"
"0.758","153247","137904","11080451","0.0138","0.012","853968","153247"
"0.768","125142","110668","9057972","0.0138","0.012","686540","125142"
"0.778","96807","84145","7014607","0.0138","0.012","522928","96807"
"0.788","68241","58310","4950153","0.0138","0.012","363005","68241"
"0.798","39444","33138","2864408","0.0138","0.012","206649","39444"
"0.808","10415","8604","757166","0.0138","0.011","53746","10415"
"0.818","-18848","-15313","-1371780","0.0137","0.011","-95816","-18848"
"0.828","-48346","-38636","-3522642","0.0137","0.011","-242143","-48346"
"0.838","-78079","-61385","-5695632","0.0137","0.011","-385335","-78079"
"0.848","-108050","-83579","-7890965","0.0137","0.011","-525490","-108050"
