year rec ssb fbar
1960 12092313.4029281 1884122.01801403 0.336684359797246
1961 108850059.140878 1662929.72730955 0.431543029566663
1962 46272454.6126681 1115220.47051346 0.529018955402649
1963 47657564.5997605 2189201.20982717 0.226040471504088
1964 62786574.980106 2031515.24320794 0.343374526165629
1965 34895342.6114674 1450012.65210386 0.695156551517503
1966 27859139.3295146 1281009.96509939 0.61944275564167
1967 40256391.1330329 919751.880765493 0.798173628460262
1968 38698816.6765652 412839.856124894 1.33628126501364
1969 21581561.3407176 423876.844804931 1.10519827532792
1970 41073297.9354450 374628.934750162 1.10500589055982
1971 32307964.893888 266050.99643264 1.40490262448054
1972 20861030.5206521 288353.33933385 0.695956154240877
1973 10102050.6020632 233410.131279168 1.13479712357827
1974 21699984.8388993 162050.799710455 1.05212948589035
1975 2825520.50070052 81658.0315167764 1.47161561380319
1976 2721845.87327435 77951.9985043682 1.44427415741218
1977 4329403.57846037 47621.784590312 0.802750008002856
1978 4596093.65939199 64888.6231313288 0.0526623854135035
1979 10602592.7839349 107140.802459357 0.0641760157369282
1980 16719546.8114468 131011.320808949 0.283597447256748
1981 37864017.4701827 195610.818980170 0.351465628186029
1982 64754768.7524809 278530.230274312 0.264046119515876
1983 61829567.3266008 432632.527096792 0.337967747129802
1984 53460996.9541986 679074.945763779 0.455305764349537
1985 80939722.4397863 699475.6233599 0.643595879066685
1986 97653052.0934816 679589.526383547 0.572282509537668
1987 86232160.612573 901038.035791808 0.552183878730437
1988 42292083.6512101 1195263.51404555 0.536459842232335
1989 39183711.4935725 1251149.33697152 0.544367350850025
1990 35866635.876175 1186873.95735358 0.441578816954832
1991 33636440.8953433 982497.68157913 0.489265933814457
1992 62152334.3518461 705132.486422425 0.581350913639398
1993 50270234.8279779 474742.049668398 0.689670390133877
1994 34559977.7217965 512076.857768575 0.706770411280497
1995 41738841.5610305 463303.56757048 0.738616877082574
1996 50017440.4940338 463867.873180186 0.401605726610537
1997 29137096.4027154 563130.925707452 0.419408812760258
1998 28102834.2773427 739391.462545146 0.482847877425684
1999 69449799.3437638 869482.470665287 0.365568853528377
2000 42389536.9340303 886093.768632672 0.354699474387951
2001 97487442.3002066 1344692.96226658 0.285172570830021
2002 34766151.7402615 1658085.40436390 0.233927111349287
2003 20060338.8391631 1822444.09624799 0.230259166153095
2004 26095302.9103904 1933119.51565211 0.275948469216988
2005 16577101.9489662 1871369.64305274 0.319191986456992
2006 22114044.0854194 1526159.23227362 0.28117917065735
2007 30340021.5504537 1234364.58195090 0.267389181966967
2008 26079173.4857425 1206033.93817824 0.194533034687759
2009 38289832.0390105 1442422.03911457 0.0985789664563846
2010 38849289.0158462 1301091.64392741 0.117482949854178
