A2013,B2013,C2013,D2013
0,460.672,0.9,0
220.31408,106.49936,64.34,21.85
218.39945,20.64621,68.52,17.3
481.77747,0.60572,2.28,0.11
569.28556,1.45607,0.34,0.02
421.52606,0.46607,0.28,0
326.23772,0.66362,0,0
144.91348,0.34961,0,0
151.7747,0.86324,0,0
160.3542,0,0,0
