A2016,B2016,C2016,D2016
0,1450.26288,0,133.3046283
2.3,83.55466,10.84629226,12.48730993
556.2,22.96431,42.12117111,5.439731188
807.1,9.63851,5.877934798,0.075520529
292.7,1.20427,0.531711659,0
281.3,0,0.213923769,0.086381606
368,0.793,0.221875065,0
308,0,0.034395905,0
186.3,0,0.063287569,0
173.9,0,0,0
