age,A2004,A2005,A2006,A2007,A2008,A2009,A2010,B2004,B2005,B2006,B2007,B2008,B2009,B2010,C2004,C2005,C2006,C2007,C2008,C2009,C2010,D2004,D2005,D2006,D2007,D2008,D2009,D2010
0,,0.119405647,0.064896237,0.007549575,0.009859078,0.017155475,0.0000000000,0.0133,0.0106,0.00960008,0.010821318,0.006706585,0.008886691,0.0068293505,0.024151094,0.026709171,0.020483879,0.048239841,0.036059663,0.01788187,0.0279100926,0.022260555,0.015183306,0.013074729,0.02100382,0.015114777,0.009310632,0.0074626103
1,0.073291701,0.087913133,0.111141507,0.099258465,0.060883408,0.076248282,0.0861970691,0.0252,0.0329,0.022500189,0.045115432,0.040156407,0.036321481,0.0512738954,0.059767657,0.064915351,0.067947931,0.070831438,0.070596035,0.08631049,0.0723389748,0.05372162,0.031570043,0.029819816,0.031083285,0.02943866,0.01263883,0.0164642921
2,0.12142894,0.121851919,0.126917796,0.1487,0.1405,0.148221164,0.1387013597,0.0387,0,0.044487882,0,0,0.085710248,0.0857404762,0.068867062,0.072208116,0.081127902,0.074662255,0.087071226,0.102136709,0.0804629528,0.072617766,0.067822052,0.069333305,0.058709692,0.084644596,0.088830886,0.0399023701
3,0.137658421,0.154835922,0.144683369,0.1516,0.1803,0.181326616,0.1666034441,0.0955,0,0.118658753,0,0,0.1492,0.1842000000,0.120067016,0.105999697,0.119441212,0.110691705,0.109039828,0.0808896,0.1223306240,0.121339493,0.105411625,0.112993251,0.08541756,0.109970604,0.099594565,0.1140000000
4,0.182757942,0.165644055,0.172250451,0.1635,0.1812,0.2156,0.1921535925,0.137,0,0.15333125,0,0,0,0.1425000000,0.138490999,0.15418686,0.141304376,0.122642106,0.139104546,0.206743543,0.1493299553,0.147451494,0.158113294,0.136863381,0.130440904,0.133425149,0.186378831,0.0000000000
5,0.20590748,0.208273706,0.181399359,0.1935,0.1833,0.2161,0.2224954076,0.1745,0,0.160018333,0,0,0,0.2054000000,0.149412567,0.17530298,0.184292214,0.152126676,0.167554697,0,0.1912609011,0.171204098,0.156585241,0.187575875,0.144891766,0.186674857,0,0.0000000000
6,0.221121168,0.222749465,0.2195,0.19,0.2157,0.239030112,0.2218653298,0.1681,0,0,0,0,0.312,0.1910000000,0.168561004,0.188587994,0.187957053,0.179085547,0.175476262,0,0.2214992323,0.185153188,0.160433822,0.197295208,0.190965373,0.161144301,0,0.0000000000
7,0.229222602,0.239864422,0.2369,0.2235,0.2161,0.2433,0.2169000000,0.2168,0,0,0,0,0,0.0000000000,0.186770612,0.21643426,0.212838097,0.174842088,0.20308267,0,0.2163307844,0.182757021,0.177604416,0.224874289,0.165336412,0.183991874,0,0.0000000000
8,0.241448877,0.266084729,0.235151189,0.235,0.2561,0.2481,0.2342000000,0.2315,0,0.214333334,0,0,0,0.0000000000,0.177766037,0.20891011,0.206289884,0.144077765,0.198609233,0.268533972,0.2045000000,0.213038923,0,0.208522501,0.215862013,0.158643934,0.263,0.0000000000
9,0.265358501,0.2654,0.2622,0.2524,0.2726,0.2731,0.2453000000,,0,0,0,0,0,0.0000000000,,,,0,0,0,0.0000000000,,,,0,0,0,0.0000000000
