An,Bn,Cn,Dn
0.0830863,0.809605648,0.005434469,0.101873582
0.333447654,0.298097194,0.251941858,0.116513294
0.782926896,0,0.158504202,0.058568902
0.989831071,0,0.009114121,0.001054808
0.998739721,0,0.001181153,7.91E-05
0.998929279,0,0.001064227,6.49E-06
0.999522976,0,0.000473623,3.40E-06
0.998461894,0,0.001536454,1.65E-06
0.999121363,0,0.000858362,2.03E-05
1,0,0,0
