age0,measurement_year
17.1,1977
13.1,1978
52.1,1979
101.1,1980
76.7,1981
133.9,1982
91.8,1983
115,1984
181.3,1985
177.4,1986
270.9,1987
168.9,1988
71.4,1989
25.9,1990
69.9,1991
200.7,1992
190.1,1993
101.7,1994
127,1995
106.5,1996
148.1,1997
53.1,1998
244,1999
137.1,2000
214.8,2001
161.8,2002
54.4,2003
47.3,2004
61.3,2005
83.1,2006
37.2,2007
27.8,2008
95.8,2009
77.1,2010
77,2011
68,2012
50.4,2013
