data Species.n Quarter Year fleet Age observed model residual stand.residual
catch 1 1 1974 -9 0  -99.9 -99.9 -99.9  -99.9
catch 1 1 1974 -9 1  1.610106e+007 2.013706e+007 -2.236770e-001 -2.512528e-001
catch 1 1 1974 -9 2  2.155723e+006 2.519546e+006 -1.559523e-001 -1.407541e-001
catch 1 1 1974 -9 3  4.756133e+005 1.090997e+005 1.472343e+000 1.328856e+000
catch 1 1 1975 -9 0  2.509310e+005 8.166986e+005 -1.180092e+000 -8.344512e-001
catch 1 1 1975 -9 1  2.772351e+007 2.652601e+007 4.415485e-002 4.959844e-002
catch 1 1 1975 -9 2  1.005255e+007 7.110989e+006 3.461851e-001 3.124478e-001
catch 1 1 1975 -9 3  2.601818e+005 2.625914e+005 -9.218542e-003 -8.320154e-003
catch 1 1 1976 -9 0  2.143211e+006 4.069447e+005 1.661383e+000 1.174776e+000
catch 1 1 1976 -9 1  4.220983e+007 3.473863e+007 1.948008e-001 2.188166e-001
catch 1 1 1976 -9 2  2.888653e+006 3.990913e+006 -3.232297e-001 -2.917295e-001
catch 1 1 1976 -9 3  1.809126e+005 2.063624e+005 -1.316201e-001 -1.187931e-001
catch 1 1 1977 -9 0  2.690194e+006 6.910746e+005 1.359121e+000 9.610434e-001
catch 1 1 1977 -9 1  1.278606e+007 1.405393e+007 -9.454700e-002 -1.062032e-001
catch 1 1 1977 -9 2  5.181867e+006 4.217856e+006 2.058384e-001 1.857786e-001
catch 1 1 1977 -9 3  1.097122e+005 8.629071e+004 2.401390e-001 2.167364e-001
catch 1 1 1978 -9 0  4.540903e+005 7.483181e+005 -4.995321e-001 -3.532226e-001
catch 1 1 1978 -9 1  3.218452e+007 1.918267e+007 5.174785e-001 5.812754e-001
catch 1 1 1978 -9 2  4.274734e+005 1.644714e+006 -1.347430e+000 -1.216117e+000
catch 1 1 1978 -9 3  9.643467e+004 1.023521e+005 -5.955287e-002 -5.374918e-002
catch 1 1 1979 -9 0  3.579389e+006 2.598337e+005 2.622906e+000 1.854674e+000
