Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1976 1 1 1 0 0 0.466338 0.371728 0.838066 1.38018e+008 9.34519e+007 3.47386e+007 4.22098e+007 0.00700833 0.00700833 295820 295820 1 0.409297 967275 395903 0 0 
1976 1 1 2 0 0 0.415041 0.624822 1.03986 1.02737e+007 6.38728e+006 3.99091e+006 2.88865e+006 0.0113282 0.0113282 32723.3 32723.3 1 0.87187 116382 101470 0 0 
1976 1 1 3 0 0 0.290053 0.571654 0.861707 538592 360992 206362 180913 0.0133523 0.0133523 2415.6 2415.6 1 0.94676 7191.45 6808.58 0 0 
1976 2 1 0 0 0 0.317874 0.0135391 0.331413 2.07667e+008 1.76761e+008 2.39318e+006 7.43966e+006 0.00433913 0.00433913 32281.7 32281.7 1 0 901093 0 0 0 
1976 2 1 1 0 0 0.241554 0.418563 0.660117 5.96992e+007 4.37001e+007 1.82913e+007 1.87627e+007 0.00895333 0.00895333 167989 167989 1 0.409297 534507 218772 0 0 
1976 2 1 2 0 0 0.224652 1.42261 1.64726 3.63177e+006 1.78015e+006 2.53246e+006 1.61314e+006 0.0153303 0.0153303 24729.9 24729.9 1 0.87187 55676.2 48542.4 0 0 
1976 2 1 3 0 0 0.194676 1.32863 1.52331 227523 116802 155187 88603.8 0.0190226 0.0190226 1685.47 1685.47 1 0.94676 4328.08 4097.65 0 0 
1976 3 1 0 0 0 0.364067 0.0303185 0.394385 1.49086e+008 1.23199e+008 3.73521e+006 7.70342e+006 0.00220921 0.00220921 17018.5 17018.5 1 0 329362 0 0 0 
1976 3 1 1 0 0 0.332446 0.175815 0.508261 3.0852e+007 2.41869e+007 4.25241e+006 6.92535e+006 0.0058604 0.0058604 40585.3 40585.3 1 0.409297 180805 74002.9 0 0 
1976 3 1 2 0 0 0.240275 0.387805 0.62808 699394 519339 201402 267638 0.0104328 0.0104328 2792.22 2792.22 1 0.87187 7296.67 6361.75 0 0 
1976 3 1 3 0 0 0.240275 0.939715 1.17999 49597.5 29116.4 27361.2 8289.41 0.0126397 0.0126397 104.776 104.776 1 0.94676 626.898 593.522 0 0 
1976 4 1 0 0 0 0.48538 0 0.48538 1.00498e+008 7.96182e+007 0 0 0.0033842 0.0033842 0 0 1 0 340105 0 0 0 
1976 4 1 1 0 0 0.443045 0 0.443045 1.85587e+007 1.4993e+007 0 0 0.00569468 0.00569468 0 0 1 0.409297 105686 43257 0 0 
1976 4 1 2 0 0 0.420767 0 0.420767 373207 304636 0 0 0.00850104 0.00850104 0 0 1 0.87187 3172.65 2766.14 0 0 
1976 4 1 3 0 0 0.420767 0 0.420767 15240.4 12440.2 0 0 0.0106209 0.0106209 0 0 1 0.94676 161.867 153.249 0 0 
1977 1 1 0 0 0 0.4405 0.00130753 0.441808 6.53859e+008 5.28534e+008 691075 2.69019e+006 0.00536393 0.00536393 14430 14430 1 0 3.50725e+006 0 0 0 
1977 1 1 1 0 0 0.410663 0.320285 0.730948 6.18527e+007 4.38794e+007 1.40539e+007 1.27861e+007 0.0082469 0.0082469 105445 105445 1 0.409297 510093 208779 0 0 
1977 1 1 2 0 0 0.368355 0.538355 0.90671 1.19162e+007 7.83471e+006 4.21786e+006 5.18187e+006 0.0126093 0.0126093 65339.6 65339.6 1 0.87187 150254 131002 0 0 
1977 1 1 3 0 0 0.312123 0.492545 0.804668 255033 175194 86290.7 109712 0.0179676 0.0179676 1971.27 1971.27 1 0.94676 4582.33 4338.36 0 0 
1977 2 1 0 0 0 0.372886 0.0116654 0.384551 4.20348e+008 3.48962e+008 4.07079e+006 2.52008e+006 0.00586997 0.00586997 14792.8 14792.8 1 0 2.46743e+006 0 0 0 
1977 2 1 1 0 0 0.244527 0.360639 0.605167 2.97791e+007 2.23413e+007 8.05715e+006 4.90459e+006 0.0109601 0.0109601 53754.7 53754.7 1 0.409297 326381 133587 0 0 
1977 2 1 2 0 0 0.227433 1.22574 1.45317 4.81235e+006 2.53727e+006 3.11003e+006 3.67915e+006 0.0146457 0.0146457 53883.7 53883.7 1 0.87187 70480.1 61449.5 0 0 
1977 2 1 3 0 0 0.19914 1.14477 1.34391 114060 62735.1 71817.3 67687.9 0.0195727 0.0195727 1324.84 1324.84 1 0.94676 2232.46 2113.61 0 0 
1977 3 1 0 0 0 0.379611 0.0261229 0.405734 2.86155e+008 2.35219e+008 6.14458e+006 1.58572e+007 0.00225275 0.00225275 35722.4 35722.4 1 0 644636 0 0 0 
1977 3 1 1 0 0 0.351334 0.151484 0.502819 1.62589e+007 1.27782e+007 1.9357e+006 1.84347e+006 0.00797474 0.00797474 14701.2 14701.2 1 0.409297 129661 53069.7 0 0 
1977 3 1 2 0 0 0.248324 0.334138 0.582462 1.12526e+006 852892 284984 2.20088e+006 0.0106178 0.0106178 23368.5 23368.5 1 0.87187 11947.8 10416.9 0 0 
1977 3 1 3 0 0 0.248324 0.809671 1.05799 29749.6 18357.3 14863.4 37835.5 0.0138106 0.0138106 522.532 522.532 1 0.94676 410.86 388.986 0 0 
1977 4 1 0 0 0 0.489556 0 0.489556 1.90718e+008 1.50805e+008 0 0 0.00247276 0.00247276 0 0 1 0 471601 0 0 0 
1977 4 1 1 0 0 0.43967 0 0.43967 9.83377e+006 7.95681e+006 0 0 0.00633335 0.00633335 0 0 1 0.409297 62280.7 25491.3 0 0 
1977 4 1 2 0 0 0.431873 0 0.431873 628481 510367 0 0 0.00825311 0.00825311 0 0 1 0.87187 5186.92 4522.32 0 0 
1977 4 1 3 0 0 0.431873 0 0.431873 10327.6 8386.66 0 0 0.0121792 0.0121792 0 0 1 0.94676 125.782 119.086 0 0 
1978 1 1 0 0 0 0.411115 0.000898084 0.412013 1.01665e+009 8.33239e+008 748318 454090 0.00380169 0.00380169 1726.31 1726.31 1 0 3.86497e+006 0 0 0 
1978 1 1 1 0 0 0.397839 0.219989 0.617828 1.16891e+008 8.71981e+007 1.91827e+007 3.21845e+007 0.00686812 0.00686812 221047 221047 1 0.409297 802821 328592 0 0 
1978 1 1 2 0 0 0.384897 0.369772 0.754669 6.33539e+006 4.44792e+006 1.64471e+006 427473 0.0121643 0.0121643 5199.92 5199.92 1 0.87187 77065.7 67191.2 0 0 
1978 1 1 3 0 0 0.329772 0.338307 0.668079 414773 302542 102352 96434.7 0.0146079 0.0146079 1408.7 1408.7 1 0.94676 6058.95 5736.38 0 0 
1978 2 1 0 0 0 0.347257 0.00801246 0.35527 6.7334e+008 5.66722e+008 4.54083e+006 5.51766e+006 0.00438632 0.00438632 24202.3 24202.3 1 0 2.95349e+006 0 0 0 
1978 2 1 1 0 0 0.230318 0.247707 0.478025 6.30176e+007 5.00942e+007 1.24087e+007 1.0345e+007 0.0103184 0.0103184 106744 106744 1 0.409297 650241 266142 0 0 
1978 2 1 2 0 0 0.218406 0.841905 1.06031 2.97869e+006 1.83628e+006 1.54597e+006 1.20958e+006 0.0155213 0.0155213 18774.4 18774.4 1 0.87187 46233.2 40309.3 0 0 
1978 2 1 3 0 0 0.192224 0.78629 0.978514 212651 135636 106650 116695 0.0196403 0.0196403 2291.94 2291.94 1 0.94676 4176.54 3954.18 0 0 
1978 3 1 0 0 0 0.381769 0.0179426 0.399712 4.72001e+008 3.89075e+008 6.98102e+006 6.15461e+006 0.00309097 0.00309097 19023.7 19023.7 1 0 1.45894e+006 0 0 0 
1978 3 1 1 0 0 0.356481 0.104048 0.460528 3.90713e+007 3.13103e+007 3.25776e+006 4.97357e+006 0.0088622 0.0088622 44076.8 44076.8 1 0.409297 346258 141722 0 0 
1978 3 1 2 0 0 0.207538 0.229504 0.437042 1.03166e+006 835769 191812 1.11904e+006 0.0123428 0.0123428 13812.2 13812.2 1 0.87187 12733.6 11102.1 0 0 
1978 3 1 3 0 0 0.207538 0.556126 0.763664 79929 55895.8 31085.1 29941.3 0.0166014 0.0166014 497.066 497.066 1 0.94676 1326.93 1256.29 0 0 
1978 4 1 0 0 0 0.444771 0 0.444771 3.16483e+008 2.55472e+008 0 0 0.00195119 0.00195119 0 0 1 0 617517 0 0 0 
1978 4 1 1 0 0 0.396387 0 0.396387 2.46521e+007 2.03525e+007 0 0 0.00518089 0.00518089 0 0 1 0.409297 127720 52275.3 0 0 
1978 4 1 2 0 0 0.3741 0 0.3741 666397 555940 0 0 0.00870696 0.00870696 0 0 1 0.87187 5802.29 5058.84 0 0 
1978 4 1 3 0 0 0.3741 0 0.3741 37243.4 31070.2 0 0 0.00938547 0.00938547 0 0 1 0.94676 349.547 330.937 0 0 
1979 1 1 0 0 0 0.436154 0.000607558 0.436762 5.27841e+008 4.27669e+008 259834 3.57939e+006 0.00497197 0.00497197 17796.6 17796.6 1 0 2.62441e+006 0 0 0 
1979 1 1 1 0 0 0.423949 0.148824 0.572773 2.02856e+008 1.5443e+008 2.29829e+007 3.68668e+007 0.00581055 0.00581055 214216 214216 1 0.409297 1.17871e+006 482441 0 0 
1979 1 1 2 0 0 0.418712 0.250152 0.668864 1.65846e+007 1.20928e+007 3.02505e+006 644042 0.00871421 0.00871421 5612.32 5612.32 1 0.87187 144522 126004 0 0 
1979 1 1 3 0 0 0.404555 0.228866 0.63342 484040 358568 82064 117139 0.0112681 0.0112681 1319.93 1319.93 1 0.94676 5454.21 5163.83 0 0 
1979 2 1 0 0 0 0.416075 0.00542046 0.421495 3.41051e+008 2.78294e+008 1.50848e+006 1.05292e+006 0.00565412 0.00565412 5953.34 5953.34 1 0 1.92835e+006 0 0 0 
1979 2 1 1 0 0 0.252009 0.167575 0.419584 1.14403e+008 9.34342e+007 1.56572e+007 1.13559e+007 0.010481 0.010481 119021 119021 1 0.409297 1.19905e+006 490768 0 0 
