Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield CWsum prop.landed propmat BIO SSB Lsea ration
1974 1 1 0 0 0 0.482857 0.00123814 0.484095 5.33667e+008 4.23041e+008 523785 0 0.00632446 0.00632446 0 0 1 0 3.37515e+006 0 0 0 
1974 1 1 1 0 0 0.456422 0.216936 0.673358 1.38012e+008 1.00432e+008 2.17873e+007 1.61011e+007 0.00832646 0.00832646 134065 134065 1 0.409297 1.14915e+006 470343 0 0 
1974 1 1 2 0 0 0.401885 0.361966 0.76385 1.07463e+007 7.51448e+006 2.71999e+006 2.15572e+006 0.0135262 0.0135262 29158.7 29158.7 1 0.87187 145357 126732 0 0 
1974 1 1 3 0 0 0.279594 0.318168 0.597762 485584 365518 116296 475613 0.0184048 0.0184048 8753.57 8753.57 1 0.94676 8937.08 8461.28 0 0 
1974 2 1 0 0 0 0.326748 0.00798646 0.334734 3.28875e+008 2.79492e+008 2.23215e+006 1.88415e+006 0.00584713 0.00584713 11016.9 11016.9 1 0 1.92297e+006 0 0 0 
1974 2 1 1 0 0 0.235424 0.224577 0.460001 7.03851e+007 5.64177e+007 1.26701e+007 1.15441e+007 0.00894888 0.00894888 103307 103307 1 0.409297 629867 257803 0 0 
1974 2 1 2 0 0 0.217345 0.726495 0.94384 5.00638e+006 3.24021e+006 2.354e+006 866399 0.0149823 0.0149823 12980.6 12980.6 1 0.87187 75006.9 65396.2 0 0 
1974 2 1 3 0 0 0.187755 0.733705 0.92146 267092 174512 128040 48228.1 0.0196945 0.0196945 949.829 949.829 1 0.94676 5260.23 4980.18 0 0 
1974 3 1 0 0 0 0.296626 0.0148133 0.311439 2.35319e+008 2.02201e+008 2.99525e+006 2.8427e+006 0.0049933 0.0049933 14194.5 14194.5 1 0 1.17502e+006 0 0 0 
1974 3 1 1 0 0 0.27469 0.0908624 0.365552 4.44329e+007 3.7217e+007 3.38163e+006 1.10913e+007 0.00774447 0.00774447 85896.3 85896.3 1 0.409297 344109 140843 0 0 
1974 3 1 2 0 0 0.174943 0.201849 0.376792 1.94814e+006 1.62318e+006 327637 1.33604e+006 0.0150214 0.0150214 20069.1 20069.1 1 0.87187 29263.7 25514.2 0 0 
1974 3 1 3 0 0 0.174943 0.472659 0.647602 106286 78237.2 36979.5 34534.2 0.0196543 0.0196543 678.744 678.744 1 0.94676 2088.97 1977.75 0 0 
1974 4 1 0 0 0 0.444899 0.00940216 0.454301 1.72346e+008 1.38509e+008 1.30229e+006 1.30233e+006 0.0065831 0.0065831 8573.38 8573.38 1 0 1.13457e+006 0 0 0 
1974 4 1 1 0 0 0.409145 0.104149 0.513294 3.08282e+007 2.41126e+007 2.5113e+006 2.51132e+006 0.0106994 0.0106994 26869.5 26869.5 1 0.409297 329842 135003 0 0 
1974 4 1 2 0 0 0.3178 0.370101 0.687901 1.33654e+006 966350 357647 359117 0.0183478 0.0183478 6589.02 6589.02 1 0.87187 24522.5 21380.4 0 0 
1974 4 1 3 0 0 0.3178 0.370101 0.687901 55619.3 40214.2 14883.3 14821.6 0.0163205 0.0163205 241.896 241.896 1 0.94676 907.735 859.407 0 0 
1975 1 1 0 0 0 0.51835 0.00218657 0.520537 7.12689e+008 5.55596e+008 1.21485e+006 250931 0.00483392 0.00483392 1212.98 1212.98 1 0 3.44508e+006 0 0 0 
1975 1 1 1 0 0 0.492266 0.383112 0.875378 1.09421e+008 7.29111e+007 2.79331e+007 2.77235e+007 0.0086133 0.0086133 238791 238791 1 0.409297 942476 385752 0 0 
1975 1 1 2 0 0 0.422257 0.639236 1.06149 1.84513e+007 1.13691e+007 7.26757e+006 1.00526e+007 0.0129155 0.0129155 129834 129834 1 0.87187 238308 207773 0 0 
1975 1 1 3 0 0 0.236604 0.561889 0.798493 699739 481973 270815 260182 0.0171986 0.0171986 4474.76 4474.76 1 0.94676 12034.5 11393.8 0 0 
1975 2 1 0 0 0 0.289484 0.0141042 0.303588 4.23481e+008 3.65239e+008 5.1514e+006 1.17957e+006 0.00754079 0.00754079 8894.86 8894.86 1 0 3.19338e+006 0 0 0 
1975 2 1 1 0 0 0.220191 0.396606 0.616797 4.55962e+007 3.40295e+007 1.34963e+007 1.45419e+007 0.0110761 0.0110761 161067 161067 1 0.409297 505026 206706 0 0 
1975 2 1 2 0 0 0.199951 1.283 1.48295 6.38302e+006 3.32734e+006 4.26898e+006 4.37841e+006 0.0168117 0.0168117 73608.7 73608.7 1 0.87187 107309 93559.9 0 0 
1975 2 1 3 0 0 0.169448 1.29573 1.46518 314887 165261 214134 166807 0.0216322 0.0216322 3608.4 3608.4 1 0.94676 6811.7 6449.04 0 0 
1975 3 1 0 0 0 0.329164 0.0261604 0.355325 3.12599e+008 2.63095e+008 6.88266e+006 5.24002e+006 0.00480279 0.00480279 25166.8 25166.8 1 0 1.50135e+006 0 0 0 
1975 3 1 1 0 0 0.298634 0.160464 0.459098 2.46069e+007 1.97321e+007 3.16629e+006 4.75588e+006 0.0105762 0.0105762 50299 50299 1 0.409297 260247 106518 0 0 
1975 3 1 2 0 0 0.218145 0.356468 0.574612 1.44874e+006 1.10198e+006 392819 2.20678e+006 0.0154459 0.0154459 34085.8 34085.8 1 0.87187 22377.1 19509.9 0 0 
1975 3 1 3 0 0 0.218145 0.834721 1.05287 72750.3 44986.8 37551.5 66185.8 0.0191701 0.0191701 1268.79 1268.79 1 0.94676 1394.63 1320.38 0 0 
1975 4 1 0 0 0 0.473564 0 0.473564 2.19115e+008 1.74538e+008 0 0 0.00616806 0.00616806 0 0 1 0 1.35151e+006 0 0 0 
1975 4 1 1 0 0 0.44162 0 0.44162 1.5548e+007 1.2569e+007 0 0 0.0116102 0.0116102 0 0 1 0.409297 180514 73883.9 0 0 
1975 4 1 2 0 0 0.422889 0 0.422889 815527 665029 0 0 0.016961 0.016961 0 0 1 0.87187 13832.1 12059.8 0 0 
1975 4 1 3 0 0 0.422889 0 0.422889 25385.2 20700.6 0 0 0.0171267 0.0171267 0 0 1 0.94676 434.765 411.618 0 0 
1976 1 1 0 0 0 0.489721 0.00224621 0.491967 3.30409e+008 2.60972e+008 586197 2.14321e+006 0.00487682 0.00487682 10452.1 10452.1 1 0 1.61134e+006 0 0 0 
1976 1 1 1 0 0 0.466338 0.393561 0.859899 1.3646e+008 9.15335e+007 3.6024e+007 4.22098e+007 0.00700833 0.00700833 295820 295820 1 0.409297 956357 391434 0 0 
1976 1 1 2 0 0 0.415041 0.656671 1.07171 9.99724e+006 6.13408e+006 4.02807e+006 2.88865e+006 0.0113282 0.0113282 32723.3 32723.3 1 0.87187 113251 98740.1 0 0 
1976 1 1 3 0 0 0.290053 0.577214 0.867267 550925 368378 212633 180913 0.0133523 0.0133523 2415.6 2415.6 1 0.94676 7356.12 6964.48 0 0 
1976 2 1 0 0 0 0.317874 0.0144889 0.332363 2.0202e+008 1.71877e+008 2.49031e+006 7.43966e+006 0.00433913 0.00433913 32281.7 32281.7 1 0 876590 0 0 0 
1976 2 1 1 0 0 0.241554 0.407423 0.648977 5.77506e+007 4.24842e+007 1.7309e+007 1.87627e+007 0.00895333 0.00895333 167989 167989 1 0.409297 517060 211631 0 0 
1976 2 1 2 0 0 0.224652 1.31799 1.54264 3.42327e+006 1.74462e+006 2.29939e+006 1.61314e+006 0.0153303 0.0153303 24729.9 24729.9 1 0.87187 52479.9 45755.6 0 0 
1976 2 1 3 0 0 0.194676 1.33107 1.52575 231443 118705 158004 88603.8 0.0190226 0.0190226 1685.47 1685.47 1 0.94676 4402.63 4168.24 0 0 
1976 3 1 0 0 0 0.364067 0.0268739 0.390941 1.44894e+008 1.19928e+008 3.22293e+006 7.70342e+006 0.00220921 0.00220921 17018.5 17018.5 1 0 320101 0 0 0 
1976 3 1 1 0 0 0.332446 0.164841 0.497287 3.01793e+007 2.37788e+007 3.91972e+006 6.92535e+006 0.0058604 0.0058604 40585.3 40585.3 1 0.409297 176863 72389.4 0 0 
1976 3 1 2 0 0 0.240275 0.36619 0.606465 731948 548812 200969 267638 0.0104328 0.0104328 2792.22 2792.22 1 0.87187 7636.3 6657.86 0 0 
1976 3 1 3 0 0 0.240275 0.857487 1.09776 50329.1 30551.7 26197.7 8289.41 0.0126397 0.0126397 104.776 104.776 1 0.94676 636.145 602.277 0 0 
1976 4 1 0 0 0 0.48538 0 0.48538 9.80092e+007 7.76466e+007 0 0 0.0033842 0.0033842 0 0 1 0 331683 0 0 0 
1976 4 1 1 0 0 0.443045 0 0.443045 1.83544e+007 1.48279e+007 0 0 0.00569468 0.00569468 0 0 1 0.409297 104523 42780.7 0 0 
1976 4 1 2 0 0 0.420767 0 0.420767 399113 325782 0 0 0.00850104 0.00850104 0 0 1 0.87187 3392.87 2958.14 0 0 
1976 4 1 3 0 0 0.420767 0 0.420767 16790.6 13705.6 0 0 0.0106209 0.0106209 0 0 1 0.94676 178.332 168.837 0 0 
1977 1 1 0 0 0 0.4405 0.00195885 0.442459 6.31497e+008 5.10304e+008 999608 2.69019e+006 0.00536393 0.00536393 14430 14430 1 0 3.3873e+006 0 0 0 
1977 1 1 1 0 0 0.410663 0.343212 0.753875 6.0321e+007 4.23646e+007 1.454e+007 1.27861e+007 0.0082469 0.0082469 105445 105445 1 0.409297 497462 203609 0 0 
1977 1 1 2 0 0 0.368355 0.572661 0.941017 1.1785e+007 7.63654e+006 4.37315e+006 5.18187e+006 0.0126093 0.0126093 65339.6 65339.6 1 0.87187 148600 129560 0 0 
1977 1 1 3 0 0 0.312123 0.50337 0.815493 273059 186699 93978.6 109712 0.0179676 0.0179676 1971.27 1971.27 1 0.94676 4906.21 4645 0 0 
1977 2 1 0 0 0 0.372886 0.0126353 0.385521 4.05708e+008 3.36655e+008 4.25373e+006 2.52008e+006 0.00586997 0.00586997 14792.8 14792.8 1 0 2.38149e+006 0 0 0 
1977 2 1 1 0 0 0.244527 0.3553 0.599828 2.83834e+007 2.13455e+007 7.58405e+006 4.90459e+006 0.0109601 0.0109601 53754.7 53754.7 1 0.409297 311085 127326 0 0 
1977 2 1 2 0 0 0.227433 1.14938 1.37681 4.59886e+006 2.49721e+006 2.87024e+006 3.67915e+006 0.0146457 0.0146457 53883.7 53883.7 1 0.87187 67353.4 58723.4 0 0 
1977 2 1 3 0 0 0.19914 1.16079 1.35992 120807 66031.7 76648.7 67687.9 0.0195727 0.0195727 1324.84 1324.84 1 0.94676 2364.52 2238.63 0 0 
1977 3 1 0 0 0 0.379611 0.0234359 0.403047 2.75921e+008 2.27091e+008 5.32206e+006 1.58572e+007 0.00225275 0.00225275 35722.4 35722.4 1 0 621581 0 0 0 
1977 3 1 1 0 0 0.351334 0.143752 0.495087 1.55799e+007 1.22881e+007 1.76644e+006 1.84347e+006 0.00797474 0.00797474 14701.2 14701.2 1 0.409297 124245 50853.2 0 0 
1977 3 1 2 0 0 0.248324 0.319342 0.567666 1.16067e+006 885641 282823 2.20088e+006 0.0106178 0.0106178 23368.5 23368.5 1 0.87187 12323.8 10744.7 0 0 
1977 3 1 3 0 0 0.248324 0.747787 0.996111 31008.7 19633.2 14681.4 37835.5 0.0138106 0.0138106 522.532 522.532 1 0.94676 428.25 405.45 0 0 
1977 4 1 0 0 0 0.489556 0 0.489556 1.84392e+008 1.45803e+008 0 0 0.00247276 0.00247276 0 0 1 0 455958 0 0 0 
1977 4 1 1 0 0 0.43967 0 0.43967 9.4962e+006 7.68368e+006 0 0 0.00633335 0.00633335 0 0 1 0.409297 60142.8 24616.3 0 0 
1977 4 1 2 0 0 0.431873 0 0.431873 657922 534275 0 0 0.00825311 0.00825311 0 0 1 0.87187 5429.9 4734.17 0 0 
1977 4 1 3 0 0 0.431873 0 0.431873 11451.9 9299.69 0 0 0.0121792 0.0121792 0 0 1 0.94676 139.476 132.05 0 0 
1978 1 1 0 0 0 0.411115 0.00130019 0.412416 1.03337e+009 8.46788e+008 1.10098e+006 454090 0.00380169 0.00380169 1726.31 1726.31 1 0 3.92855e+006 0 0 0 
1978 1 1 1 0 0 0.397839 0.227808 0.625647 1.13014e+008 8.40107e+007 1.91383e+007 3.21845e+007 0.00686812 0.00686812 221047 221047 1 0.409297 776192 317693 0 0 
1978 1 1 2 0 0 0.384897 0.380105 0.765003 6.11792e+006 4.27587e+006 1.62528e+006 427473 0.0121643 0.0121643 5199.92 5199.92 1 0.87187 74420.2 64884.7 0 0 
1978 1 1 3 0 0 0.329772 0.334113 0.663885 434619 317610 106118 96434.7 0.0146079 0.0146079 1408.7 1408.7 1 0.94676 6348.86 6010.85 0 0 
1978 2 1 0 0 0 0.347257 0.0083867 0.355644 6.84142e+008 5.75712e+008 4.82832e+006 5.51766e+006 0.00438632 0.00438632 24202.3 24202.3 1 0 3.00087e+006 0 0 0 
1978 2 1 1 0 0 0.230318 0.235831 0.46615 6.04529e+007 4.83191e+007 1.13952e+007 1.0345e+007 0.0103184 0.0103184 106744 106744 1 0.409297 623777 255310 0 0 
1978 2 1 2 0 0 0.218406 0.762902 0.981308 2.84687e+006 1.8137e+006 1.38368e+006 1.20958e+006 0.0155213 0.0155213 18774.4 18774.4 1 0.87187 44187.2 38525.5 0 0 
1978 2 1 3 0 0 0.192224 0.770474 0.962698 223763 143676 110698 116695 0.0196403 0.0196403 2291.94 2291.94 1 0.94676 4394.77 4160.79 0 0 
1978 3 1 0 0 0 0.381769 0.0155556 0.397325 4.79393e+008 3.9561e+008 6.15395e+006 6.15461e+006 0.00309097 0.00309097 19023.7 19023.7 1 0 1.48179e+006 0 0 0 
1978 3 1 1 0 0 0.356481 0.0954159 0.451897 3.79289e+007 3.05163e+007 2.91174e+006 4.97357e+006 0.0088622 0.0088622 44076.8 44076.8 1 0.409297 336134 137579 0 0 
1978 3 1 2 0 0 0.207538 0.211964 0.419502 1.06706e+006 871519 184731 1.11904e+006 0.0123428 0.0123428 13812.2 13812.2 1 0.87187 13170.6 11483 0 0 
1978 3 1 3 0 0 0.207538 0.496345 0.703883 85446.2 61344.5 30448 29941.3 0.0166014 0.0166014 497.066 497.066 1 0.94676 1418.52 1343 0 0 
1978 4 1 0 0 0 0.444771 0 0.444771 3.22208e+008 2.60093e+008 0 0 0.00195119 0.00195119 0 0 1 0 628687 0 0 0 
1978 4 1 1 0 0 0.396387 0 0.396387 2.41387e+007 1.99287e+007 0 0 0.00518089 0.00518089 0 0 1 0.409297 125060 51186.7 0 0 
1978 4 1 2 0 0 0.3741 0 0.3741 701460 585191 0 0 0.00870696 0.00870696 0 0 1 0.87187 6107.58 5325.02 0 0 
1978 4 1 3 0 0 0.3741 0 0.3741 42266.9 35261 0 0 0.00938547 0.00938547 0 0 1 0.94676 396.695 375.575 0 0 
1979 1 1 0 0 0 0.436154 0.000850842 0.437005 5.3478e+008 4.33242e+008 368621 3.57939e+006 0.00497197 0.00497197 17796.6 17796.6 1 0 2.65891e+006 0 0 0 
1979 1 1 1 0 0 0.423949 0.149077 0.573026 2.06526e+008 1.57206e+008 2.34358e+007 3.68668e+007 0.00581055 0.00581055 214216 214216 1 0.409297 1.20003e+006 491168 0 0 
1979 1 1 2 0 0 0.418712 0.248741 0.667453 1.62392e+007 1.18485e+007 2.94719e+006 644042 0.00871421 0.00871421 5612.32 5612.32 1 0.87187 141512 123380 0 0 
1979 1 1 3 0 0 0.404555 0.218643 0.623198 511616 380736 83245.3 117139 0.0112681 0.0112681 1319.93 1319.93 1 0.94676 5764.94 5458.02 0 0 
1979 2 1 0 0 0 0.416075 0.00548824 0.421563 3.45451e+008 2.81875e+008 1.547e+006 1.05292e+006 0.00565412 0.00565412 5953.34 5953.34 1 0 1.95322e+006 0 0 0 
1979 2 1 1 0 0 0.252009 0.154328 0.406337 1.16443e+008 9.56888e+007 1.47674e+007 1.13559e+007 0.010481 0.010481 119021 119021 1 0.409297 1.22043e+006 499519 0 0 
1979 2 1 2 0 0 0.245079 0.499242 0.744321 8.33096e+006 5.87553e+006 2.93331e+006 2.15226e+006 0.0149946 0.0149946 32272.4 32272.4 1 0.87187 124920 108914 0 0 
1979 2 1 3 0 0 0.22659 0.504197 0.730788 274342 194637 98135.5 63386.1 0.0173026 0.0173026 1096.75 1096.75 1 0.94676 4746.84 4494.12 0 0 
1979 3 1 0 0 0 0.393302 0.0101796 0.403482 2.26623e+008 1.86479e+008 1.89828e+006 3.88278e+006 0.0032166 0.0032166 12489.4 12489.4 1 0 728956 0 0 0 
1979 3 1 1 0 0 0.366066 0.06244 0.428506 7.75608e+007 6.30828e+007 3.93889e+006 6.39926e+006 0.0076793 0.0076793 49141.8 49141.8 1 0.409297 595613 243782 0 0 
1979 3 1 2 0 0 0.231547 0.138709 0.370256 3.95768e+006 3.30764e+006 458800 332781 0.0128909 0.0128909 4289.83 4289.83 1 0.87187 51017.8 44480.9 0 0 
1979 3 1 3 0 0 0.231547 0.324808 0.556355 132104 101319 32909.3 25963.8 0.0164776 0.0164776 427.82 427.82 1 0.94676 2176.75 2060.86 0 0 
1979 4 1 0 0 0 0.444375 0 0.444375 1.51382e+008 1.22221e+008 0 0 0.00285703 0.00285703 0 0 1 0 432503 0 0 0 
1979 4 1 1 0 0 0.38935 0 0.38935 5.05294e+007 4.18541e+007 0 0 0.0105863 0.0105863 0 0 1 0.409297 534919 218941 0 0 
1979 4 1 2 0 0 0.376957 0 0.376957 2.733e+006 2.27695e+006 0 0 0.0121166 0.0121166 0 0 1 0.87187 33114.7 28871.7 0 0 
1979 4 1 3 0 0 0.376957 0 0.376957 75734.6 63096.8 0 0 0.0153221 0.0153221 0 0 1 0.94676 1160.41 1098.63 0 0 
1980 1 1 0 0 0 0.470002 0.002932 0.472934 3.28622e+008 2.61842e+008 767721 0 0.00632446 0.00632446 0 0 1 0 2.07835e+006 0 0 0 
1980 1 1 1 0 0 0.463561 0.513719 0.977279 9.70698e+007 6.19466e+007 3.18231e+007 1.42376e+007 0.00519841 0.00519841 74012.7 74012.7 1 0.409297 504609 206535 0 0 
1980 1 1 2 0 0 0.443658 0.857159 1.30082 3.42336e+007 1.91506e+007 1.64151e+007 1.74214e+007 0.00682428 0.00682428 118888 118888 1 0.87187 233619 203686 0 0 
1980 1 1 3 0 0 0.415235 0.753443 1.16868 1.92664e+006 1.13623e+006 856082 1.48107e+006 0.00832205 0.00832205 12325.5 12325.5 1 0.94676 16033.6 15180 0 0 
