"","Age 0","Age 1","Age 2","Age 3"
"Stock numbers(2019)",126949.611493098,49684.7,10228.4,469.869
"Exploitation pattern Q1",0.00166621057777778,0.291938748888889,0.487110422222222,0.4281702
"Exploitation pattern Q2",0.0107476633333333,0.302221188888889,0.977669777777778,0.987372888888889
"Exploitation pattern Q3",0.0199347308888889,0.122276755555556,0.271635153333333,0.636073755555556
"Exploitation pattern Q4",0.000208936888888889,0.00231442222222222,0.00822446666666667,0.00822446666666667
"Weight in the stock Q1",5.04153,7.55173333333333,10.00326,13.5919666666667
"Weight in the catch Q1",5.04153,7.55173333333333,10.00326,13.5919666666667
"Weight in the catch Q2",4.71684333333333,7.52645,10.45479,14.6625666666667
"Weight in the catch Q3",5.23047333333333,9.08755333333333,13.1461866666667,16.4189
"Weight in the catch Q4",7.60257,14.0689,18.7616,21.1711
"Proportion mature(2019)",0,0.409297,0.87187,0.94676
"Proportion mature(2020)",0,0.409297,0.87187,0.94676
"Natural mortality Q1",0.377068,0.347132,0.259807,0.142955
"Natural mortality Q2",0.255186,0.200134,0.1648,0.153473
"Natural mortality Q3",0.21229,0.177209,0.148989,0.148989
"Natural mortality Q4",0.277894,0.224352,0.180532,0.180532
