;Fbar 2-6 A;Fbar 0-1 B;Fbar 0-1 C;Fbar 0-1 D;Fbar 2-6;Fbar 0-1;Catch A;Catch B;Catch C;Catch D;SSB 2017;SSB 2018
fmsy;0.317269422;0.030575717;0.006830821;0.012047825;0.33;0.050663395;481608.4818;8020.178461;21311.01145;4661.3;1655043.249;1439754.323
fpa;0.3270843;0.030577044;0.00693825;0.012050731;0.34;0.050812459;493823.8889;8020.178528;21603.4483;4661.299997;1646306.727;1424535.467
flim;0.376175724;0.030583587;0.007465504;0.012065129;0.39;0.051547729;552993.78;8020.178528;23019.97549;4661.299998;1603685.893;1352370.28
fsq;0.307595218;0.030574403;0.006724253;0.012044951;0.320142159;0.050515774;469437.5635;8020.178479;21019.63988;4661.3;1663726.752;1455028.529
bpa;1.3913063;0.030695207;0.015846352;0.012325532;1.419575191;0.064169002;1328386.146;8020.178527;41582.86875;4661.299997;1000000;613934.3955
blim;1.955651559;0.030745752;0.019284923;0.012449253;1.989848285;0.069932413;1565360.931;8020.178471;47256.04508;4661.3;800000;454206.4572
MSYBtrigger;0.504691846;0.030600043;0.008772602;0.012101814;0.520768622;0.05339771;694127.3377;8020.182385;26398.71295;4661.3;1500000.002;1190247.36
