# Auto generated file
# Datetime : 2014-10-22 16:54:15

# Number of fleets (res+con+sur)
 5 
# Fleet types (res=0, con=1, sur=2, ssb=3)
 # catch HERAS IBTS-Q1 IBTS0 LAI #   
 0 2 2 2 5 #   
# Sample times (only relevent for sur)
 # catch HERAS IBTS-Q1 IBTS0 LAI #   
 -99999 0.55 0.125 0.125 -99999 #   
# Number of years
 68 
# Years
 1947 1948 1949 1950 1951 1952 1953 1954 1955 1956 1957 1958 1959 1960 1961 1962 1963 1964 1965 1966 1967 1968 1969 1970 1971 1972 1973 1974 1975 1976 1977 1978 1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 
# Number of observations 
 1150 
# Index1 (index of first obs in each year) 
 1 8 16 23 30 38 46 55 64 73 82 91 100 108 117 126 135 144 153 162 171 180 189 198 207 216 234 252 268 285 301 319 328 338 358 376 396 415 436 457 478 499 520 548 573 598 624 648 672 695 719 743 769 795 821 846 871 897 922 947 973 998 1024 1049 1074 1099 1124 1149 
# Index2 (index of last obs in each year) 
 7 15 22 29 37 45 54 63 72 81 90 99 107 116 125 134 143 152 161 170 179 188 197 206 215 233 251 267 284 300 318 327 337 357 375 395 414 435 456 477 498 519 547 572 597 623 647 671 694 718 742 768 794 820 845 870 896 921 946 972 997 1023 1048 1073 1098 1123 1148 1150 
# The observation matrix 
# year fleet age data fleet.name 
1947 1 2 494000 #catch
1947 1 3 415000 #catch
1947 1 4 638000 #catch
1947 1 5 526000 #catch
1947 1 6 756000 #catch
1947 1 7 431000 #catch
1947 1 8 1311000 #catch
1948 1 1 3000 #catch
1948 1 2 247000 #catch
1948 1 3 672000 #catch
1948 1 4 328000 #catch
1948 1 5 601000 #catch
1948 1 6 487000 #catch
1948 1 7 4e+05 #catch
1948 1 8 917000 #catch
1949 1 2 478000 #catch
1949 1 3 644000 #catch
1949 1 4 396000 #catch
1949 1 5 287000 #catch
1949 1 6 652000 #catch
1949 1 7 462000 #catch
1949 1 8 1037000 #catch
1950 1 2 535000 #catch
1950 1 3 1039000 #catch
1950 1 4 617000 #catch
1950 1 5 290000 #catch
1950 1 6 254000 #catch
1950 1 7 331000 #catch
1950 1 8 597000 #catch
1951 1 1 462000 #catch
1951 1 2 660000 #catch
1951 1 3 959000 #catch
1951 1 4 1255000 #catch
1951 1 5 630000 #catch
1951 1 6 262000 #catch
1951 1 7 142000 #catch
1951 1 8 445000 #catch
1952 1 1 722000 #catch
1952 1 2 1346000 #catch
1952 1 3 576000 #catch
1952 1 4 610000 #catch
1952 1 5 652000 #catch
1952 1 6 464000 #catch
1952 1 7 236000 #catch
1952 1 8 554000 #catch
1953 1 0 150000 #catch
1953 1 1 1023000 #catch
1953 1 2 1322000 #catch
1953 1 3 1003000 #catch
1953 1 4 474000 #catch
1953 1 5 386000 #catch
1953 1 6 473000 #catch
1953 1 7 278000 #catch
1953 1 8 392000 #catch
1954 1 0 219000 #catch
1954 1 1 1451000 #catch
1954 1 2 1493000 #catch
1954 1 3 1111000 #catch
1954 1 4 591000 #catch
1954 1 5 361000 #catch
1954 1 6 330000 #catch
1954 1 7 379000 #catch
1954 1 8 511000 #catch
1955 1 0 164000 #catch
1955 1 1 2072000 #catch
1955 1 2 1931000 #catch
1955 1 3 1032000 #catch
1955 1 4 479000 #catch
1955 1 5 337000 #catch
1955 1 6 232000 #catch
1955 1 7 120000 #catch
1955 1 8 215000 #catch
1956 1 0 96000 #catch
1956 1 1 1697000 #catch
1956 1 2 1860000 #catch
1956 1 3 1221000 #catch
1956 1 4 516000 #catch
1956 1 5 249000 #catch
1956 1 6 194000 #catch
1956 1 7 104000 #catch
1956 1 8 292000 #catch
1957 1 0 279000 #catch
1957 1 1 1483000 #catch
1957 1 2 1644000 #catch
1957 1 3 736000 #catch
1957 1 4 644000 #catch
1957 1 5 344000 #catch
1957 1 6 207000 #catch
1957 1 7 147000 #catch
1957 1 8 253000 #catch
1958 1 0 97000 #catch
1958 1 1 4279000 #catch
1958 1 2 1029000 #catch
1958 1 3 999000 #catch
1958 1 4 322000 #catch
1958 1 5 461000 #catch
1958 1 6 147000 #catch
1958 1 7 73000 #catch
1958 1 8 118000 #catch
1959 1 1 1609000 #catch
1959 1 2 4934000 #catch
1959 1 3 488000 #catch
1959 1 4 497000 #catch
1959 1 5 233000 #catch
1959 1 6 249000 #catch
1959 1 7 120000 #catch
1959 1 8 301000 #catch
1960 1 0 194600 #catch
1960 1 1 2392700 #catch
1960 1 2 1142300 #catch
1960 1 3 1966700 #catch
1960 1 4 165900 #catch
1960 1 5 167700 #catch
1960 1 6 112900 #catch
1960 1 7 125800 #catch
1960 1 8 270600 #catch
1961 1 0 1269200 #catch
1961 1 1 336000 #catch
1961 1 2 1889400 #catch
1961 1 3 479900 #catch
1961 1 4 1455900 #catch
1961 1 5 124000 #catch
1961 1 6 157900 #catch
1961 1 7 61400 #catch
1961 1 8 143500 #catch
1962 1 0 141800 #catch
1962 1 1 2146900 #catch
1962 1 2 269600 #catch
1962 1 3 797400 #catch
1962 1 4 335100 #catch
1962 1 5 1081800 #catch
1962 1 6 126900 #catch
1962 1 7 145100 #catch
1962 1 8 173100 #catch
1963 1 0 442800 #catch
1963 1 1 1262200 #catch
1963 1 2 2961200 #catch
1963 1 3 177200 #catch
1963 1 4 158300 #catch
1963 1 5 80600 #catch
1963 1 6 229700 #catch
1963 1 7 22400 #catch
1963 1 8 93000 #catch
1964 1 0 496900 #catch
1964 1 1 2971700 #catch
1964 1 2 1547500 #catch
1964 1 3 2243100 #catch
1964 1 4 148400 #catch
1964 1 5 149000 #catch
1964 1 6 95000 #catch
1964 1 7 256300 #catch
1964 1 8 84000 #catch
1965 1 0 157100 #catch
1965 1 1 3209300 #catch
1965 1 2 2217600 #catch
1965 1 3 1324600 #catch
1965 1 4 2039400 #catch
1965 1 5 145100 #catch
1965 1 6 151900 #catch
1965 1 7 117600 #catch
1965 1 8 491400 #catch
1966 1 0 374500 #catch
1966 1 1 1383100 #catch
1966 1 2 2569700 #catch
1966 1 3 741200 #catch
1966 1 4 450100 #catch
1966 1 5 889800 #catch
1966 1 6 45300 #catch
1966 1 7 64800 #catch
1966 1 8 331800 #catch
1967 1 0 645400 #catch
1967 1 1 1674300 #catch
1967 1 2 1171500 #catch
1967 1 3 1364700 #catch
1967 1 4 371500 #catch
1967 1 5 297800 #catch
1967 1 6 393100 #catch
1967 1 7 67900 #catch
1967 1 8 254400 #catch
1968 1 0 839300 #catch
1968 1 1 2425000 #catch
1968 1 2 1795200 #catch
1968 1 3 1494300 #catch
1968 1 4 621400 #catch
1968 1 5 157100 #catch
1968 1 6 145000 #catch
1968 1 7 163400 #catch
1968 1 8 105500 #catch
1969 1 0 112000 #catch
1969 1 1 2503300 #catch
1969 1 2 1883000 #catch
1969 1 3 296300 #catch
1969 1 4 133100 #catch
1969 1 5 190800 #catch
1969 1 6 49900 #catch
1969 1 7 42700 #catch
1969 1 8 52500 #catch
1970 1 0 898100 #catch
1970 1 1 1196200 #catch
1970 1 2 2002800 #catch
1970 1 3 883600 #catch
1970 1 4 125200 #catch
1970 1 5 50300 #catch
1970 1 6 61000 #catch
1970 1 7 7900 #catch
1970 1 8 24200 #catch
1971 1 0 684000 #catch
1971 1 1 4378500 #catch
1971 1 2 1146800 #catch
1971 1 3 662500 #catch
1971 1 4 208300 #catch
1971 1 5 26900 #catch
1971 1 6 30500 #catch
1971 1 7 26800 #catch
1971 1 8 12500 #catch
1972 1 0 750400 #catch
1972 1 1 3340600 #catch
1972 1 2 1440500 #catch
1972 1 3 343800 #catch
1972 1 4 130600 #catch
1972 1 5 32900 #catch
1972 1 6 5000 #catch
1972 1 7 200 #catch
1972 1 8 1500 #catch
1972 5 1 1133 #LAI
1972 5 2 4583 #LAI
1972 5 3 30 #LAI
1972 5 5 165 #LAI
1972 5 6 88 #LAI
1972 5 7 134 #LAI
1972 5 8 22 #LAI
1972 5 9 2 #LAI
1972 5 10 46 #LAI
1973 1 0 289400 #catch
1973 1 1 2368000 #catch
1973 1 2 1344200 #catch
1973 1 3 659200 #catch
1973 1 4 150200 #catch
1973 1 5 59300 #catch
1973 1 6 30600 #catch
1973 1 7 3700 #catch
1973 1 8 2000 #catch
1973 5 1 2029 #LAI
1973 5 2 822 #LAI
1973 5 3 3 #LAI
1973 5 4 4 #LAI
1973 5 5 492 #LAI
1973 5 6 830 #LAI
1973 5 7 1213 #LAI
1973 5 8 152 #LAI
1973 5 11 1 #LAI
1974 1 0 996100 #catch
1974 1 1 846100 #catch
1974 1 2 772600 #catch
1974 1 3 362000 #catch
1974 1 4 126000 #catch
1974 1 5 56100 #catch
1974 1 6 22300 #catch
1974 1 7 5000 #catch
1974 1 8 3100 #catch
1974 5 1 758 #LAI
1974 5 2 421 #LAI
1974 5 3 101 #LAI
1974 5 4 284 #LAI
1974 5 5 81 #LAI
1974 5 7 1184 #LAI
1974 5 10 10 #LAI
1975 1 0 263800 #catch
1975 1 1 2460500 #catch
1975 1 2 541700 #catch
1975 1 3 259600 #catch
1975 1 4 140500 #catch
1975 1 5 57200 #catch
1975 1 6 16100 #catch
1975 1 7 9100 #catch
1975 1 8 4800 #catch
1975 5 1 371 #LAI
1975 5 2 50 #LAI
1975 5 3 312 #LAI
1975 5 6 90 #LAI
1975 5 7 77 #LAI
1975 5 8 6 #LAI
1975 5 9 1 #LAI
1975 5 10 2 #LAI
1976 1 0 238200 #catch
1976 1 1 126600 #catch
1976 1 2 901500 #catch
1976 1 3 117300 #catch
1976 1 4 52000 #catch
1976 1 5 34500 #catch
1976 1 6 6100 #catch
1976 1 7 4400 #catch
1976 1 8 1400 #catch
1976 5 1 545 #LAI
1976 5 2 81 #LAI
1976 5 4 1 #LAI
1976 5 5 64 #LAI
1976 5 6 108 #LAI
1976 5 8 10 #LAI
1976 5 10 3 #LAI
1977 1 0 256800 #catch
1977 1 1 144300 #catch
1977 1 2 44700 #catch
1977 1 3 186400 #catch
1977 1 4 10800 #catch
